,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,1.2408,1.2398,1.2408,1.2398,,2.15%
1,1.0,1.0,1.0,1.0,01/03/1990,1.2341,1.2332,1.2341,1.2332,,-0.54%
2,2.0,2.0,2.0,2.0,01/04/1990,1.2113,1.2105,1.2113,1.2105,,-1.85%
3,3.0,3.0,3.0,3.0,01/05/1990,1.2105,1.2095,1.2105,1.2095,,-0.07%
4,4.0,4.0,4.0,4.0,01/08/1990,1.1971,1.1962,1.1971,1.1962,,-1.11%
5,5.0,5.0,5.0,5.0,01/09/1990,1.1917,1.191,1.1917,1.191,,-0.45%
6,6.0,6.0,6.0,6.0,01/10/1990,1.1959,1.195,1.1959,1.195,,0.35%
7,7.0,7.0,7.0,7.0,01/11/1990,1.1921,1.1913,1.1921,1.1913,,-0.32%
8,8.0,8.0,8.0,8.0,01/12/1990,1.1872,1.1864,1.1872,1.1864,,-0.41%
9,9.0,9.0,9.0,9.0,01/15/1990,1.1997,1.1988,1.1997,1.1988,,1.05%
10,10.0,10.0,10.0,10.0,01/16/1990,1.1935,1.1927,1.1935,1.1927,,-0.52%
11,11.0,11.0,11.0,11.0,01/17/1990,1.1942,1.1933,1.1942,1.1933,,0.06%
12,12.0,12.0,12.0,12.0,01/18/1990,1.2109,1.2101,1.2109,1.2101,,1.40%
13,13.0,13.0,13.0,13.0,01/19/1990,1.2088,1.2079,1.2088,1.2079,,-0.17%
14,14.0,14.0,14.0,14.0,01/22/1990,1.2214,1.2206,1.2214,1.2206,,1.04%
15,15.0,15.0,15.0,15.0,01/23/1990,1.1635,1.1626,1.1635,1.1626,,-4.74%
16,16.0,16.0,16.0,16.0,01/24/1990,1.1415,1.1406,1.1415,1.1406,,-1.89%
17,17.0,17.0,17.0,17.0,01/25/1990,1.1293,1.1284,1.1293,1.1284,,-1.07%
18,18.0,18.0,18.0,18.0,01/26/1990,1.1329,1.132,1.1329,1.132,,0.32%
19,19.0,19.0,19.0,19.0,01/29/1990,1.1323,1.1314,1.1323,1.1314,,-0.05%
20,20.0,20.0,20.0,20.0,01/30/1990,1.1494,1.1481,1.1494,1.1481,,1.51%
21,21.0,21.0,21.0,21.0,01/31/1990,1.1594,1.1584,1.1594,1.1584,,0.87%
22,22.0,22.0,22.0,22.0,02/01/1990,1.1526,1.1517,1.1526,1.1517,,-0.59%
23,23.0,23.0,23.0,23.0,02/02/1990,1.1548,1.154,1.1548,1.154,,0.19%
24,24.0,24.0,24.0,24.0,02/05/1990,1.1287,1.1278,1.1287,1.1278,,-2.26%
25,25.0,25.0,25.0,25.0,02/06/1990,1.1268,1.1259,1.1268,1.1259,,-0.17%
26,26.0,26.0,26.0,26.0,02/07/1990,1.1263,1.1254,1.1263,1.1254,,-0.04%
27,27.0,27.0,27.0,27.0,02/08/1990,1.1228,1.1219,1.1228,1.1219,,-0.31%
28,28.0,28.0,28.0,28.0,02/09/1990,1.1166,1.1157,1.1166,1.1157,,-0.55%
29,29.0,29.0,29.0,29.0,02/12/1990,1.1315,1.1306,1.1315,1.1306,,1.33%
30,30.0,30.0,30.0,30.0,02/13/1990,1.1195,1.1186,1.1195,1.1186,,-1.06%
31,31.0,31.0,31.0,31.0,02/14/1990,1.1126,1.1117,1.1126,1.1117,,-0.62%
32,32.0,32.0,32.0,32.0,02/15/1990,1.1354,1.1345,1.1354,1.1345,,2.05%
33,33.0,33.0,33.0,33.0,02/16/1990,1.1296,1.1287,1.1296,1.1287,,-0.51%
34,34.0,34.0,34.0,34.0,02/19/1990,1.1315,1.1305,1.1315,1.1305,,0.17%
35,35.0,35.0,35.0,35.0,02/20/1990,1.1227,1.1218,1.1227,1.1218,,-0.78%
36,36.0,36.0,36.0,36.0,02/21/1990,1.1354,1.1345,1.1354,1.1345,,1.13%
37,37.0,37.0,37.0,37.0,02/22/1990,1.1257,1.1248,1.1257,1.1248,,-0.85%
38,38.0,38.0,38.0,38.0,02/23/1990,1.1293,1.1287,1.1293,1.1287,,0.32%
39,39.0,39.0,39.0,39.0,02/26/1990,1.1377,1.1368,1.1377,1.1368,,0.74%
40,40.0,40.0,40.0,40.0,02/27/1990,1.1283,1.1275,1.1283,1.1275,,-0.83%
41,41.0,41.0,41.0,41.0,02/28/1990,1.1405,1.1397,1.1405,1.1397,,1.08%
42,42.0,42.0,42.0,42.0,03/01/1990,1.1534,1.1526,1.1534,1.1526,,1.13%
43,43.0,43.0,43.0,43.0,03/02/1990,1.1488,1.1479,1.1488,1.1479,,-0.40%
