,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,115.05,114.98,115.05,114.98,,1.37%
1,1.0,1.0,1.0,1.0,01/03/1990,113.6,113.53,113.6,113.53,,-1.26%
2,2.0,2.0,2.0,2.0,01/04/1990,112.97,112.91,112.97,112.91,,-0.55%
3,3.0,3.0,3.0,3.0,01/05/1990,113.27,113.2,113.27,113.2,,0.27%
4,4.0,4.0,4.0,4.0,01/08/1990,113.21,113.14,113.21,113.14,,-0.05%
5,5.0,5.0,5.0,5.0,01/09/1990,114.02,113.96,114.02,113.96,,0.72%
6,6.0,6.0,6.0,6.0,01/10/1990,114.96,114.89,114.96,114.89,,0.82%
7,7.0,7.0,7.0,7.0,01/11/1990,115.16,115.1,115.16,115.1,,0.17%
8,8.0,8.0,8.0,8.0,01/12/1990,115.53,115.46,115.53,115.46,,0.32%
9,9.0,9.0,9.0,9.0,01/15/1990,115.4,115.33,115.4,115.33,,-0.11%
10,10.0,10.0,10.0,10.0,01/16/1990,114.98,114.92,114.98,114.92,,-0.36%
11,11.0,11.0,11.0,11.0,01/17/1990,115.24,115.18,115.24,115.18,,0.23%
12,12.0,12.0,12.0,12.0,01/18/1990,116.28,116.22,116.28,116.22,,0.90%
13,13.0,13.0,13.0,13.0,01/19/1990,115.91,115.85,115.91,115.85,,-0.32%
14,14.0,14.0,14.0,14.0,01/22/1990,116.6,116.54,116.6,116.54,,0.60%
15,15.0,15.0,15.0,15.0,01/23/1990,112.63,112.57,112.63,112.57,,-3.40%
16,16.0,16.0,16.0,16.0,01/24/1990,111.23,111.17,111.23,111.17,,-1.24%
17,17.0,17.0,17.0,17.0,01/25/1990,109.43,109.37,109.43,109.37,,-1.62%
18,18.0,18.0,18.0,18.0,01/26/1990,108.55,108.49,108.55,108.49,,-0.80%
19,19.0,19.0,19.0,19.0,01/29/1990,109.23,109.17,109.23,109.17,,0.63%
20,20.0,20.0,20.0,20.0,01/30/1990,111.08,111.01,111.08,111.01,,1.69%
21,21.0,21.0,21.0,21.0,01/31/1990,111.42,111.36,111.42,111.36,,0.31%
22,22.0,22.0,22.0,22.0,02/01/1990,111.87,111.81,111.87,111.81,,0.40%
23,23.0,23.0,23.0,23.0,02/02/1990,112.75,112.68,112.75,112.68,,0.79%
24,24.0,24.0,24.0,24.0,02/05/1990,110.97,110.9,110.97,110.9,,-1.58%
25,25.0,25.0,25.0,25.0,02/06/1990,110.93,110.87,110.93,110.87,,-0.04%
26,26.0,26.0,26.0,26.0,02/07/1990,110.16,110.1,110.16,110.1,,-0.69%
27,27.0,27.0,27.0,27.0,02/08/1990,109.58,109.51,109.58,109.51,,-0.53%
28,28.0,28.0,28.0,28.0,02/09/1990,108.39,108.32,108.39,108.32,,-1.09%
29,29.0,29.0,29.0,29.0,02/12/1990,108.88,108.82,108.88,108.82,,0.45%
30,30.0,30.0,30.0,30.0,02/13/1990,107.96,107.89,107.96,107.89,,-0.84%
31,31.0,31.0,31.0,31.0,02/14/1990,107.43,107.37,107.43,107.37,,-0.49%
32,32.0,32.0,32.0,32.0,02/15/1990,109.05,108.98,109.05,108.98,,1.51%
33,33.0,33.0,33.0,33.0,02/16/1990,109.15,109.08,109.15,109.08,,0.09%
34,34.0,34.0,34.0,34.0,02/19/1990,110.09,110.03,110.09,110.03,,0.86%
35,35.0,35.0,35.0,35.0,02/20/1990,110.25,110.19,110.25,110.19,,0.15%
36,36.0,36.0,36.0,36.0,02/21/1990,111.67,111.61,111.67,111.61,,1.29%
37,37.0,37.0,37.0,37.0,02/22/1990,111.73,111.67,111.73,111.67,,0.05%
38,38.0,38.0,38.0,38.0,02/23/1990,112.69,112.62,112.69,112.62,,0.86%
39,39.0,39.0,39.0,39.0,02/26/1990,113.87,113.8,113.87,113.8,,1.05%
40,40.0,40.0,40.0,40.0,02/27/1990,112.92,112.86,112.92,112.86,,-0.83%
41,41.0,41.0,41.0,41.0,02/28/1990,113.33,113.27,113.33,113.27,,0.36%
42,42.0,42.0,42.0,42.0,03/01/1990,114.57,114.51,114.57,114.51,,1.09%
