,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,1/2/1990,0.7847,0.7843,0.7893,0.7833,,-0.48%
1,1.0,1.0,1.0,1/3/1990,0.7813,0.781,0.7857,0.7806,,-0.43%
2,2.0,2.0,2.0,1/4/1990,0.7879,0.7877,0.7893,0.7799,,0.84%
3,3.0,3.0,3.0,1/5/1990,0.7834,0.7831,0.7884,0.7825,,-0.57%
4,4.0,4.0,4.0,1/8/1990,0.7853,0.7849,0.7868,0.7804,,0.24%
5,5.0,5.0,5.0,1/9/1990,0.7853,0.7851,0.7875,0.7843,,0.00%
6,6.0,6.0,6.0,1/10/1990,0.7889,0.7885,0.7899,0.7841,,0.46%
7,7.0,7.0,7.0,1/11/1990,0.7915,0.7913,0.7929,0.7818,,0.33%
8,8.0,8.0,8.0,1/12/1990,0.7923,0.792,0.7957,0.7905,,0.10%
9,9.0,9.0,9.0,1/15/1990,0.7914,0.7911,0.7937,0.7898,,-0.11%
10,10.0,10.0,10.0,1/16/1990,0.7908,0.7904,0.7924,0.7878,,-0.08%
11,11.0,11.0,11.0,1/17/1990,0.7924,0.7921,0.7941,0.789,,0.20%
12,12.0,12.0,12.0,1/18/1990,0.7946,0.7943,0.7968,0.7917,,0.28%
13,13.0,13.0,13.0,1/19/1990,0.7939,0.7936,0.7954,0.79,,-0.09%
14,14.0,14.0,14.0,1/22/1990,0.7955,0.7952,0.7966,0.7911,,0.20%
15,15.0,15.0,15.0,1/23/1990,0.7721,0.7717,0.7964,0.7714,,-2.94%
16,16.0,16.0,16.0,1/24/1990,0.7634,0.7631,0.7712,0.7593,,-1.13%
17,17.0,17.0,17.0,1/25/1990,0.7605,0.7601,0.7684,0.756,,-0.38%
18,18.0,18.0,18.0,1/26/1990,0.7598,0.7595,0.7657,0.7558,,-0.09%
19,19.0,19.0,19.0,1/29/1990,0.7641,0.7637,0.7681,0.758,,0.57%
20,20.0,20.0,20.0,1/30/1990,0.7668,0.7664,0.7678,0.7605,,0.35%
21,21.0,21.0,21.0,1/31/1990,0.7712,0.7709,0.7725,0.764,,0.57%
22,22.0,22.0,22.0,2/1/1990,0.7717,0.7714,0.7733,0.765,,0.06%
23,23.0,23.0,23.0,2/2/1990,0.7742,0.774,0.7747,0.7693,,0.32%
24,24.0,24.0,24.0,2/5/1990,0.7662,0.7659,0.7734,0.7628,,-1.03%
25,25.0,25.0,25.0,2/6/1990,0.7636,0.7633,0.7687,0.763,,-0.34%
26,26.0,26.0,26.0,2/7/1990,0.7567,0.7563,0.763,0.7535,,-0.90%
27,27.0,27.0,27.0,2/8/1990,0.754,0.7537,0.7585,0.7489,,-0.36%
28,28.0,28.0,28.0,2/9/1990,0.7487,0.7483,0.7556,0.7483,,-0.70%
29,29.0,29.0,29.0,2/12/1990,0.7545,0.7541,0.7551,0.7478,,0.77%
30,30.0,30.0,30.0,2/13/1990,0.748,0.7477,0.7563,0.7473,,-0.86%
31,31.0,31.0,31.0,2/14/1990,0.7432,0.7429,0.7507,0.7423,,-0.64%
32,32.0,32.0,32.0,2/15/1990,0.7527,0.7523,0.7533,0.739,,1.28%
33,33.0,33.0,33.0,2/16/1990,0.7578,0.7575,0.7587,0.7521,,0.68%
34,34.0,34.0,34.0,2/19/1990,0.7611,0.7608,0.7624,0.7549,,0.44%
35,35.0,35.0,35.0,2/20/1990,0.7593,0.759,0.7649,0.7581,,-0.24%
36,36.0,36.0,36.0,2/21/1990,0.7671,0.7668,0.7692,0.7536,,1.03%
37,37.0,37.0,37.0,2/22/1990,0.7633,0.763,0.7689,0.761,,-0.50%
38,38.0,38.0,38.0,2/23/1990,0.7659,0.7656,0.7674,0.76,,0.34%
39,39.0,39.0,39.0,2/26/1990,0.7661,0.7658,0.7672,0.7619,,0.03%
40,40.0,40.0,40.0,2/27/1990,0.7592,0.7589,0.7678,0.7565,,-0.90%
41,41.0,41.0,41.0,2/28/1990,0.7601,0.7598,0.7624,0.7565,,0.12%
42,42.0,42.0,42.0,3/1/1990,0.7644,0.764,0.7653,0.757,,0.57%
43,43.0,43.0,43.0,3/2/1990,0.76,0.7597,0.7652,0.7587,,-0.58%
44,44.0,44.0,44.0,3/5/1990,0.759,0.7586,0.7603,0.7558,,-0.13%
