,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,0.0,1/2/1990,12.9,12.9,12.9,12.9,0.00%
1,1.0,1.0,1.0,1.0,1/3/1990,12.95,12.95,12.95,12.95,0.39%
2,2.0,2.0,2.0,2.0,1/4/1990,12.95,12.95,12.95,12.95,0.00%
3,3.0,3.0,3.0,3.0,1/5/1990,13.0,13.0,13.0,13.0,0.39%
4,4.0,4.0,4.0,4.0,1/8/1990,13.0,13.0,13.0,13.0,0.00%
5,5.0,5.0,5.0,5.0,1/9/1990,12.9,12.9,12.9,12.9,-0.77%
6,6.0,6.0,6.0,6.0,1/10/1990,12.95,12.95,12.95,12.95,0.39%
7,7.0,7.0,7.0,7.0,1/11/1990,12.9,12.9,12.9,12.9,-0.39%
8,8.0,8.0,8.0,8.0,1/12/1990,12.95,12.95,12.95,12.95,0.39%
9,9.0,9.0,9.0,9.0,1/15/1990,12.95,12.95,12.95,12.95,0.00%
10,10.0,10.0,10.0,10.0,1/16/1990,13.05,13.05,13.05,13.05,0.77%
11,11.0,11.0,11.0,11.0,1/17/1990,13.0,13.0,13.0,13.0,-0.38%
12,12.0,12.0,12.0,12.0,1/18/1990,13.0,13.0,13.0,13.0,0.00%
13,13.0,13.0,13.0,13.0,1/19/1990,13.05,13.05,13.05,13.05,0.38%
14,14.0,14.0,14.0,14.0,1/22/1990,12.95,12.95,12.95,12.95,-0.77%
15,15.0,15.0,15.0,15.0,1/23/1990,12.8,12.8,12.8,12.8,-1.16%
16,16.0,16.0,16.0,16.0,1/24/1990,12.75,12.75,12.75,12.75,-0.39%
17,17.0,17.0,17.0,17.0,1/25/1990,12.75,12.75,12.75,12.75,0.00%
18,18.0,18.0,18.0,18.0,1/26/1990,12.75,12.75,12.75,12.75,0.00%
19,19.0,19.0,19.0,19.0,1/29/1990,12.75,12.75,12.75,12.75,0.00%
20,20.0,20.0,20.0,20.0,1/30/1990,12.75,12.75,12.75,12.75,0.00%
21,21.0,21.0,21.0,21.0,1/31/1990,12.8,12.8,12.8,12.8,0.39%
22,22.0,22.0,22.0,22.0,2/1/1990,12.75,12.75,12.75,12.75,-0.39%
23,23.0,23.0,23.0,23.0,2/2/1990,12.75,12.75,12.75,12.75,0.00%
24,24.0,24.0,24.0,24.0,2/5/1990,12.7,12.7,12.7,12.7,-0.39%
25,25.0,25.0,25.0,25.0,2/6/1990,12.75,12.75,12.75,12.75,0.39%
26,26.0,26.0,26.0,26.0,2/7/1990,12.75,12.75,12.75,12.75,0.00%
27,27.0,27.0,27.0,27.0,2/8/1990,12.85,12.85,12.85,12.85,0.78%
28,28.0,28.0,28.0,28.0,2/9/1990,12.9,12.9,12.9,12.9,0.39%
29,29.0,29.0,29.0,29.0,2/12/1990,13.0,13.0,13.0,13.0,0.78%
30,30.0,30.0,30.0,30.0,2/13/1990,12.95,12.95,12.95,12.95,-0.38%
31,31.0,31.0,31.0,31.0,2/14/1990,13.1,13.1,13.1,13.1,1.16%
32,32.0,32.0,32.0,32.0,2/15/1990,13.15,13.15,13.15,13.15,0.38%
33,33.0,33.0,33.0,33.0,2/16/1990,13.2,13.2,13.2,13.2,0.38%
34,34.0,34.0,34.0,34.0,2/19/1990,13.25,13.25,13.25,13.25,0.38%
35,35.0,35.0,35.0,35.0,2/20/1990,13.2,13.2,13.2,13.2,-0.38%
36,36.0,36.0,36.0,36.0,2/21/1990,13.3,13.3,13.3,13.3,0.76%
37,37.0,37.0,37.0,37.0,2/22/1990,13.3,13.3,13.3,13.3,0.00%
38,38.0,38.0,38.0,38.0,2/23/1990,13.25,13.25,13.25,13.25,-0.38%
39,39.0,39.0,39.0,39.0,2/26/1990,13.3,13.3,13.3,13.3,0.38%
40,40.0,40.0,40.0,40.0,2/27/1990,13.4,13.4,13.4,13.4,0.75%
41,41.0,41.0,41.0,41.0,2/28/1990,13.3,13.3,13.3,13.3,-0.75%
42,42.0,42.0,42.0,42.0,3/1/1990,13.42,13.42,13.42,13.42,0.90%
43,43.0,43.0,43.0,43.0,3/2/1990,13.55,13.55,13.55,13.55,0.97%
44,44.0,44.0,44.0,44.0,3/5/1990,13.71,13.71,13.71,13.71,1.18%
45,45.0,45.0,45.0,45.0,3/6/1990,13.46,13.46,13.46,13.46,-1.82%
46,46.0,46.0,46.0,46.0,3/7/1990,13.5,13.5,13.5,13.5,0.30%
47,47.0,47.0,47.0,47.0,3/8/1990,13.37,13.37,13.37,13.37,-0.96%
48,48.0,48.0,48.0,48.0,3/9/1990,13.33,13.33,13.33,13.33,-0.30%
49,49.0,49.0,49.0,49.0,3/12/1990,13.42,13.42,13.42,13.42,0.68%
50,50.0,50.0,50.0,50.0,3/13/1990,13.4,13.4,13.4,13.4,-0.15%
51,51.0,51.0,51.0,51.0,3/14/1990,13.52,13.52,13.52,13.52,0.90%
52,52.0,52.0,52.0,52.0,3/15/1990,13.42,13.42,13.42,13.42,-0.74%
53,53.0,53.0,53.0,53.0,3/16/1990,13.43,13.43,13.43,13.43,0.07%
54,54.0,54.0,54.0,54.0,3/19/1990,13.39,13.39,13.39,13.39,-0.30%
55,55.0,55.0,55.0,55.0,3/20/1990,13.33,13.33,13.33,13.33,-0.45%
56,56.0,56.0,56.0,56.0,3/21/1990,13.42,13.42,13.42,13.42,0.68%
57,57.0,57.0,57.0,57.0,3/22/1990,13.43,13.43,13.43,13.43,0.07%
58,58.0,58.0,58.0,58.0,3/23/1990,13.44,13.44,13.44,13.44,0.07%
59,59.0,59.0,59.0,59.0,3/26/1990,13.39,13.39,13.39,13.39,-0.37%
60,60.0,60.0,60.0,60.0,3/27/1990,13.41,13.41,13.41,13.41,0.15%
61,61.0,61.0,61.0,61.0,3/28/1990,13.38,13.38,13.38,13.38,-0.22%
62,62.0,62.0,62.0,62.0,3/29/1990,13.47,13.47,13.47,13.47,0.67%
63,63.0,63.0,63.0,63.0,3/30/1990,13.44,13.44,13.44,13.44,-0.22%
64,64.0,64.0,64.0,64.0,4/2/1990,13.55,13.55,13.55,13.55,0.82%
65,65.0,65.0,65.0,65.0,4/3/1990,13.55,13.55,13.55,13.55,0.00%
66,66.0,66.0,66.0,66.0,4/4/1990,13.65,13.65,13.65,13.65,0.74%
67,67.0,67.0,67.0,67.0,4/5/1990,13.47,13.47,13.47,13.47,-1.32%
68,68.0,68.0,68.0,68.0,4/6/1990,13.45,13.45,13.45,13.45,-0.15%
69,69.0,69.0,69.0,69.0,4/9/1990,13.38,13.38,13.38,13.38,-0.52%
70,70.0,70.0,70.0,70.0,4/10/1990,13.46,13.46,13.46,13.46,0.60%
71,71.0,71.0,71.0,71.0,4/11/1990,13.4,13.4,13.4,13.4,-0.45%
72,72.0,72.0,72.0,72.0,4/12/1990,13.36,13.36,13.36,13.36,-0.30%
73,73.0,73.0,73.0,73.0,4/17/1990,13.38,13.38,13.38,13.38,0.15%
74,74.0,74.0,74.0,74.0,4/18/1990,13.46,13.46,13.46,13.46,0.60%
75,75.0,75.0,75.0,75.0,4/19/1990,13.45,13.45,13.45,13.45,-0.07%
76,76.0,76.0,76.0,76.0,4/20/1990,13.55,13.55,13.55,13.55,0.74%
77,77.0,77.0,77.0,77.0,4/23/1990,13.69,13.69,13.69,13.69,1.03%
78,78.0,78.0,78.0,78.0,4/24/1990,13.78,13.78,13.78,13.78,0.66%
79,79.0,79.0,79.0,79.0,4/26/1990,13.7,13.7,13.7,13.7,-0.58%
80,80.0,80.0,80.0,80.0,4/27/1990,13.8,13.8,13.8,13.8,0.73%
81,81.0,81.0,81.0,81.0,4/30/1990,13.78,13.78,13.78,13.78,-0.14%
82,82.0,82.0,82.0,82.0,5/1/1990,13.69,13.69,13.69,13.69,-0.65%
83,83.0,83.0,83.0,83.0,5/2/1990,13.63,13.63,13.63,13.63,-0.44%
