,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,0.0,3/16/1994,6.499,6.499,6.499,6.499,-1.37%
1,1.0,1.0,1.0,1.0,3/17/1994,6.604,6.604,6.604,6.604,1.62%
2,2.0,2.0,2.0,2.0,3/18/1994,6.695,6.695,6.695,6.695,1.38%
3,3.0,3.0,3.0,3.0,3/21/1994,6.923,6.923,6.923,6.923,3.41%
4,4.0,4.0,4.0,4.0,3/22/1994,6.786,6.786,6.786,6.786,-1.98%
5,5.0,5.0,5.0,5.0,3/23/1994,6.847,6.847,6.847,6.847,0.90%
6,6.0,6.0,6.0,6.0,3/24/1994,6.893,6.893,6.893,6.893,0.67%
7,7.0,7.0,7.0,7.0,3/25/1994,7.048,7.048,7.048,7.048,2.25%
8,8.0,8.0,8.0,8.0,3/28/1994,7.064,7.064,7.064,7.064,0.23%
9,9.0,9.0,9.0,9.0,3/29/1994,7.188,7.188,7.188,7.188,1.76%
10,10.0,10.0,10.0,10.0,3/30/1994,7.437,7.437,7.437,7.437,3.46%
11,11.0,11.0,11.0,11.0,3/31/1994,7.505,7.505,7.505,7.505,0.91%
12,12.0,12.0,12.0,12.0,4/5/1994,7.646,7.646,7.646,7.646,1.88%
13,13.0,13.0,13.0,13.0,4/6/1994,7.694,7.694,7.694,7.694,0.63%
14,14.0,14.0,14.0,14.0,4/7/1994,7.537,7.537,7.537,7.537,-2.04%
15,15.0,15.0,15.0,15.0,4/8/1994,7.459,7.459,7.459,7.459,-1.03%
16,16.0,16.0,16.0,16.0,4/11/1994,7.54,7.54,7.54,7.54,1.09%
17,17.0,17.0,17.0,17.0,4/12/1994,7.352,7.352,7.352,7.352,-2.49%
18,18.0,18.0,18.0,18.0,4/13/1994,7.4,7.4,7.4,7.4,0.65%
19,19.0,19.0,19.0,19.0,4/14/1994,7.432,7.432,7.432,7.432,0.43%
20,20.0,20.0,20.0,20.0,4/15/1994,7.48,7.48,7.48,7.48,0.65%
21,21.0,21.0,21.0,21.0,4/18/1994,7.737,7.737,7.737,7.737,3.44%
22,22.0,22.0,22.0,22.0,4/19/1994,7.706,7.706,7.706,7.706,-0.40%
23,23.0,23.0,23.0,23.0,4/20/1994,7.675,7.675,7.675,7.675,-0.40%
24,24.0,24.0,24.0,24.0,4/21/1994,7.501,7.501,7.501,7.501,-2.27%
25,25.0,25.0,25.0,25.0,4/22/1994,7.534,7.534,7.534,7.534,0.44%
26,26.0,26.0,26.0,26.0,4/25/1994,7.504,7.504,7.504,7.504,-0.40%
