,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,92.72,92.68,92.72,92.68,,-0.76%
1,1.0,1.0,1.0,1.0,01/03/1990,92.06,92.02,92.06,92.02,,-0.71%
2,2.0,2.0,2.0,2.0,01/04/1990,93.27,93.23,93.27,93.23,,1.31%
3,3.0,3.0,3.0,3.0,01/05/1990,93.58,93.53,93.58,93.53,,0.33%
4,4.0,4.0,4.0,4.0,01/08/1990,94.58,94.53,94.58,94.53,,1.07%
5,5.0,5.0,5.0,5.0,01/09/1990,95.69,95.65,95.69,95.65,,1.17%
6,6.0,6.0,6.0,6.0,01/10/1990,96.12,96.08,96.12,96.08,,0.45%
7,7.0,7.0,7.0,7.0,01/11/1990,96.61,96.57,96.61,96.57,,0.51%
8,8.0,8.0,8.0,8.0,01/12/1990,97.31,97.27,97.31,97.27,,0.72%
9,9.0,9.0,9.0,9.0,01/15/1990,96.19,96.15,96.19,96.15,,-1.15%
10,10.0,10.0,10.0,10.0,01/16/1990,96.34,96.3,96.34,96.3,,0.16%
11,11.0,11.0,11.0,11.0,01/17/1990,96.5,96.46,96.5,96.46,,0.17%
12,12.0,12.0,12.0,12.0,01/18/1990,96.03,95.99,96.03,95.99,,-0.49%
13,13.0,13.0,13.0,13.0,01/19/1990,95.9,95.86,95.9,95.86,,-0.14%
14,14.0,14.0,14.0,14.0,01/22/1990,95.47,95.43,95.47,95.43,,-0.45%
15,15.0,15.0,15.0,15.0,01/23/1990,96.81,96.77,96.81,96.77,,1.40%
16,16.0,16.0,16.0,16.0,01/24/1990,97.44,97.4,97.44,97.4,,0.65%
17,17.0,17.0,17.0,17.0,01/25/1990,96.91,96.87,96.91,96.87,,-0.54%
18,18.0,18.0,18.0,18.0,01/26/1990,95.81,95.78,95.81,95.78,,-1.14%
19,19.0,19.0,19.0,19.0,01/29/1990,96.47,96.43,96.47,96.43,,0.69%
20,20.0,20.0,20.0,20.0,01/30/1990,96.67,96.61,96.67,96.61,,0.21%
21,21.0,21.0,21.0,21.0,01/31/1990,96.11,96.07,96.11,96.07,,-0.58%
22,22.0,22.0,22.0,22.0,02/01/1990,97.06,97.03,97.06,97.03,,0.99%
23,23.0,23.0,23.0,23.0,02/02/1990,97.64,97.59,97.64,97.59,,0.60%
24,24.0,24.0,24.0,24.0,02/05/1990,98.33,98.28,98.33,98.28,,0.71%
25,25.0,25.0,25.0,25.0,02/06/1990,98.45,98.41,98.45,98.41,,0.12%
26,26.0,26.0,26.0,26.0,02/07/1990,97.81,97.77,97.81,97.77,,-0.65%
27,27.0,27.0,27.0,27.0,02/08/1990,97.61,97.56,97.61,97.56,,-0.20%
28,28.0,28.0,28.0,28.0,02/09/1990,97.07,97.02,97.07,97.02,,-0.55%
29,29.0,29.0,29.0,29.0,02/12/1990,96.22,96.19,96.22,96.19,,-0.88%
30,30.0,30.0,30.0,30.0,02/13/1990,96.44,96.4,96.44,96.4,,0.23%
31,31.0,31.0,31.0,31.0,02/14/1990,96.56,96.52,96.56,96.52,,0.12%
32,32.0,32.0,32.0,32.0,02/15/1990,96.05,96.01,96.05,96.01,,-0.53%
33,33.0,33.0,33.0,33.0,02/16/1990,96.64,96.59,96.64,96.59,,0.61%
34,34.0,34.0,34.0,34.0,02/19/1990,97.3,97.26,97.3,97.26,,0.68%
35,35.0,35.0,35.0,35.0,02/20/1990,98.2,98.17,98.2,98.17,,0.92%
36,36.0,36.0,36.0,36.0,02/21/1990,98.36,98.32,98.36,98.32,,0.16%
37,37.0,37.0,37.0,37.0,02/22/1990,99.25,99.22,99.25,99.22,,0.90%
38,38.0,38.0,38.0,38.0,02/23/1990,99.78,99.74,99.78,99.74,,0.53%
39,39.0,39.0,39.0,39.0,02/26/1990,100.09,100.04,100.09,100.04,,0.31%
40,40.0,40.0,40.0,40.0,02/27/1990,100.08,100.05,100.08,100.05,,-0.01%
41,41.0,41.0,41.0,41.0,02/28/1990,99.37,99.34,99.37,99.34,,-0.71%
42,42.0,42.0,42.0,42.0,03/01/1990,99.33,99.29,99.33,99.29,,-0.04%
43,43.0,43.0,43.0,43.0,03/02/1990,99.49,99.43,99.49,99.43,,0.16%
44,44.0,44.0,44.0,44.0,03/05/1990,99.59,99.54,99.59,99.54,,0.10%
45,45.0,45.0,45.0,45.0,03/06/1990,100.06,100.03,100.06,100.03,,0.47%
46,46.0,46.0,46.0,46.0,03/07/1990,100.36,100.32,100.36,100.32,,0.30%
47,47.0,47.0,47.0,47.0,03/08/1990,100.21,100.17,100.21,100.17,,-0.15%
48,48.0,48.0,48.0,48.0,03/09/1990,100.16,100.12,100.16,100.12,,-0.05%
49,49.0,49.0,49.0,49.0,03/12/1990,100.02,99.98,100.02,99.98,,-0.14%
50,50.0,50.0,50.0,50.0,03/13/1990,99.89,99.85,99.89,99.85,,-0.13%
51,51.0,51.0,51.0,51.0,03/14/1990,99.94,99.91,99.94,99.91,,0.05%
52,52.0,52.0,52.0,52.0,03/15/1990,100.12,100.09,100.12,100.09,,0.18%
53,53.0,53.0,53.0,53.0,03/16/1990,101.11,101.07,101.11,101.07,,0.99%
54,54.0,54.0,54.0,54.0,03/19/1990,101.42,101.38,101.42,101.38,,0.31%
55,55.0,55.0,55.0,55.0,03/20/1990,101.38,101.33,101.38,101.33,,-0.04%
56,56.0,56.0,56.0,56.0,03/21/1990,101.43,101.4,101.43,101.4,,0.05%
57,57.0,57.0,57.0,57.0,03/22/1990,102.42,102.39,102.42,102.39,,0.98%
58,58.0,58.0,58.0,58.0,03/23/1990,101.66,101.62,101.66,101.62,,-0.74%
59,59.0,59.0,59.0,59.0,03/26/1990,103.06,103.03,103.06,103.03,,1.38%
60,60.0,60.0,60.0,60.0,03/27/1990,103.91,103.88,103.91,103.88,,0.82%
61,61.0,61.0,61.0,61.0,03/28/1990,104.56,104.53,104.56,104.53,,0.63%
62,62.0,62.0,62.0,62.0,03/29/1990,104.66,104.62,104.66,104.62,,0.10%
63,63.0,63.0,63.0,63.0,03/30/1990,105.79,105.75,105.79,105.75,,1.08%
64,64.0,64.0,64.0,64.0,04/02/1990,105.93,105.89,105.93,105.89,,0.13%
65,65.0,65.0,65.0,65.0,04/03/1990,106.36,106.32,106.36,106.32,,0.41%
66,66.0,66.0,66.0,66.0,04/04/1990,105.65,105.62,105.65,105.62,,-0.67%
67,67.0,67.0,67.0,67.0,04/05/1990,104.9,104.86,104.9,104.86,,-0.71%
68,68.0,68.0,68.0,68.0,04/06/1990,105.1,105.05,105.1,105.05,,0.19%
69,69.0,69.0,69.0,69.0,04/09/1990,105.77,105.72,105.77,105.72,,0.64%
70,70.0,70.0,70.0,70.0,04/10/1990,106.39,106.35,106.39,106.35,,0.59%
71,71.0,71.0,71.0,71.0,04/11/1990,106.89,106.84,106.89,106.84,,0.47%
72,72.0,72.0,72.0,72.0,04/12/1990,106.75,106.69,106.75,106.69,,-0.13%
73,73.0,73.0,73.0,73.0,04/13/1990,106.96,106.93,106.96,106.93,,0.20%
74,74.0,74.0,74.0,74.0,04/16/1990,107.09,107.04,107.09,107.04,,0.12%
75,75.0,75.0,75.0,75.0,04/17/1990,107.33,107.28,107.33,107.28,,0.22%
76,76.0,76.0,76.0,76.0,04/18/1990,106.88,106.83,106.88,106.83,,-0.42%
77,77.0,77.0,77.0,77.0,04/19/1990,105.63,105.59,105.63,105.59,,-1.17%
78,78.0,78.0,78.0,78.0,04/20/1990,105.69,105.64,105.69,105.64,,0.06%
79,79.0,79.0,79.0,79.0,04/23/1990,105.69,105.65,105.69,105.65,,0.00%
80,80.0,80.0,80.0,80.0,04/24/1990,106.9,106.86,106.9,106.86,,1.14%
81,81.0,81.0,81.0,81.0,04/25/1990,108.9,108.85,108.9,108.85,,1.87%
82,82.0,82.0,82.0,82.0,04/26/1990,109.32,109.27,109.32,109.27,,0.39%
83,83.0,83.0,83.0,83.0,04/27/1990,109.51,109.46,109.51,109.46,,0.17%
84,84.0,84.0,84.0,84.0,04/30/1990,109.53,109.49,109.53,109.49,,0.02%
85,85.0,85.0,85.0,85.0,05/01/1990,109.1,109.06,109.1,109.06,,-0.39%
86,86.0,86.0,86.0,86.0,05/02/1990,108.72,108.68,108.72,108.68,,-0.35%
87,87.0,87.0,87.0,87.0,05/03/1990,108.72,108.68,108.72,108.68,,0.00%
88,88.0,88.0,88.0,88.0,05/04/1990,109.63,109.58,109.63,109.58,,0.84%
89,89.0,89.0,89.0,89.0,05/07/1990,110.47,110.43,110.47,110.43,,0.77%
90,90.0,90.0,90.0,90.0,05/08/1990,110.1,110.05,110.1,110.05,,-0.33%
91,91.0,91.0,91.0,91.0,05/09/1990,111.61,111.56,111.61,111.56,,1.37%
92,92.0,92.0,92.0,92.0,05/10/1990,112.71,112.67,112.71,112.67,,0.99%
93,93.0,93.0,93.0,93.0,05/11/1990,109.17,109.12,109.17,109.12,,-3.14%
94,94.0,94.0,94.0,94.0,05/14/1990,109.4,109.36,109.4,109.36,,0.21%
95,95.0,95.0,95.0,95.0,05/15/1990,107.6,107.56,107.6,107.56,,-1.65%
96,96.0,96.0,96.0,96.0,05/16/1990,108.33,108.28,108.33,108.28,,0.68%
97,97.0,97.0,97.0,97.0,05/17/1990,108.37,108.33,108.37,108.33,,0.04%
98,98.0,98.0,98.0,98.0,05/18/1990,108.96,108.91,108.96,108.91,,0.54%
99,99.0,99.0,99.0,99.0,05/21/1990,108.09,108.04,108.09,108.04,,-0.80%
100,100.0,100.0,100.0,100.0,05/22/1990,106.69,106.66,106.69,106.66,,-1.30%
101,101.0,101.0,101.0,101.0,05/23/1990,106.74,106.71,106.74,106.71,,0.05%
102,102.0,102.0,102.0,102.0,05/24/1990,105.72,105.67,105.72,105.67,,-0.96%
103,103.0,103.0,103.0,103.0,05/25/1990,104.92,104.88,104.92,104.88,,-0.76%
104,104.0,104.0,104.0,104.0,05/28/1990,104.78,104.74,104.78,104.74,,-0.13%
105,105.0,105.0,105.0,105.0,05/29/1990,107.34,107.29,107.34,107.29,,2.44%
106,106.0,106.0,106.0,106.0,05/30/1990,106.43,106.37,106.45,106.37,,-0.85%
107,107.0,107.0,107.0,107.0,05/31/1990,106.5,106.44,106.53,106.44,,0.07%
108,108.0,108.0,108.0,108.0,06/01/1990,105.7,105.63,106.95,105.14,,-0.75%
109,109.0,109.0,109.0,109.0,06/04/1990,106.5,106.42,106.56,105.46,,0.76%
110,110.0,110.0,110.0,110.0,06/05/1990,106.77,106.71,106.82,106.08,,0.25%
111,111.0,111.0,111.0,111.0,06/06/1990,106.36,106.29,107.18,106.09,,-0.38%
112,112.0,112.0,112.0,112.0,06/07/1990,105.57,105.5,106.38,105.5,,-0.74%
113,113.0,113.0,113.0,113.0,06/08/1990,105.88,105.83,106.24,105.63,,0.29%
114,114.0,114.0,114.0,114.0,06/11/1990,107.43,107.36,107.54,105.83,,1.46%
115,115.0,115.0,115.0,115.0,06/12/1990,107.47,107.41,107.9,107.02,,0.04%
116,116.0,116.0,116.0,116.0,06/13/1990,108.66,108.61,108.81,107.52,,1.11%
117,117.0,117.0,117.0,117.0,06/14/1990,107.47,107.42,108.32,107.11,,-1.10%
118,118.0,118.0,118.0,118.0,06/15/1990,107.47,107.4,107.9,106.81,,0.00%
119,119.0,119.0,119.0,119.0,06/18/1990,108.6,108.55,108.79,107.27,,1.05%
120,120.0,120.0,120.0,120.0,06/19/1990,108.88,108.8,109.14,107.24,,0.26%
121,121.0,121.0,121.0,121.0,06/20/1990,109.0,108.92,109.16,107.95,,0.11%
122,122.0,122.0,122.0,122.0,06/21/1990,109.44,109.36,109.62,108.84,,0.40%
123,123.0,123.0,123.0,123.0,06/22/1990,109.69,109.62,109.97,109.2,,0.23%
124,124.0,124.0,124.0,124.0,06/25/1990,110.15,110.09,110.92,109.47,,0.42%
125,125.0,125.0,125.0,125.0,06/26/1990,110.39,110.32,110.77,109.57,,0.22%
126,126.0,126.0,126.0,126.0,06/27/1990,109.53,109.46,110.61,109.45,,-0.78%
127,127.0,127.0,127.0,127.0,06/28/1990,107.89,107.82,109.83,107.53,,-1.50%
