,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,1/2/1990,1.062,1.045,1.064,1.043,3.33K,-0.19%
1,1.0,1.0,1.0,1.0,1/3/1990,1.0965,1.0685,1.098,1.067,8.63K,3.25%
2,2.0,2.0,2.0,2.0,1/4/1990,1.0855,1.101,1.116,1.08,8.94K,-1.00%
3,3.0,3.0,3.0,3.0,1/5/1990,1.095,1.096,1.102,1.087,3.64K,0.88%
4,4.0,4.0,4.0,4.0,1/8/1990,1.1135,1.0975,1.118,1.085,7.48K,1.69%
5,5.0,5.0,5.0,5.0,1/9/1990,1.102,1.12,1.125,1.1,5.72K,-1.03%
6,6.0,6.0,6.0,6.0,1/10/1990,1.081,1.0965,1.1,1.0785,5.18K,-1.91%
7,7.0,7.0,7.0,7.0,1/11/1990,1.092,1.089,1.095,1.0865,2.66K,1.02%
8,8.0,8.0,8.0,8.0,1/12/1990,1.059,1.081,1.082,1.05,7.91K,-3.02%
9,9.0,9.0,9.0,9.0,1/15/1990,1.04,1.0505,1.053,1.03,6.49K,-1.79%
10,10.0,10.0,10.0,10.0,1/16/1990,1.045,1.032,1.055,1.023,8.12K,0.48%
11,11.0,11.0,11.0,11.0,1/17/1990,1.04,1.045,1.053,1.033,3.58K,-0.48%
12,12.0,12.0,12.0,12.0,1/18/1990,1.0235,1.034,1.046,1.02,5.73K,-1.59%
13,13.0,13.0,13.0,13.0,1/19/1990,0.993,1.002,1.008,0.988,8.81K,-2.98%
14,14.0,14.0,14.0,14.0,1/22/1990,0.9875,0.998,1.001,0.976,5.44K,-0.55%
15,15.0,15.0,15.0,15.0,1/23/1990,0.9745,0.962,0.979,0.9575,5.88K,-1.32%
16,16.0,16.0,16.0,16.0,1/24/1990,0.966,0.958,0.97,0.95,5.61K,-0.87%
17,17.0,17.0,17.0,17.0,1/25/1990,0.977,0.985,0.992,0.975,4.08K,1.14%
18,18.0,18.0,18.0,18.0,1/26/1990,0.9835,0.973,0.995,0.967,5.31K,0.67%
19,19.0,19.0,19.0,19.0,1/29/1990,0.9675,0.9965,1.002,0.963,4.86K,-1.63%
20,20.0,20.0,20.0,20.0,1/30/1990,0.953,0.959,0.959,0.959,0.00K,-1.50%
21,21.0,21.0,21.0,21.0,1/31/1990,0.978,0.978,0.978,0.978,0.01K,2.62%
22,22.0,22.0,22.0,22.0,2/1/1990,0.972,0.98,0.98,0.972,0.01K,-0.61%
23,23.0,23.0,23.0,23.0,2/2/1990,0.9935,0.988,0.994,0.988,0.01K,2.21%
24,24.0,24.0,24.0,24.0,2/5/1990,0.982,0.992,0.992,0.983,0.00K,-1.16%
25,25.0,25.0,25.0,25.0,2/6/1990,0.985,0.985,0.985,0.9825,0.01K,0.31%
26,26.0,26.0,26.0,26.0,2/7/1990,0.99,0.977,0.99,0.977,0.02K,0.51%
27,27.0,27.0,27.0,27.0,2/8/1990,0.9885,0.9885,0.9885,0.9885,0.01K,-0.15%
28,28.0,28.0,28.0,28.0,2/9/1990,1.0035,1.0035,1.0035,1.0035,0.00K,1.52%
29,29.0,29.0,29.0,29.0,2/12/1990,0.989,1.014,1.014,0.989,0.01K,-1.44%
30,30.0,30.0,30.0,30.0,2/13/1990,1.029,1.027,1.029,1.027,0.11K,4.04%
31,31.0,31.0,31.0,31.0,2/14/1990,1.0385,1.02,1.045,1.02,0.06K,0.92%
32,32.0,32.0,32.0,32.0,2/15/1990,1.0505,1.055,1.055,1.0495,0.02K,1.16%
33,33.0,33.0,33.0,33.0,2/16/1990,1.088,1.072,1.088,1.072,0.07K,3.57%
34,34.0,34.0,34.0,34.0,2/20/1990,1.1025,1.106,1.106,1.105,0.01K,1.33%
35,35.0,35.0,35.0,35.0,2/21/1990,1.108,1.087,1.1075,1.083,0.13K,0.50%
36,36.0,36.0,36.0,36.0,2/22/1990,1.112,1.102,1.105,1.102,0.07K,0.36%
37,37.0,37.0,37.0,37.0,2/23/1990,1.105,1.1,1.1,1.1,0.02K,-0.63%
38,38.0,38.0,38.0,38.0,2/26/1990,1.103,1.103,1.103,1.103,0.03K,-0.18%
39,39.0,39.0,39.0,39.0,2/27/1990,1.0675,1.0685,1.074,1.058,2.73K,-3.22%
40,40.0,40.0,40.0,40.0,2/28/1990,1.0825,1.068,1.086,1.0675,3.91K,1.41%
41,41.0,41.0,41.0,41.0,3/1/1990,1.092,1.091,1.099,1.086,4.63K,0.88%
42,42.0,42.0,42.0,42.0,3/2/1990,1.137,1.114,1.141,1.112,7.21K,4.12%
43,43.0,43.0,43.0,43.0,3/5/1990,1.168,1.1445,1.171,1.139,5.80K,2.73%
44,44.0,44.0,44.0,44.0,3/6/1990,1.1535,1.164,1.174,1.1425,6.54K,-1.24%
45,45.0,45.0,45.0,45.0,3/7/1990,1.1465,1.152,1.165,1.145,3.89K,-0.61%
46,46.0,46.0,46.0,46.0,3/8/1990,1.159,1.152,1.161,1.15,2.68K,1.09%
47,47.0,47.0,47.0,47.0,3/9/1990,1.155,1.178,1.1795,1.15,4.57K,-0.35%
48,48.0,48.0,48.0,48.0,3/12/1990,1.1495,1.139,1.158,1.133,3.94K,-0.48%
49,49.0,49.0,49.0,49.0,3/13/1990,1.127,1.145,1.156,1.122,5.83K,-1.96%
50,50.0,50.0,50.0,50.0,3/14/1990,1.174,1.133,1.1875,1.131,9.47K,4.17%
51,51.0,51.0,51.0,51.0,3/15/1990,1.1955,1.1965,1.199,1.179,5.94K,1.83%
52,52.0,52.0,52.0,52.0,3/16/1990,1.1975,1.204,1.206,1.185,5.05K,0.17%
53,53.0,53.0,53.0,53.0,3/19/1990,1.191,1.2025,1.209,1.181,5.26K,-0.54%
54,54.0,54.0,54.0,54.0,3/20/1990,1.173,1.1845,1.19,1.167,5.79K,-1.51%
55,55.0,55.0,55.0,55.0,3/21/1990,1.212,1.177,1.224,1.176,8.54K,3.32%
56,56.0,56.0,56.0,56.0,3/22/1990,1.181,1.2025,1.204,1.175,6.61K,-2.56%
57,57.0,57.0,57.0,57.0,3/23/1990,1.179,1.1655,1.183,1.162,5.46K,-0.17%
58,58.0,58.0,58.0,58.0,3/26/1990,1.147,1.16,1.164,1.135,5.32K,-2.71%
59,59.0,59.0,59.0,59.0,3/27/1990,1.1225,1.1625,1.164,1.12,7.82K,-2.14%
60,60.0,60.0,60.0,60.0,3/28/1990,1.165,1.1255,1.174,1.117,10.28K,3.79%
61,61.0,61.0,61.0,61.0,3/29/1990,1.145,1.145,1.145,1.145,,-1.72%
62,62.0,62.0,62.0,62.0,3/30/1990,1.181,1.175,1.175,1.175,0.01K,3.14%
63,63.0,63.0,63.0,63.0,4/2/1990,1.164,1.19,1.19,1.19,0.00K,-1.44%
64,64.0,64.0,64.0,64.0,4/3/1990,1.2035,1.205,1.205,1.205,0.01K,3.39%
65,65.0,65.0,65.0,65.0,4/4/1990,1.1515,1.151,1.151,1.151,0.05K,-4.32%
66,66.0,66.0,66.0,66.0,4/5/1990,1.1465,1.16,1.169,1.144,0.02K,-0.43%
67,67.0,67.0,67.0,67.0,4/6/1990,1.1685,1.147,1.163,1.147,0.01K,1.92%
68,68.0,68.0,68.0,68.0,4/9/1990,1.127,1.13,1.13,1.13,0.00K,-3.55%
69,69.0,69.0,69.0,69.0,4/10/1990,1.154,1.154,1.154,1.154,,2.40%
70,70.0,70.0,70.0,70.0,4/11/1990,1.146,1.146,1.146,1.146,,-0.69%
71,71.0,71.0,71.0,71.0,4/12/1990,1.1285,1.155,1.157,1.155,0.00K,-1.53%
72,72.0,72.0,72.0,72.0,4/16/1990,1.125,1.125,1.125,1.125,,-0.31%
73,73.0,73.0,73.0,73.0,4/17/1990,1.125,1.115,1.115,1.115,0.06K,0.00%
74,74.0,74.0,74.0,74.0,4/18/1990,1.126,1.126,1.126,1.126,0.00K,0.09%
75,75.0,75.0,75.0,75.0,4/19/1990,1.13,1.13,1.13,1.13,0.01K,0.36%
76,76.0,76.0,76.0,76.0,4/20/1990,1.0955,1.1,1.1,1.1,0.00K,-3.05%
77,77.0,77.0,77.0,77.0,4/23/1990,1.089,1.1,1.1,1.1,0.04K,-0.59%
78,78.0,78.0,78.0,78.0,4/24/1990,1.12,1.095,1.095,1.095,0.00K,2.85%
79,79.0,79.0,79.0,79.0,4/25/1990,1.1525,1.155,1.155,1.146,0.03K,2.90%
80,80.0,80.0,80.0,80.0,4/26/1990,1.15,1.15,1.15,1.15,0.04K,-0.22%
81,81.0,81.0,81.0,81.0,4/27/1990,1.116,1.109,1.11,1.093,2.63K,-2.96%
82,82.0,82.0,82.0,82.0,4/30/1990,1.089,1.0885,1.095,1.072,4.36K,-2.42%
