,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,1.5089,1.5076,1.5089,1.5076,,-0.17%
1,1.0,1.0,1.0,1.0,01/03/1990,1.5074,1.5062,1.5074,1.5062,,-0.10%
2,2.0,2.0,2.0,2.0,01/04/1990,1.5315,1.5304,1.5315,1.5304,,1.60%
3,3.0,3.0,3.0,3.0,01/05/1990,1.5298,1.5286,1.5298,1.5286,,-0.11%
4,4.0,4.0,4.0,4.0,01/08/1990,1.5488,1.5476,1.5488,1.5476,,1.24%
5,5.0,5.0,5.0,5.0,01/09/1990,1.5427,1.5418,1.5427,1.5418,,-0.39%
6,6.0,6.0,6.0,6.0,01/10/1990,1.5317,1.5305,1.5317,1.5305,,-0.71%
7,7.0,7.0,7.0,7.0,01/11/1990,1.5274,1.5265,1.5274,1.5265,,-0.28%
8,8.0,8.0,8.0,8.0,01/12/1990,1.5219,1.521,1.5219,1.521,,-0.36%
9,9.0,9.0,9.0,9.0,01/15/1990,1.5175,1.5162,1.5175,1.5162,,-0.29%
10,10.0,10.0,10.0,10.0,01/16/1990,1.5201,1.5189,1.5201,1.5189,,0.17%
11,11.0,11.0,11.0,11.0,01/17/1990,1.5206,1.5194,1.5206,1.5194,,0.03%
12,12.0,12.0,12.0,12.0,01/18/1990,1.4962,1.4952,1.4962,1.4952,,-1.60%
13,13.0,13.0,13.0,13.0,01/19/1990,1.4985,1.4973,1.4985,1.4973,,0.15%
14,14.0,14.0,14.0,14.0,01/22/1990,1.4855,1.4845,1.4855,1.4845,,-0.87%
15,15.0,15.0,15.0,15.0,01/23/1990,1.5564,1.5552,1.5564,1.5552,,4.77%
16,16.0,16.0,16.0,16.0,01/24/1990,1.5784,1.5772,1.5784,1.5772,,1.41%
17,17.0,17.0,17.0,17.0,01/25/1990,1.5888,1.5875,1.5888,1.5875,,0.66%
18,18.0,18.0,18.0,18.0,01/26/1990,1.5897,1.5885,1.5897,1.5885,,0.06%
19,19.0,19.0,19.0,19.0,01/29/1990,1.5896,1.5884,1.5896,1.5884,,-0.01%
20,20.0,20.0,20.0,20.0,01/30/1990,1.5854,1.5841,1.5854,1.5841,,-0.26%
21,21.0,21.0,21.0,21.0,01/31/1990,1.5669,1.5657,1.5669,1.5657,,-1.17%
22,22.0,22.0,22.0,22.0,02/01/1990,1.5755,1.5743,1.5755,1.5743,,0.55%
23,23.0,23.0,23.0,23.0,02/02/1990,1.5663,1.5654,1.5663,1.5654,,-0.58%
24,24.0,24.0,24.0,24.0,02/05/1990,1.6036,1.6024,1.6036,1.6024,,2.38%
25,25.0,25.0,25.0,25.0,02/06/1990,1.6098,1.6085,1.6098,1.6085,,0.39%
26,26.0,26.0,26.0,26.0,02/07/1990,1.6218,1.6205,1.6218,1.6205,,0.75%
