,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,0.7356,0.7351,0.7356,0.7351,,-0.53%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,0.7317,0.7313,0.7317,0.7313,,-0.53%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,0.7367,0.7362,0.7367,0.7362,,0.68%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,0.733,0.7326,0.733,0.7326,,-0.50%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,0.7353,0.7348,0.7353,0.7348,,0.31%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,0.7309,0.7306,0.7309,0.7306,,-0.60%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,0.7269,0.7266,0.7269,0.7266,,-0.55%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,0.7288,0.7284,0.7288,0.7284,,0.26%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,0.7262,0.7257,0.7262,0.7257,,-0.36%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,0.7252,0.7247,0.7252,0.7247,,-0.14%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,0.7246,0.7241,0.7246,0.7241,,-0.08%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,0.7292,0.7287,0.7292,0.7287,,0.63%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,0.723,0.7227,0.723,0.7227,,-0.85%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,0.7234,0.723,0.7234,0.723,,0.06%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,0.7218,0.7214,0.7218,0.7214,,-0.22%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,0.7258,0.7254,0.7258,0.7254,,0.55%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,0.7287,0.7283,0.7287,0.7283,,0.40%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,0.7281,0.7276,0.7281,0.7276,,-0.08%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,0.7262,0.7257,0.7262,0.7257,,-0.26%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,0.7228,0.7224,0.7228,0.7224,,-0.47%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,0.7274,0.727,0.7274,0.727,,0.64%
21,21.0,21.0,21.0,21.0,21.0,01/31/1990,0.7203,0.7199,0.7203,0.7199,,-0.98%
22,22.0,22.0,22.0,22.0,22.0,02/01/1990,0.7221,0.7216,0.7221,0.7216,,0.25%
23,23.0,23.0,23.0,23.0,23.0,02/02/1990,0.7205,0.7201,0.7205,0.7201,,-0.22%
24,24.0,24.0,24.0,24.0,24.0,02/05/1990,0.7226,0.7222,0.7226,0.7222,,0.29%
25,25.0,25.0,25.0,25.0,25.0,02/06/1990,0.7218,0.7214,0.7218,0.7214,,-0.11%
26,26.0,26.0,26.0,26.0,26.0,02/07/1990,0.724,0.7235,0.724,0.7235,,0.30%
27,27.0,27.0,27.0,27.0,27.0,02/08/1990,0.7216,0.7212,0.7216,0.7212,,-0.33%
28,28.0,28.0,28.0,28.0,28.0,02/09/1990,0.72,0.7196,0.72,0.7196,,-0.22%
29,29.0,29.0,29.0,29.0,29.0,02/12/1990,0.7193,0.7189,0.7193,0.7189,,-0.10%
30,30.0,30.0,30.0,30.0,30.0,02/13/1990,0.7197,0.7193,0.7197,0.7193,,0.06%
31,31.0,31.0,31.0,31.0,31.0,02/14/1990,0.7179,0.7174,0.7179,0.7174,,-0.25%
32,32.0,32.0,32.0,32.0,32.0,02/15/1990,0.7145,0.714,0.7145,0.714,,-0.47%
33,33.0,33.0,33.0,33.0,33.0,02/16/1990,0.7174,0.717,0.7174,0.717,,0.41%
34,34.0,34.0,34.0,34.0,34.0,02/19/1990,0.714,0.7137,0.714,0.7137,,-0.47%
35,35.0,35.0,35.0,35.0,35.0,02/20/1990,0.7153,0.7149,0.7153,0.7149,,0.18%
36,36.0,36.0,36.0,36.0,36.0,02/21/1990,0.7138,0.7134,0.7138,0.7134,,-0.21%
37,37.0,37.0,37.0,37.0,37.0,02/22/1990,0.7146,0.7141,0.7146,0.7141,,0.11%
38,38.0,38.0,38.0,38.0,38.0,02/23/1990,0.7136,0.7132,0.7136,0.7132,,-0.14%
39,39.0,39.0,39.0,39.0,39.0,02/26/1990,0.7166,0.7161,0.7166,0.7161,,0.42%
40,40.0,40.0,40.0,40.0,40.0,02/27/1990,0.7165,0.7161,0.7165,0.7161,,-0.01%
41,41.0,41.0,41.0,41.0,41.0,02/28/1990,0.7165,0.7161,0.7165,0.7161,,0.00%
42,42.0,42.0,42.0,42.0,42.0,03/01/1990,0.7161,0.7157,0.7161,0.7157,,-0.06%
43,43.0,43.0,43.0,43.0,43.0,03/02/1990,0.7231,0.7227,0.7231,0.7227,,0.98%
44,44.0,44.0,44.0,44.0,44.0,03/05/1990,0.7321,0.7316,0.7321,0.7316,,1.24%
45,45.0,45.0,45.0,45.0,45.0,03/06/1990,0.7281,0.7276,0.7281,0.7276,,-0.55%
46,46.0,46.0,46.0,46.0,46.0,03/07/1990,0.7294,0.729,0.7294,0.729,,0.18%
47,47.0,47.0,47.0,47.0,47.0,03/08/1990,0.7322,0.7318,0.7322,0.7318,,0.38%
48,48.0,48.0,48.0,48.0,48.0,03/09/1990,0.7405,0.74,0.7405,0.74,,1.13%
49,49.0,49.0,49.0,49.0,49.0,03/12/1990,0.7377,0.7373,0.7377,0.7373,,-0.38%
50,50.0,50.0,50.0,50.0,50.0,03/13/1990,0.7396,0.7393,0.7396,0.7393,,0.26%
51,51.0,51.0,51.0,51.0,51.0,03/14/1990,0.7402,0.7397,0.7402,0.7397,,0.08%
52,52.0,52.0,52.0,52.0,52.0,03/15/1990,0.7407,0.7403,0.7407,0.7403,,0.07%
53,53.0,53.0,53.0,53.0,53.0,03/16/1990,0.7412,0.7408,0.7412,0.7408,,0.07%
54,54.0,54.0,54.0,54.0,54.0,03/19/1990,0.7474,0.747,0.7474,0.747,,0.84%
55,55.0,55.0,55.0,55.0,55.0,03/20/1990,0.7464,0.7459,0.7464,0.7459,,-0.13%
56,56.0,56.0,56.0,56.0,56.0,03/21/1990,0.7462,0.7457,0.7462,0.7457,,-0.03%
57,57.0,57.0,57.0,57.0,57.0,03/22/1990,0.7464,0.7459,0.7464,0.7459,,0.03%
58,58.0,58.0,58.0,58.0,58.0,03/23/1990,0.7443,0.7438,0.7443,0.7438,,-0.28%
59,59.0,59.0,59.0,59.0,59.0,03/26/1990,0.7394,0.739,0.7394,0.739,,-0.66%
60,60.0,60.0,60.0,60.0,60.0,03/27/1990,0.7348,0.7344,0.7348,0.7344,,-0.62%
61,61.0,61.0,61.0,61.0,61.0,03/28/1990,0.735,0.7346,0.735,0.7346,,0.03%
62,62.0,62.0,62.0,62.0,62.0,03/29/1990,0.7347,0.7342,0.7347,0.7342,,-0.04%
63,63.0,63.0,63.0,63.0,63.0,03/30/1990,0.7332,0.7327,0.7332,0.7327,,-0.20%
64,64.0,64.0,64.0,64.0,64.0,04/02/1990,0.7357,0.7353,0.7357,0.7353,,0.34%
65,65.0,65.0,65.0,65.0,65.0,04/03/1990,0.7368,0.7364,0.7368,0.7364,,0.15%
66,66.0,66.0,66.0,66.0,66.0,04/04/1990,0.7342,0.7338,0.7342,0.7338,,-0.35%
67,67.0,67.0,67.0,67.0,67.0,04/05/1990,0.7324,0.7319,0.7324,0.7319,,-0.25%
68,68.0,68.0,68.0,68.0,68.0,04/06/1990,0.7359,0.7354,0.7359,0.7354,,0.48%
69,69.0,69.0,69.0,69.0,69.0,04/09/1990,0.7396,0.7392,0.7396,0.7392,,0.50%
70,70.0,70.0,70.0,70.0,70.0,04/10/1990,0.7419,0.7415,0.7419,0.7415,,0.31%
71,71.0,71.0,71.0,71.0,71.0,04/11/1990,0.7437,0.7434,0.7437,0.7434,,0.24%
72,72.0,72.0,72.0,72.0,72.0,04/12/1990,0.7446,0.7441,0.7446,0.7441,,0.12%
73,73.0,73.0,73.0,73.0,73.0,04/13/1990,0.7454,0.745,0.7454,0.745,,0.11%
74,74.0,74.0,74.0,74.0,74.0,04/16/1990,0.7467,0.7462,0.7467,0.7462,,0.17%
75,75.0,75.0,75.0,75.0,75.0,04/17/1990,0.744,0.7435,0.744,0.7435,,-0.36%
76,76.0,76.0,76.0,76.0,76.0,04/18/1990,0.745,0.7446,0.745,0.7446,,0.13%
77,77.0,77.0,77.0,77.0,77.0,04/19/1990,0.7399,0.7395,0.7399,0.7395,,-0.68%
78,78.0,78.0,78.0,78.0,78.0,04/20/1990,0.7399,0.7395,0.7399,0.7395,,0.00%
79,79.0,79.0,79.0,79.0,79.0,04/23/1990,0.7374,0.737,0.7374,0.737,,-0.34%
80,80.0,80.0,80.0,80.0,80.0,04/24/1990,0.7379,0.7374,0.7379,0.7374,,0.07%
81,81.0,81.0,81.0,81.0,81.0,04/25/1990,0.7436,0.7432,0.7436,0.7432,,0.77%
82,82.0,82.0,82.0,82.0,82.0,04/26/1990,0.7454,0.7449,0.7454,0.7449,,0.24%
83,83.0,83.0,83.0,83.0,83.0,04/27/1990,0.7467,0.7462,0.7467,0.7462,,0.17%
84,84.0,84.0,84.0,84.0,84.0,04/30/1990,0.7429,0.7425,0.7429,0.7425,,-0.51%
85,85.0,85.0,85.0,85.0,85.0,05/01/1990,0.7409,0.7405,0.7409,0.7405,,-0.27%
86,86.0,86.0,86.0,86.0,86.0,05/02/1990,0.7404,0.7399,0.7404,0.7399,,-0.07%
87,87.0,87.0,87.0,87.0,87.0,05/03/1990,0.7428,0.7423,0.7428,0.7423,,0.32%
88,88.0,88.0,88.0,88.0,88.0,05/04/1990,0.7393,0.7389,0.7393,0.7389,,-0.47%
89,89.0,89.0,89.0,89.0,89.0,05/07/1990,0.7415,0.7411,0.7415,0.7411,,0.30%
90,90.0,90.0,90.0,90.0,90.0,05/08/1990,0.7395,0.7391,0.7395,0.7391,,-0.27%
91,91.0,91.0,91.0,91.0,91.0,05/09/1990,0.7453,0.7448,0.7453,0.7448,,0.78%
92,92.0,92.0,92.0,92.0,92.0,05/10/1990,0.7458,0.7454,0.7458,0.7454,,0.07%
93,93.0,93.0,93.0,93.0,93.0,05/11/1990,0.7422,0.7417,0.7422,0.7417,,-0.48%
94,94.0,94.0,94.0,94.0,94.0,05/14/1990,0.7402,0.7398,0.7402,0.7398,,-0.27%
95,95.0,95.0,95.0,95.0,95.0,05/15/1990,0.7418,0.7414,0.7418,0.7414,,0.22%
96,96.0,96.0,96.0,96.0,96.0,05/16/1990,0.7399,0.7395,0.7399,0.7395,,-0.26%
97,97.0,97.0,97.0,97.0,97.0,05/17/1990,0.7329,0.7325,0.7329,0.7325,,-0.95%
98,98.0,98.0,98.0,98.0,98.0,05/18/1990,0.7347,0.7342,0.7347,0.7342,,0.25%
99,99.0,99.0,99.0,99.0,99.0,05/21/1990,0.7312,0.7308,0.7312,0.7308,,-0.48%
100,100.0,100.0,100.0,100.0,100.0,05/22/1990,0.7262,0.7257,0.7262,0.7257,,-0.68%
101,101.0,101.0,101.0,101.0,101.0,05/23/1990,0.7247,0.7243,0.7247,0.7243,,-0.21%
102,102.0,102.0,102.0,102.0,102.0,05/24/1990,0.7231,0.7226,0.7231,0.7226,,-0.22%
103,103.0,103.0,103.0,103.0,103.0,05/25/1990,0.7224,0.7219,0.7224,0.7219,,-0.10%
104,104.0,104.0,104.0,104.0,104.0,05/28/1990,0.7225,0.7221,0.7225,0.7221,,0.01%
105,105.0,105.0,105.0,105.0,105.0,05/29/1990,0.7237,0.7233,0.7237,0.7233,,0.17%
106,106.0,106.0,106.0,106.0,106.0,05/30/1990,0.7205,0.7201,0.7205,0.7201,,-0.44%
107,107.0,107.0,107.0,107.0,107.0,05/31/1990,0.7221,0.7217,0.7221,0.7217,,0.22%
108,108.0,108.0,108.0,108.0,108.0,06/01/1990,0.7195,0.7191,0.7195,0.7191,,-0.36%
109,109.0,109.0,109.0,109.0,109.0,06/04/1990,0.7241,0.7236,0.7241,0.7236,,0.64%
110,110.0,110.0,110.0,110.0,110.0,06/05/1990,0.7225,0.722,0.7225,0.722,,-0.22%
111,111.0,111.0,111.0,111.0,111.0,06/06/1990,0.7212,0.7208,0.7212,0.7208,,-0.18%
112,112.0,112.0,112.0,112.0,112.0,06/07/1990,0.7188,0.7184,0.7188,0.7184,,-0.33%
113,113.0,113.0,113.0,113.0,113.0,06/08/1990,0.719,0.7186,0.719,0.7186,,0.03%
114,114.0,114.0,114.0,114.0,114.0,06/11/1990,0.7199,0.7195,0.7199,0.7195,,0.13%
115,115.0,115.0,115.0,115.0,115.0,06/12/1990,0.7161,0.7156,0.7161,0.7156,,-0.53%
116,116.0,116.0,116.0,116.0,116.0,06/13/1990,0.711,0.7107,0.711,0.7107,,-0.71%
117,117.0,117.0,117.0,117.0,117.0,06/14/1990,0.717,0.7167,0.717,0.7167,,0.84%
118,118.0,118.0,118.0,118.0,118.0,06/15/1990,0.7127,0.7122,0.7127,0.7122,,-0.60%
119,119.0,119.0,119.0,119.0,119.0,06/18/1990,0.7175,0.717,0.7175,0.717,,0.67%
120,120.0,120.0,120.0,120.0,120.0,06/19/1990,0.7171,0.7168,0.7171,0.7168,,-0.06%
121,121.0,121.0,121.0,121.0,121.0,06/20/1990,0.7147,0.7144,0.7147,0.7144,,-0.33%
122,122.0,122.0,122.0,122.0,122.0,06/21/1990,0.7156,0.7152,0.7156,0.7152,,0.13%
123,123.0,123.0,123.0,123.0,123.0,06/22/1990,0.7109,0.7104,0.7109,0.7104,,-0.66%
124,124.0,124.0,124.0,124.0,124.0,06/25/1990,0.7106,0.7101,0.7161,0.7099,,-0.04%
125,125.0,125.0,125.0,125.0,125.0,06/26/1990,0.7089,0.7085,0.7126,0.7085,,-0.24%
126,126.0,126.0,126.0,126.0,126.0,06/27/1990,0.7115,0.7112,0.7139,0.7058,,0.37%
127,127.0,127.0,127.0,127.0,127.0,06/28/1990,0.7118,0.7115,0.7152,0.7106,,0.04%
128,128.0,128.0,128.0,128.0,128.0,06/29/1990,0.707,0.7065,0.715,0.7065,,-0.67%
129,129.0,129.0,129.0,129.0,129.0,07/02/1990,0.7014,0.701,0.7136,0.701,,-0.79%
130,130.0,130.0,130.0,130.0,130.0,07/03/1990,0.704,0.7037,0.7062,0.7024,,0.37%
131,131.0,131.0,131.0,131.0,131.0,07/04/1990,0.7042,0.7039,0.7057,0.701,,0.03%
132,132.0,132.0,132.0,132.0,132.0,07/05/1990,0.7036,0.7031,0.7066,0.7,,-0.09%
133,133.0,133.0,133.0,133.0,133.0,07/06/1990,0.7004,0.7,0.7052,0.6989,,-0.45%
134,134.0,134.0,134.0,134.0,134.0,07/09/1990,0.6946,0.6941,0.7004,0.6939,,-0.83%
135,135.0,135.0,135.0,135.0,135.0,07/10/1990,0.6911,0.6908,0.6978,0.6906,,-0.50%
136,136.0,136.0,136.0,136.0,136.0,07/11/1990,0.6968,0.6966,0.6995,0.6923,,0.82%
137,137.0,137.0,137.0,137.0,137.0,07/12/1990,0.688,0.6877,0.7031,0.6861,,-1.26%
138,138.0,138.0,138.0,138.0,138.0,07/13/1990,0.7001,0.6997,0.7004,0.6882,,1.76%
139,139.0,139.0,139.0,139.0,139.0,07/16/1990,0.6948,0.6946,0.7044,0.6936,,-0.76%
140,140.0,140.0,140.0,140.0,140.0,07/17/1990,0.6925,0.6921,0.6962,0.6913,,-0.33%
141,141.0,141.0,141.0,141.0,141.0,07/18/1990,0.6945,0.694,0.6983,0.6878,,0.29%
142,142.0,142.0,142.0,142.0,142.0,07/19/1990,0.6959,0.6954,0.6976,0.6916,,0.20%
143,143.0,143.0,143.0,143.0,143.0,07/20/1990,0.6942,0.6939,0.6969,0.6932,,-0.24%
144,144.0,144.0,144.0,144.0,144.0,07/23/1990,0.6981,0.6976,0.7,0.6945,,0.56%
145,145.0,145.0,145.0,145.0,145.0,07/24/1990,0.7044,0.7041,0.705,0.6978,,0.90%
