,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,173.62,173.54,173.62,173.54,,1.20%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,171.26,171.19,171.26,171.19,,-1.36%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,173.05,172.98,173.05,172.98,,1.05%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,173.29,173.22,173.29,173.22,,0.14%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,175.36,175.29,175.36,175.29,,1.19%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,175.93,175.86,175.93,175.86,,0.33%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,176.09,176.02,176.09,176.02,,0.09%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,175.92,175.86,175.92,175.86,,-0.10%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,175.84,175.77,175.84,175.77,,-0.05%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,175.13,175.06,175.13,175.06,,-0.40%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,174.8,174.74,174.8,174.74,,-0.19%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,175.25,175.19,175.25,175.19,,0.26%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,173.99,173.93,173.99,173.93,,-0.72%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,173.72,173.65,173.72,173.65,,-0.16%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,173.24,173.18,173.24,173.18,,-0.28%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,175.31,175.25,175.31,175.25,,1.19%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,175.57,175.52,175.57,175.52,,0.15%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,173.88,173.82,173.88,173.82,,-0.96%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,172.58,172.53,172.58,172.53,,-0.75%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,173.64,173.59,173.64,173.59,,0.61%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,176.12,176.05,176.12,176.05,,1.43%
21,21.0,21.0,21.0,21.0,21.0,01/31/1990,174.59,174.54,174.59,174.54,,-0.87%
22,22.0,22.0,22.0,22.0,22.0,02/01/1990,176.27,176.21,176.27,176.21,,0.96%
23,23.0,23.0,23.0,23.0,23.0,02/02/1990,176.62,176.55,176.62,176.55,,0.20%
24,24.0,24.0,24.0,24.0,24.0,02/05/1990,177.97,177.9,177.97,177.9,,0.76%
25,25.0,25.0,25.0,25.0,25.0,02/06/1990,178.58,178.52,178.58,178.52,,0.34%
26,26.0,26.0,26.0,26.0,26.0,02/07/1990,178.67,178.61,178.67,178.61,,0.05%
27,27.0,27.0,27.0,27.0,27.0,02/08/1990,177.68,177.6,177.68,177.6,,-0.55%
28,28.0,28.0,28.0,28.0,28.0,02/09/1990,176.91,176.84,176.91,176.84,,-0.43%
29,29.0,29.0,29.0,29.0,29.0,02/12/1990,175.77,175.72,175.77,175.72,,-0.64%
30,30.0,30.0,30.0,30.0,30.0,02/13/1990,175.7,175.64,175.7,175.64,,-0.04%
31,31.0,31.0,31.0,31.0,31.0,02/14/1990,175.83,175.78,175.83,175.78,,0.07%
32,32.0,32.0,32.0,32.0,32.0,02/15/1990,174.52,174.46,174.52,174.46,,-0.75%
33,33.0,33.0,33.0,33.0,33.0,02/16/1990,175.56,175.49,175.56,175.49,,0.60%
34,34.0,34.0,34.0,34.0,34.0,02/19/1990,176.06,176.03,176.06,176.03,,0.28%
35,35.0,35.0,35.0,35.0,35.0,02/20/1990,177.81,177.75,177.81,177.75,,0.99%
36,36.0,36.0,36.0,36.0,36.0,02/21/1990,177.94,177.89,177.94,177.89,,0.07%
37,37.0,37.0,37.0,37.0,37.0,02/22/1990,179.2,179.15,179.2,179.15,,0.71%
38,38.0,38.0,38.0,38.0,38.0,02/23/1990,179.35,179.28,179.35,179.28,,0.08%
39,39.0,39.0,39.0,39.0,39.0,02/26/1990,180.26,180.19,180.26,180.19,,0.51%
