,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,1.9911,1.9887,1.9911,1.9887,,-0.76%
1,1.0,1.0,1.0,1.0,01/03/1990,1.9811,1.9788,1.9811,1.9788,,-0.50%
2,2.0,2.0,2.0,2.0,01/04/1990,2.0163,2.0139,2.0163,2.0139,,1.78%
3,3.0,3.0,3.0,3.0,01/05/1990,2.0042,2.0018,2.0042,2.0018,,-0.60%
4,4.0,4.0,4.0,4.0,01/08/1990,2.0253,2.023,2.0253,2.023,,1.05%
5,5.0,5.0,5.0,5.0,01/09/1990,2.0053,2.003,2.0053,2.003,,-0.99%
6,6.0,6.0,6.0,6.0,01/10/1990,1.9847,1.9824,1.9847,1.9824,,-1.03%
7,7.0,7.0,7.0,7.0,01/11/1990,1.9892,1.987,1.9892,1.987,,0.23%
8,8.0,8.0,8.0,8.0,01/12/1990,1.9702,1.968,1.9702,1.968,,-0.96%
9,9.0,9.0,9.0,9.0,01/15/1990,1.9725,1.97,1.9725,1.97,,0.12%
10,10.0,10.0,10.0,10.0,01/16/1990,1.9721,1.9698,1.9721,1.9698,,-0.02%
11,11.0,11.0,11.0,11.0,01/17/1990,1.9674,1.9651,1.9674,1.9651,,-0.24%
12,12.0,12.0,12.0,12.0,01/18/1990,1.9325,1.9303,1.9325,1.9303,,-1.77%
13,13.0,13.0,13.0,13.0,01/19/1990,1.944,1.9417,1.944,1.9417,,0.60%
14,14.0,14.0,14.0,14.0,01/22/1990,1.9325,1.9304,1.9325,1.9304,,-0.59%
15,15.0,15.0,15.0,15.0,01/23/1990,1.9828,1.9805,1.9828,1.9805,,2.60%
16,16.0,16.0,16.0,16.0,01/24/1990,2.0253,2.023,2.0253,2.023,,2.14%
17,17.0,17.0,17.0,17.0,01/25/1990,2.0248,2.0224,2.0248,2.0224,,-0.02%
18,18.0,18.0,18.0,18.0,01/26/1990,2.0354,2.033,2.0354,2.033,,0.52%
19,19.0,19.0,19.0,19.0,01/29/1990,2.0378,2.0355,2.0378,2.0355,,0.12%
20,20.0,20.0,20.0,20.0,01/30/1990,2.0355,2.0331,2.0355,2.0331,,-0.11%
21,21.0,21.0,21.0,21.0,01/31/1990,2.0124,2.0101,2.0124,2.0101,,-1.13%
22,22.0,22.0,22.0,22.0,02/01/1990,2.0248,2.0225,2.0248,2.0225,,0.62%
23,23.0,23.0,23.0,23.0,02/02/1990,2.0162,2.014,2.0162,2.014,,-0.42%
24,24.0,24.0,24.0,24.0,02/05/1990,2.0421,2.0399,2.0421,2.0399,,1.28%
25,25.0,25.0,25.0,25.0,02/06/1990,2.0434,2.041,2.0434,2.041,,0.06%
26,26.0,26.0,26.0,26.0,02/07/1990,2.0606,2.0582,2.0606,2.0582,,0.84%
27,27.0,27.0,27.0,27.0,02/08/1990,2.0615,2.0591,2.0615,2.0591,,0.04%
28,28.0,28.0,28.0,28.0,02/09/1990,2.0622,2.0599,2.0622,2.0599,,0.03%
29,29.0,29.0,29.0,29.0,02/12/1990,2.0527,2.0504,2.0527,2.0504,,-0.46%
