,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,1.1839,1.1839,1.2008,1.1795,,-0.66%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,1.1778,1.1778,1.1841,1.1729,,-0.52%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,1.2067,1.2067,1.2104,1.169,,2.45%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,1.1985,1.1985,1.2075,1.1904,,-0.68%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,1.2162,1.2162,1.2173,1.1929,,1.48%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,1.2115,1.2115,1.2136,1.2012,,-0.39%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,1.2083,1.2083,1.2185,1.2048,,-0.26%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,1.209,1.209,1.2111,1.1993,,0.06%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,1.2058,1.2058,1.2151,1.2022,,-0.26%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,1.201,1.201,1.2098,1.201,,-0.40%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,1.202,1.202,1.2048,1.1887,,0.08%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,1.205,1.205,1.21,1.1969,,0.25%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,1.1888,1.1888,1.202,1.1865,,-1.34%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,1.1897,1.1897,1.1957,1.1844,,0.08%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,1.1818,1.1818,1.1871,1.1791,,-0.66%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,1.2016,1.2016,1.2028,1.1818,,1.68%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,1.205,1.205,1.2132,1.1993,,0.28%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,1.2082,1.2082,1.2087,1.2024,,0.27%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,1.208,1.208,1.2088,1.2004,,-0.02%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,1.2146,1.2146,1.2186,1.2079,,0.55%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,1.2156,1.2156,1.2209,1.2123,,0.08%
21,21.0,21.0,21.0,21.0,21.0,01/31/1990,1.2085,1.2085,1.2148,1.2056,,-0.58%
22,22.0,22.0,22.0,22.0,22.0,02/01/1990,1.2159,1.2159,1.2179,1.2089,,0.61%
23,23.0,23.0,23.0,23.0,23.0,02/02/1990,1.2127,1.2127,1.2181,1.2068,,-0.26%
24,24.0,24.0,24.0,24.0,24.0,02/05/1990,1.2288,1.2288,1.2304,1.2128,,1.33%
25,25.0,25.0,25.0,25.0,25.0,02/06/1990,1.2293,1.2293,1.2324,1.2254,,0.04%
26,26.0,26.0,26.0,26.0,26.0,02/07/1990,1.2271,1.2271,1.2325,1.224,,-0.18%
27,27.0,27.0,27.0,27.0,27.0,02/08/1990,1.2225,1.2225,1.2239,1.2166,,-0.37%
28,28.0,28.0,28.0,28.0,28.0,02/09/1990,1.2218,1.2218,1.223,1.2149,,-0.06%
29,29.0,29.0,29.0,29.0,29.0,02/12/1990,1.2178,1.2178,1.2228,1.2161,,-0.33%
