,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,0.0,0.0,01/01/1990,9.348,9.348,9.348,9.348,0.00%
1,1.0,1.0,1.0,1.0,1.0,01/02/1990,9.486,9.486,9.486,9.486,1.48%
2,2.0,2.0,2.0,2.0,2.0,01/03/1990,9.539,9.539,9.539,9.539,0.56%
3,3.0,3.0,3.0,3.0,3.0,01/04/1990,9.524,9.524,9.524,9.524,-0.16%
4,4.0,4.0,4.0,4.0,4.0,01/05/1990,9.568,9.568,9.568,9.568,0.46%
5,5.0,5.0,5.0,5.0,5.0,01/08/1990,9.609,9.609,9.609,9.609,0.43%
6,6.0,6.0,6.0,6.0,6.0,01/09/1990,9.555,9.555,9.555,9.555,-0.56%
7,7.0,7.0,7.0,7.0,7.0,01/10/1990,9.491,9.491,9.491,9.491,-0.67%
8,8.0,8.0,8.0,8.0,8.0,01/11/1990,9.441,9.441,9.441,9.441,-0.53%
9,9.0,9.0,9.0,9.0,9.0,01/12/1990,9.463,9.463,9.463,9.463,0.23%
10,10.0,10.0,10.0,10.0,10.0,01/15/1990,9.483,9.483,9.483,9.483,0.21%
11,11.0,11.0,11.0,11.0,11.0,01/16/1990,9.501,9.501,9.501,9.501,0.19%
12,12.0,12.0,12.0,12.0,12.0,01/17/1990,9.511,9.511,9.511,9.511,0.11%
13,13.0,13.0,13.0,13.0,13.0,01/18/1990,9.541,9.541,9.541,9.541,0.32%
14,14.0,14.0,14.0,14.0,14.0,01/19/1990,9.575,9.575,9.575,9.575,0.36%
15,15.0,15.0,15.0,15.0,15.0,01/22/1990,9.585,9.585,9.585,9.585,0.10%
16,16.0,16.0,16.0,16.0,16.0,01/23/1990,9.58,9.58,9.58,9.58,-0.05%
17,17.0,17.0,17.0,17.0,17.0,01/24/1990,9.62,9.62,9.62,9.62,0.42%
18,18.0,18.0,18.0,18.0,18.0,01/25/1990,9.554,9.554,9.554,9.554,-0.69%
19,19.0,19.0,19.0,19.0,19.0,01/26/1990,9.608,9.608,9.608,9.608,0.57%
20,20.0,20.0,20.0,20.0,20.0,01/29/1990,9.601,9.601,9.601,9.601,-0.07%
21,21.0,21.0,21.0,21.0,21.0,01/30/1990,9.55,9.55,9.55,9.55,-0.53%
22,22.0,22.0,22.0,22.0,22.0,01/31/1990,9.666,9.666,9.666,9.666,1.21%
23,23.0,23.0,23.0,23.0,23.0,02/01/1990,9.627,9.627,9.627,9.627,-0.40%
24,24.0,24.0,24.0,24.0,24.0,02/02/1990,9.627,9.627,9.627,9.627,0.00%
25,25.0,25.0,25.0,25.0,25.0,02/05/1990,9.623,9.623,9.623,9.623,-0.04%
26,26.0,26.0,26.0,26.0,26.0,02/06/1990,9.622,9.622,9.622,9.622,-0.01%
27,27.0,27.0,27.0,27.0,27.0,02/07/1990,9.75,9.75,9.75,9.75,1.33%
28,28.0,28.0,28.0,28.0,28.0,02/08/1990,9.907,9.907,9.907,9.907,1.61%
29,29.0,29.0,29.0,29.0,29.0,02/09/1990,9.938,9.938,9.938,9.938,0.31%
30,30.0,30.0,30.0,30.0,30.0,02/12/1990,9.902,9.902,9.902,9.902,-0.36%
31,31.0,31.0,31.0,31.0,31.0,02/13/1990,9.923,9.923,9.923,9.923,0.21%
32,32.0,32.0,32.0,32.0,32.0,02/14/1990,9.923,9.923,9.923,9.923,0.00%
33,33.0,33.0,33.0,33.0,33.0,02/15/1990,10.087,10.087,10.087,10.087,1.65%
34,34.0,34.0,34.0,34.0,34.0,02/16/1990,10.177,10.177,10.177,10.177,0.89%
35,35.0,35.0,35.0,35.0,35.0,02/19/1990,10.457,10.457,10.457,10.457,2.75%
36,36.0,36.0,36.0,36.0,36.0,02/20/1990,10.336,10.336,10.336,10.336,-1.16%
37,37.0,37.0,37.0,37.0,37.0,02/21/1990,10.236,10.236,10.236,10.236,-0.97%
38,38.0,38.0,38.0,38.0,38.0,02/22/1990,10.096,10.096,10.096,10.096,-1.37%
39,39.0,39.0,39.0,39.0,39.0,02/23/1990,10.096,10.096,10.096,10.096,0.00%
40,40.0,40.0,40.0,40.0,40.0,02/26/1990,10.062,10.062,10.062,10.062,-0.34%
41,41.0,41.0,41.0,41.0,41.0,02/27/1990,10.01,10.01,10.01,10.01,-0.52%
42,42.0,42.0,42.0,42.0,42.0,02/28/1990,10.01,10.01,10.01,10.01,0.00%
43,43.0,43.0,43.0,43.0,43.0,03/01/1990,10.25,10.25,10.25,10.25,2.40%
44,44.0,44.0,44.0,44.0,44.0,03/02/1990,10.311,10.311,10.311,10.311,0.60%
45,45.0,45.0,45.0,45.0,45.0,03/05/1990,10.301,10.301,10.301,10.301,-0.10%
