,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,2.5449,2.5433,2.5449,2.5433,,2.51%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,2.5422,2.5411,2.5422,2.5411,,-0.11%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,2.5181,2.5165,2.5181,2.5165,,-0.95%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,2.5261,2.5245,2.5261,2.5245,,0.32%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,2.5215,2.5199,2.5215,2.5199,,-0.18%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,2.5149,2.5138,2.5149,2.5138,,-0.26%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,2.5198,2.5185,2.5198,2.5185,,0.19%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,2.4985,2.4969,2.4985,2.4969,,-0.85%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,2.4882,2.4867,2.4882,2.4867,,-0.41%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,2.5102,2.5086,2.5102,2.5086,,0.88%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,2.504,2.5027,2.504,2.5027,,-0.25%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,2.4903,2.4887,2.4903,2.4887,,-0.55%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,2.5057,2.5043,2.5057,2.5043,,0.62%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,2.5038,2.5022,2.5038,2.5022,,-0.08%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,2.5141,2.5128,2.5141,2.5128,,0.41%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,2.4949,2.4933,2.4949,2.4933,,-0.76%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,2.4729,2.4715,2.4729,2.4715,,-0.88%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,2.4644,2.4628,2.4644,2.4628,,-0.34%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,2.4803,2.4787,2.4803,2.4787,,0.65%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,2.4903,2.4888,2.4903,2.4888,,0.40%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,2.505,2.5026,2.505,2.5026,,0.59%
21,21.0,21.0,21.0,21.0,21.0,01/31/1990,2.5221,2.5208,2.5221,2.5208,,0.68%
22,22.0,22.0,22.0,22.0,22.0,02/01/1990,2.5149,2.5133,2.5149,2.5133,,-0.29%
23,23.0,23.0,23.0,23.0,23.0,02/02/1990,2.5107,2.5094,2.5107,2.5094,,-0.17%
24,24.0,24.0,24.0,24.0,24.0,02/05/1990,2.5049,2.5033,2.5049,2.5033,,-0.23%
25,25.0,25.0,25.0,25.0,25.0,02/06/1990,2.513,2.5116,2.513,2.5116,,0.32%
26,26.0,26.0,26.0,26.0,26.0,02/07/1990,2.523,2.5214,2.523,2.5214,,0.40%
27,27.0,27.0,27.0,27.0,27.0,02/08/1990,2.5224,2.5208,2.5224,2.5208,,-0.02%
28,28.0,28.0,28.0,28.0,28.0,02/09/1990,2.5311,2.5295,2.5311,2.5295,,0.34%
29,29.0,29.0,29.0,29.0,29.0,02/12/1990,2.5392,2.5376,2.5392,2.5376,,0.32%
30,30.0,30.0,30.0,30.0,30.0,02/13/1990,2.5313,2.5297,2.5313,2.5297,,-0.31%
31,31.0,31.0,31.0,31.0,31.0,02/14/1990,2.5367,2.5351,2.5367,2.5351,,0.21%
32,32.0,32.0,32.0,32.0,32.0,02/15/1990,2.543,2.5414,2.543,2.5414,,0.25%
33,33.0,33.0,33.0,33.0,33.0,02/16/1990,2.5324,2.5308,2.5324,2.5308,,-0.42%
34,34.0,34.0,34.0,34.0,34.0,02/19/1990,2.5345,2.5329,2.5345,2.5329,,0.08%
35,35.0,35.0,35.0,35.0,35.0,02/20/1990,2.5312,2.5296,2.5312,2.5296,,-0.13%
36,36.0,36.0,36.0,36.0,36.0,02/21/1990,2.5345,2.5329,2.5345,2.5329,,0.13%
37,37.0,37.0,37.0,37.0,37.0,02/22/1990,2.5266,2.525,2.5266,2.525,,-0.31%
38,38.0,38.0,38.0,38.0,38.0,02/23/1990,2.5183,2.5174,2.5183,2.5174,,-0.33%
39,39.0,39.0,39.0,39.0,39.0,02/26/1990,2.5134,2.5118,2.5134,2.5118,,-0.19%
40,40.0,40.0,40.0,40.0,40.0,02/27/1990,2.5102,2.5091,2.5102,2.5091,,-0.13%
41,41.0,41.0,41.0,41.0,41.0,02/28/1990,2.5148,2.5137,2.5148,2.5137,,0.18%
42,42.0,42.0,42.0,42.0,42.0,03/01/1990,2.5117,2.5106,2.5117,2.5106,,-0.12%
43,43.0,43.0,43.0,43.0,43.0,03/02/1990,2.4903,2.4883,2.4903,2.4883,,-0.85%
44,44.0,44.0,44.0,44.0,44.0,03/05/1990,2.4588,2.4573,2.4588,2.4573,,-1.26%
45,45.0,45.0,45.0,45.0,45.0,03/06/1990,2.4701,2.4689,2.4701,2.4689,,0.46%
46,46.0,46.0,46.0,46.0,46.0,03/07/1990,2.4725,2.4709,2.4725,2.4709,,0.10%
47,47.0,47.0,47.0,47.0,47.0,03/08/1990,2.4729,2.4713,2.4729,2.4713,,0.02%
48,48.0,48.0,48.0,48.0,48.0,03/09/1990,2.4409,2.4394,2.4409,2.4394,,-1.29%
49,49.0,49.0,49.0,49.0,49.0,03/12/1990,2.4634,2.4619,2.4634,2.4619,,0.92%
50,50.0,50.0,50.0,50.0,50.0,03/13/1990,2.4516,2.4504,2.4516,2.4504,,-0.48%
51,51.0,51.0,51.0,51.0,51.0,03/14/1990,2.4516,2.4501,2.4516,2.4501,,0.00%
52,52.0,52.0,52.0,52.0,52.0,03/15/1990,2.4623,2.4607,2.4623,2.4607,,0.44%
53,53.0,53.0,53.0,53.0,53.0,03/16/1990,2.4442,2.4426,2.4442,2.4426,,-0.74%
54,54.0,54.0,54.0,54.0,54.0,03/19/1990,2.4368,2.4353,2.4368,2.4353,,-0.30%
55,55.0,55.0,55.0,55.0,55.0,03/20/1990,2.436,2.4344,2.436,2.4344,,-0.03%
56,56.0,56.0,56.0,56.0,56.0,03/21/1990,2.4316,2.4305,2.4316,2.4305,,-0.18%
57,57.0,57.0,57.0,57.0,57.0,03/22/1990,2.4264,2.4253,2.4264,2.4253,,-0.21%
58,58.0,58.0,58.0,58.0,58.0,03/23/1990,2.4303,2.4288,2.4303,2.4288,,0.16%
59,59.0,59.0,59.0,59.0,59.0,03/26/1990,2.4607,2.4591,2.4607,2.4591,,1.25%
60,60.0,60.0,60.0,60.0,60.0,03/27/1990,2.4682,2.4668,2.4682,2.4668,,0.30%
61,61.0,61.0,61.0,61.0,61.0,03/28/1990,2.4684,2.4671,2.4684,2.4671,,0.01%
62,62.0,62.0,62.0,62.0,62.0,03/29/1990,2.4554,2.4538,2.4554,2.4538,,-0.53%
63,63.0,63.0,63.0,63.0,63.0,03/30/1990,2.4657,2.4638,2.4657,2.4638,,0.42%
64,64.0,64.0,64.0,64.0,64.0,04/02/1990,2.455,2.4534,2.455,2.4534,,-0.43%
65,65.0,65.0,65.0,65.0,65.0,04/03/1990,2.4585,2.4572,2.4585,2.4572,,0.14%
66,66.0,66.0,66.0,66.0,66.0,04/04/1990,2.468,2.467,2.468,2.467,,0.39%
67,67.0,67.0,67.0,67.0,67.0,04/05/1990,2.4661,2.4645,2.4661,2.4645,,-0.08%
68,68.0,68.0,68.0,68.0,68.0,04/06/1990,2.4608,2.4593,2.4608,2.4593,,-0.21%
69,69.0,69.0,69.0,69.0,69.0,04/09/1990,2.4448,2.4435,2.4448,2.4435,,-0.65%
70,70.0,70.0,70.0,70.0,70.0,04/10/1990,2.4408,2.4395,2.4408,2.4395,,-0.16%
71,71.0,71.0,71.0,71.0,71.0,04/11/1990,2.4303,2.429,2.4303,2.429,,-0.43%
72,72.0,72.0,72.0,72.0,72.0,04/12/1990,2.432,2.4304,2.432,2.4304,,0.07%
73,73.0,73.0,73.0,73.0,73.0,04/13/1990,2.4303,2.4292,2.4303,2.4292,,-0.07%
74,74.0,74.0,74.0,74.0,74.0,04/16/1990,2.4263,2.4247,2.4263,2.4247,,-0.16%
75,75.0,75.0,75.0,75.0,75.0,04/17/1990,2.4383,2.4368,2.4383,2.4368,,0.49%
76,76.0,76.0,76.0,76.0,76.0,04/18/1990,2.4255,2.4239,2.4255,2.4239,,-0.52%
