,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,235.99,235.88,235.99,235.88,,1.75%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,234.03,233.93,234.03,233.93,,-0.83%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,234.87,234.77,234.87,234.77,,0.36%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,236.38,236.28,236.38,236.28,,0.64%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,238.47,238.36,238.47,238.36,,0.88%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,240.65,240.55,240.65,240.55,,0.91%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,242.22,242.12,242.22,242.12,,0.65%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,241.37,241.28,241.37,241.28,,-0.35%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,242.15,242.04,242.15,242.04,,0.32%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,241.46,241.35,241.46,241.35,,-0.28%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,241.24,241.15,241.24,241.15,,-0.09%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,240.31,240.22,240.31,240.22,,-0.39%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,240.59,240.52,240.59,240.52,,0.12%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,240.1,240.01,240.1,240.01,,-0.20%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,240.0,239.92,240.0,239.92,,-0.04%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,241.53,241.44,241.53,241.44,,0.64%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,240.94,240.86,240.94,240.86,,-0.24%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,238.81,238.72,238.81,238.72,,-0.88%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,237.65,237.56,237.65,237.56,,-0.49%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,240.23,240.14,240.23,240.14,,1.09%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,242.11,242.0,242.11,242.0,,0.78%
21,21.0,21.0,21.0,21.0,21.0,01/31/1990,242.39,242.31,242.39,242.31,,0.12%
22,22.0,22.0,22.0,22.0,22.0,02/01/1990,244.1,244.01,244.1,244.01,,0.71%
23,23.0,23.0,23.0,23.0,23.0,02/02/1990,245.13,245.04,245.13,245.04,,0.42%
24,24.0,24.0,24.0,24.0,24.0,02/05/1990,246.28,246.17,246.28,246.17,,0.47%
25,25.0,25.0,25.0,25.0,25.0,02/06/1990,247.39,247.31,247.39,247.31,,0.45%
26,26.0,26.0,26.0,26.0,26.0,02/07/1990,246.78,246.69,246.78,246.69,,-0.25%
27,27.0,27.0,27.0,27.0,27.0,02/08/1990,246.19,246.08,246.19,246.08,,-0.24%
28,28.0,28.0,28.0,28.0,28.0,02/09/1990,245.69,245.58,245.69,245.58,,-0.20%
29,29.0,29.0,29.0,29.0,29.0,02/12/1990,244.33,244.25,244.33,244.25,,-0.55%
30,30.0,30.0,30.0,30.0,30.0,02/13/1990,244.13,244.02,244.13,244.02,,-0.08%
31,31.0,31.0,31.0,31.0,31.0,02/14/1990,244.93,244.84,244.93,244.84,,0.33%
32,32.0,32.0,32.0,32.0,32.0,02/15/1990,244.25,244.15,244.25,244.15,,-0.28%
33,33.0,33.0,33.0,33.0,33.0,02/16/1990,244.7,244.6,244.7,244.6,,0.18%
34,34.0,34.0,34.0,34.0,34.0,02/19/1990,246.6,246.52,246.6,246.52,,0.78%
35,35.0,35.0,35.0,35.0,35.0,02/20/1990,248.57,248.48,248.57,248.48,,0.80%
36,36.0,36.0,36.0,36.0,36.0,02/21/1990,249.29,249.2,249.29,249.2,,0.29%
37,37.0,37.0,37.0,37.0,37.0,02/22/1990,250.78,250.69,250.78,250.69,,0.60%
38,38.0,38.0,38.0,38.0,38.0,02/23/1990,251.3,251.19,251.3,251.19,,0.21%
39,39.0,39.0,39.0,39.0,39.0,02/26/1990,251.56,251.45,251.56,251.45,,0.10%
40,40.0,40.0,40.0,40.0,40.0,02/27/1990,251.22,251.14,251.22,251.14,,-0.14%
41,41.0,41.0,41.0,41.0,41.0,02/28/1990,249.89,249.81,249.89,249.81,,-0.53%
42,42.0,42.0,42.0,42.0,42.0,03/01/1990,249.48,249.4,249.48,249.4,,-0.16%
43,43.0,43.0,43.0,43.0,43.0,03/02/1990,247.72,247.61,247.72,247.61,,-0.71%
44,44.0,44.0,44.0,44.0,44.0,03/05/1990,244.86,244.75,244.86,244.75,,-1.15%
45,45.0,45.0,45.0,45.0,45.0,03/06/1990,247.18,247.07,247.18,247.07,,0.95%
46,46.0,46.0,46.0,46.0,46.0,03/07/1990,248.13,248.03,248.13,248.03,,0.38%
47,47.0,47.0,47.0,47.0,47.0,03/08/1990,247.8,247.71,247.8,247.71,,-0.13%
48,48.0,48.0,48.0,48.0,48.0,03/09/1990,244.49,244.4,244.49,244.4,,-1.34%
49,49.0,49.0,49.0,49.0,49.0,03/12/1990,246.38,246.29,246.38,246.29,,0.77%
50,50.0,50.0,50.0,50.0,50.0,03/13/1990,244.87,244.79,244.87,244.79,,-0.61%
51,51.0,51.0,51.0,51.0,51.0,03/14/1990,245.03,244.94,245.03,244.94,,0.07%
52,52.0,52.0,52.0,52.0,52.0,03/15/1990,246.54,246.45,246.54,246.45,,0.62%
53,53.0,53.0,53.0,53.0,53.0,03/16/1990,247.14,247.03,247.14,247.03,,0.24%
54,54.0,54.0,54.0,54.0,54.0,03/19/1990,247.14,247.04,247.14,247.04,,0.00%
55,55.0,55.0,55.0,55.0,55.0,03/20/1990,246.96,246.85,246.96,246.85,,-0.07%
