,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,2.7067,2.7036,2.7067,2.7036,,-0.23%
1,1.0,1.0,1.0,1.0,01/03/1990,2.7075,2.7047,2.7075,2.7047,,0.03%
2,2.0,2.0,2.0,2.0,01/04/1990,2.7369,2.7337,2.7369,2.7337,,1.09%
3,3.0,3.0,3.0,3.0,01/05/1990,2.7341,2.731,2.7341,2.731,,-0.10%
4,4.0,4.0,4.0,4.0,01/08/1990,2.7543,2.7512,2.7543,2.7512,,0.74%
5,5.0,5.0,5.0,5.0,01/09/1990,2.7433,2.7404,2.7433,2.7404,,-0.40%
6,6.0,6.0,6.0,6.0,01/10/1990,2.7302,2.7274,2.7302,2.7274,,-0.48%
7,7.0,7.0,7.0,7.0,01/11/1990,2.7296,2.7265,2.7296,2.7265,,-0.02%
8,8.0,8.0,8.0,8.0,01/12/1990,2.7132,2.7102,2.7132,2.7102,,-0.60%
9,9.0,9.0,9.0,9.0,01/15/1990,2.7197,2.7166,2.7197,2.7166,,0.24%
10,10.0,10.0,10.0,10.0,01/16/1990,2.722,2.7189,2.722,2.7189,,0.08%
11,11.0,11.0,11.0,11.0,01/17/1990,2.698,2.6949,2.698,2.6949,,-0.88%
12,12.0,12.0,12.0,12.0,01/18/1990,2.6726,2.6698,2.6726,2.6698,,-0.94%
13,13.0,13.0,13.0,13.0,01/19/1990,2.6871,2.6841,2.6871,2.6841,,0.54%
14,14.0,14.0,14.0,14.0,01/22/1990,2.6776,2.6748,2.6776,2.6748,,-0.35%
15,15.0,15.0,15.0,15.0,01/23/1990,2.7319,2.7288,2.7319,2.7288,,2.03%
16,16.0,16.0,16.0,16.0,01/24/1990,2.7796,2.7767,2.7796,2.7767,,1.75%
17,17.0,17.0,17.0,17.0,01/25/1990,2.7812,2.778,2.7812,2.778,,0.06%
18,18.0,18.0,18.0,18.0,01/26/1990,2.8029,2.7997,2.8029,2.7997,,0.78%
19,19.0,19.0,19.0,19.0,01/29/1990,2.8195,2.8163,2.8195,2.8163,,0.59%
20,20.0,20.0,20.0,20.0,01/30/1990,2.7982,2.795,2.7982,2.795,,-0.76%
21,21.0,21.0,21.0,21.0,01/31/1990,2.7941,2.7912,2.7941,2.7912,,-0.15%
22,22.0,22.0,22.0,22.0,02/01/1990,2.8041,2.801,2.8041,2.801,,0.36%
23,23.0,23.0,23.0,23.0,02/02/1990,2.7986,2.7957,2.7986,2.7957,,-0.20%
24,24.0,24.0,24.0,24.0,02/05/1990,2.8262,2.823,2.8262,2.823,,0.99%
25,25.0,25.0,25.0,25.0,02/06/1990,2.8311,2.8281,2.8311,2.8281,,0.17%
26,26.0,26.0,26.0,26.0,02/07/1990,2.8464,2.8431,2.8464,2.8431,,0.54%
27,27.0,27.0,27.0,27.0,02/08/1990,2.8567,2.8534,2.8567,2.8534,,0.36%
28,28.0,28.0,28.0,28.0,02/09/1990,2.8641,2.8609,2.8641,2.8609,,0.26%
29,29.0,29.0,29.0,29.0,02/12/1990,2.8535,2.8503,2.8535,2.8503,,-0.37%
30,30.0,30.0,30.0,30.0,02/13/1990,2.8841,2.8807,2.8841,2.8807,,1.07%
31,31.0,31.0,31.0,31.0,02/14/1990,2.9051,2.9017,2.9051,2.9017,,0.73%
32,32.0,32.0,32.0,32.0,02/15/1990,2.8646,2.8613,2.8646,2.8613,,-1.39%
33,33.0,33.0,33.0,33.0,02/16/1990,2.8846,2.8813,2.8846,2.8813,,0.70%
34,34.0,34.0,34.0,34.0,02/19/1990,2.8815,2.8783,2.8815,2.8783,,-0.11%
35,35.0,35.0,35.0,35.0,02/20/1990,2.9042,2.9008,2.9042,2.9008,,0.79%
36,36.0,36.0,36.0,36.0,02/21/1990,2.8952,2.8919,2.8952,2.8919,,-0.31%
37,37.0,37.0,37.0,37.0,02/22/1990,2.9054,2.9021,2.9054,2.9021,,0.35%
38,38.0,38.0,38.0,38.0,02/23/1990,2.8925,2.8892,2.8925,2.8892,,-0.44%
39,39.0,39.0,39.0,39.0,02/26/1990,2.8833,2.88,2.8833,2.88,,-0.32%
40,40.0,40.0,40.0,40.0,02/27/1990,2.8737,2.8706,2.8737,2.8706,,-0.33%
41,41.0,41.0,41.0,41.0,02/28/1990,2.853,2.85,2.853,2.85,,-0.72%
42,42.0,42.0,42.0,42.0,03/01/1990,2.8307,2.8277,2.8307,2.8277,,-0.78%
43,43.0,43.0,43.0,43.0,03/02/1990,2.798,2.7955,2.798,2.7955,,-1.16%
44,44.0,44.0,44.0,44.0,03/05/1990,2.7896,2.7864,2.7896,2.7864,,-0.30%
45,45.0,45.0,45.0,45.0,03/06/1990,2.7939,2.7907,2.7939,2.7907,,0.15%
46,46.0,46.0,46.0,46.0,03/07/1990,2.8056,2.8023,2.8056,2.8023,,0.42%
47,47.0,47.0,47.0,47.0,03/08/1990,2.784,2.7808,2.784,2.7808,,-0.77%
48,48.0,48.0,48.0,48.0,03/09/1990,2.7367,2.7335,2.7367,2.7335,,-1.70%
49,49.0,49.0,49.0,49.0,03/12/1990,2.7387,2.7356,2.7387,2.7356,,0.07%
50,50.0,50.0,50.0,50.0,03/13/1990,2.7404,2.7376,2.7404,2.7376,,0.06%
51,51.0,51.0,51.0,51.0,03/14/1990,2.7382,2.7358,2.7382,2.7358,,-0.08%
52,52.0,52.0,52.0,52.0,03/15/1990,2.7534,2.7503,2.7534,2.7503,,0.56%
53,53.0,53.0,53.0,53.0,03/16/1990,2.7534,2.7502,2.7534,2.7502,,0.00%
54,54.0,54.0,54.0,54.0,03/19/1990,2.7616,2.7584,2.7616,2.7584,,0.30%
55,55.0,55.0,55.0,55.0,03/20/1990,2.7444,2.7412,2.7444,2.7412,,-0.62%
56,56.0,56.0,56.0,56.0,03/21/1990,2.749,2.7458,2.749,2.7458,,0.17%
57,57.0,57.0,57.0,57.0,03/22/1990,2.7549,2.7516,2.7549,2.7516,,0.21%
58,58.0,58.0,58.0,58.0,03/23/1990,2.766,2.7628,2.766,2.7628,,0.40%
59,59.0,59.0,59.0,59.0,03/26/1990,2.7816,2.7783,2.7816,2.7783,,0.56%
60,60.0,60.0,60.0,60.0,03/27/1990,2.8102,2.8072,2.8102,2.8072,,1.03%
61,61.0,61.0,61.0,61.0,03/28/1990,2.8173,2.814,2.8173,2.814,,0.25%
62,62.0,62.0,62.0,62.0,03/29/1990,2.84,2.8367,2.84,2.8367,,0.81%
63,63.0,63.0,63.0,63.0,03/30/1990,2.8352,2.8314,2.8352,2.8314,,-0.17%
64,64.0,64.0,64.0,64.0,04/02/1990,2.8237,2.8204,2.8237,2.8204,,-0.41%
65,65.0,65.0,65.0,65.0,04/03/1990,2.834,2.831,2.834,2.831,,0.36%
