,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,1/2/1990,1.6094,1.6094,1.627,1.604,,-0.13%
1,1.0,1.0,1.0,1.0,1/3/1990,1.6097,1.6097,1.6139,1.6038,,0.02%
2,2.0,2.0,2.0,2.0,1/4/1990,1.638,1.638,1.64,1.604,,1.76%
3,3.0,3.0,3.0,3.0,1/5/1990,1.635,1.635,1.642,1.626,,-0.18%
4,4.0,4.0,4.0,4.0,1/8/1990,1.654,1.654,1.6555,1.6345,,1.16%
5,5.0,5.0,5.0,5.0,1/9/1990,1.6574,1.6574,1.6593,1.6479,,0.21%
6,6.0,6.0,6.0,6.0,1/10/1990,1.6622,1.6622,1.6679,1.6549,,0.29%
7,7.0,7.0,7.0,7.0,1/11/1990,1.659,1.659,1.6647,1.649,,-0.19%
8,8.0,8.0,8.0,8.0,1/12/1990,1.6605,1.6605,1.6725,1.6532,,0.09%
9,9.0,9.0,9.0,9.0,1/15/1990,1.656,1.656,1.674,1.6545,,-0.27%
10,10.0,10.0,10.0,10.0,1/16/1990,1.659,1.659,1.662,1.649,,0.18%
11,11.0,11.0,11.0,11.0,1/17/1990,1.6525,1.6525,1.661,1.6448,,-0.39%
12,12.0,12.0,12.0,12.0,1/18/1990,1.6442,1.6442,1.6517,1.6409,,-0.50%
13,13.0,13.0,13.0,13.0,1/19/1990,1.6445,1.6445,1.649,1.637,,0.02%
14,14.0,14.0,14.0,14.0,1/22/1990,1.6374,1.6374,1.6463,1.6338,,-0.43%
15,15.0,15.0,15.0,15.0,1/23/1990,1.6555,1.6555,1.656,1.6362,,1.11%
16,16.0,16.0,16.0,16.0,1/24/1990,1.6538,1.6538,1.6618,1.6505,,-0.10%
17,17.0,17.0,17.0,17.0,1/25/1990,1.6595,1.6595,1.66,1.651,,0.34%
18,18.0,18.0,18.0,18.0,1/26/1990,1.6635,1.6635,1.667,1.653,,0.24%
19,19.0,19.0,19.0,19.0,1/29/1990,1.6804,1.6804,1.682,1.6672,,1.02%
20,20.0,20.0,20.0,20.0,1/30/1990,1.6711,1.6711,1.6883,1.6525,,-0.55%
21,21.0,21.0,21.0,21.0,1/31/1990,1.6778,1.6778,1.6845,1.6694,,0.40%
22,22.0,22.0,22.0,22.0,2/1/1990,1.6839,1.6839,1.6867,1.673,,0.36%
23,23.0,23.0,23.0,23.0,2/2/1990,1.6833,1.6833,1.6888,1.6784,,-0.04%
24,24.0,24.0,24.0,24.0,2/5/1990,1.7005,1.7005,1.7013,1.6865,,1.02%
25,25.0,25.0,25.0,25.0,2/6/1990,1.7031,1.7031,1.7066,1.6961,,0.15%
26,26.0,26.0,26.0,26.0,2/7/1990,1.695,1.695,1.7071,1.6932,,-0.48%
27,27.0,27.0,27.0,27.0,2/8/1990,1.694,1.694,1.696,1.6855,,-0.06%
28,28.0,28.0,28.0,28.0,2/9/1990,1.697,1.697,1.697,1.6873,,0.18%
29,29.0,29.0,29.0,29.0,2/12/1990,1.693,1.693,1.7005,1.6915,,-0.24%
30,30.0,30.0,30.0,30.0,2/13/1990,1.6915,1.6915,1.693,1.682,,-0.09%
31,31.0,31.0,31.0,31.0,2/14/1990,1.6945,1.6945,1.6978,1.69,,0.18%
32,32.0,32.0,32.0,32.0,2/15/1990,1.6858,1.6858,1.6965,1.6845,,-0.51%
33,33.0,33.0,33.0,33.0,2/16/1990,1.699,1.699,1.699,1.678,,0.78%
34,34.0,34.0,34.0,34.0,2/19/1990,1.705,1.705,1.7058,1.6955,,0.35%
35,35.0,35.0,35.0,35.0,2/20/1990,1.712,1.712,1.713,1.7015,,0.41%
36,36.0,36.0,36.0,36.0,2/21/1990,1.7125,1.7125,1.7173,1.7073,,0.03%
37,37.0,37.0,37.0,37.0,2/22/1990,1.7133,1.7133,1.717,1.7088,,0.05%
38,38.0,38.0,38.0,38.0,2/23/1990,1.708,1.708,1.7155,1.7044,,-0.31%
39,39.0,39.0,39.0,39.0,2/26/1990,1.6925,1.6925,1.7067,1.687,,-0.91%
40,40.0,40.0,40.0,40.0,2/27/1990,1.6892,1.6892,1.6936,1.6839,,-0.19%
41,41.0,41.0,41.0,41.0,2/28/1990,1.6762,1.6762,1.6924,1.6744,,-0.77%
42,42.0,42.0,42.0,42.0,3/1/1990,1.6644,1.6644,1.6857,1.6603,,-0.70%
43,43.0,43.0,43.0,43.0,3/2/1990,1.6473,1.6473,1.6682,1.643,,-1.03%
44,44.0,44.0,44.0,44.0,3/5/1990,1.6425,1.6425,1.6505,1.6355,,-0.29%
45,45.0,45.0,45.0,45.0,3/6/1990,1.647,1.647,1.6545,1.641,,0.27%
46,46.0,46.0,46.0,46.0,3/7/1990,1.6505,1.6505,1.6505,1.6365,,0.21%
47,47.0,47.0,47.0,47.0,3/8/1990,1.6395,1.6395,1.653,1.6383,,-0.67%
48,48.0,48.0,48.0,48.0,3/9/1990,1.616,1.616,1.6432,1.615,,-1.43%
49,49.0,49.0,49.0,49.0,3/12/1990,1.6123,1.6123,1.6145,1.603,,-0.23%
