,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0.2,1.2,2.2,3.2,4.2,5.2,6.2,0,1,2,3,4,5,6
0,0.0,0.0,0.0,0.0,1/2/1990,14.75,14.75,14.75,14.75,7.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0,1.0,1/3/1990,14.76,14.76,14.76,14.76,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2.0,2.0,1/4/1990,14.75,14.75,14.75,14.75,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3.0,3.0,1/5/1990,14.74,14.74,14.74,14.74,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,4.0,4.0,1/8/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,5.0,5.0,5.0,1/9/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,6.0,6.0,6.0,1/10/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,7.0,7.0,7.0,1/11/1990,14.75,14.75,14.75,14.75,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,8.0,8.0,8.0,1/12/1990,14.74,14.74,14.74,14.74,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,9.0,9.0,9.0,1/15/1990,14.76,14.76,14.76,14.76,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,10.0,10.0,10.0,1/16/1990,14.76,14.76,14.76,14.76,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,11.0,11.0,11.0,1/17/1990,14.76,14.76,14.76,14.76,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,12.0,12.0,12.0,1/18/1990,14.78,14.78,14.78,14.78,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13.0,13.0,13.0,13.0,1/19/1990,14.75,14.75,14.75,14.75,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,14.0,14.0,14.0,1/22/1990,14.75,14.75,14.75,14.75,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,15.0,15.0,15.0,1/23/1990,14.74,14.74,14.74,14.74,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,16.0,16.0,16.0,1/24/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,17.0,17.0,17.0,1/25/1990,14.72,14.72,14.72,14.72,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,18.0,18.0,18.0,1/26/1990,14.73,14.73,14.73,14.73,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19.0,19.0,19.0,19.0,1/29/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,20.0,20.0,20.0,1/30/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,21.0,21.0,21.0,1/31/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,22.0,22.0,22.0,2/1/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23.0,23.0,23.0,23.0,2/2/1990,14.74,14.74,14.74,14.74,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24.0,24.0,24.0,24.0,2/5/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25.0,25.0,25.0,25.0,2/6/1990,14.75,14.75,14.75,14.75,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,26.0,26.0,26.0,2/7/1990,14.75,14.75,14.75,14.75,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27.0,27.0,27.0,27.0,2/8/1990,14.74,14.74,14.74,14.74,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28.0,28.0,28.0,28.0,2/9/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29.0,29.0,29.0,29.0,2/12/1990,14.75,14.75,14.75,14.75,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30.0,30.0,30.0,30.0,2/13/1990,14.73,14.73,14.73,14.73,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31.0,31.0,31.0,31.0,2/14/1990,14.71,14.71,14.71,14.71,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,32.0,32.0,32.0,2/15/1990,14.73,14.73,14.73,14.73,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33.0,33.0,33.0,33.0,2/16/1990,14.72,14.72,14.72,14.72,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34.0,34.0,34.0,34.0,2/19/1990,14.73,14.73,14.73,14.73,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35.0,35.0,35.0,35.0,2/20/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36.0,36.0,36.0,36.0,2/21/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37.0,37.0,37.0,37.0,2/22/1990,14.72,14.72,14.72,14.72,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38.0,38.0,38.0,38.0,2/23/1990,14.71,14.71,14.71,14.71,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39.0,39.0,39.0,39.0,2/26/1990,14.73,14.73,14.73,14.73,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40.0,40.0,40.0,40.0,2/27/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41.0,41.0,41.0,41.0,2/28/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42.0,42.0,42.0,42.0,3/1/1990,14.73,14.73,14.73,14.73,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43.0,43.0,43.0,43.0,3/2/1990,14.72,14.72,14.72,14.72,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44.0,44.0,44.0,44.0,3/5/1990,14.74,14.74,14.74,14.74,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45.0,45.0,45.0,45.0,3/6/1990,14.73,14.73,14.73,14.73,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46.0,46.0,46.0,46.0,3/7/1990,14.71,14.71,14.71,14.71,-0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47.0,47.0,47.0,47.0,3/8/1990,14.71,14.71,14.71,14.71,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48.0,48.0,48.0,48.0,3/9/1990,14.73,14.73,14.73,14.73,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49.0,49.0,49.0,49.0,3/12/1990,14.78,14.78,14.78,14.78,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50.0,50.0,50.0,50.0,3/13/1990,14.77,14.77,14.77,14.77,-0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51.0,51.0,51.0,51.0,3/14/1990,14.74,14.74,14.74,14.74,-0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52.0,52.0,52.0,52.0,3/15/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53.0,53.0,53.0,53.0,3/16/1990,14.74,14.74,14.74,14.74,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
