,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,0.0,1/27/1994,5.465,5.465,5.465,5.465,0.55%
1,1.0,1.0,1.0,1.0,1/28/1994,5.439,5.439,5.439,5.439,-0.48%
2,2.0,2.0,2.0,2.0,1/31/1994,5.404,5.404,5.404,5.404,-0.64%
3,3.0,3.0,3.0,3.0,2/1/1994,5.412,5.412,5.412,5.412,0.15%
4,4.0,4.0,4.0,4.0,2/2/1994,5.431,5.431,5.431,5.431,0.35%
5,5.0,5.0,5.0,5.0,2/3/1994,5.473,5.473,5.473,5.473,0.77%
6,6.0,6.0,6.0,6.0,2/4/1994,5.503,5.503,5.503,5.503,0.55%
7,7.0,7.0,7.0,7.0,2/7/1994,5.642,5.642,5.642,5.642,2.53%
8,8.0,8.0,8.0,8.0,2/8/1994,5.522,5.522,5.522,5.522,-2.13%
9,9.0,9.0,9.0,9.0,2/9/1994,5.588,5.588,5.588,5.588,1.20%
10,10.0,10.0,10.0,10.0,2/10/1994,5.63,5.63,5.63,5.63,0.75%
11,11.0,11.0,11.0,11.0,2/11/1994,5.627,5.627,5.627,5.627,-0.05%
12,12.0,12.0,12.0,12.0,2/14/1994,5.65,5.65,5.65,5.65,0.41%
13,13.0,13.0,13.0,13.0,2/15/1994,5.635,5.635,5.635,5.635,-0.27%
14,14.0,14.0,14.0,14.0,2/16/1994,5.608,5.608,5.608,5.608,-0.48%
15,15.0,15.0,15.0,15.0,2/17/1994,5.569,5.569,5.569,5.569,-0.70%
16,16.0,16.0,16.0,16.0,2/18/1994,5.635,5.635,5.635,5.635,1.19%
17,17.0,17.0,17.0,17.0,2/21/1994,5.659,5.659,5.659,5.659,0.43%
18,18.0,18.0,18.0,18.0,2/22/1994,5.785,5.785,5.785,5.785,2.23%
19,19.0,19.0,19.0,19.0,2/23/1994,5.817,5.817,5.817,5.817,0.55%
20,20.0,20.0,20.0,20.0,2/24/1994,6.062,6.062,6.062,6.062,4.21%
21,21.0,21.0,21.0,21.0,2/25/1994,5.975,5.975,5.975,5.975,-1.44%
22,22.0,22.0,22.0,22.0,2/28/1994,5.87,5.87,5.87,5.87,-1.76%
23,23.0,23.0,23.0,23.0,3/1/1994,5.949,5.949,5.949,5.949,1.35%
24,24.0,24.0,24.0,24.0,3/2/1994,5.97,5.97,5.97,5.97,0.35%
25,25.0,25.0,25.0,25.0,3/3/1994,5.966,5.966,5.966,5.966,-0.07%
26,26.0,26.0,26.0,26.0,3/4/1994,5.915,5.915,5.915,5.915,-0.85%
27,27.0,27.0,27.0,27.0,3/7/1994,5.844,5.844,5.844,5.844,-1.20%
28,28.0,28.0,28.0,28.0,3/8/1994,5.889,5.889,5.889,5.889,0.77%
29,29.0,29.0,29.0,29.0,3/9/1994,5.945,5.945,5.945,5.945,0.95%
30,30.0,30.0,30.0,30.0,3/10/1994,5.893,5.893,5.893,5.893,-0.87%
