,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1,0,1,2,3,4,5,6
0,0.0,0.0,0.0,1/27/1994,5.25,5.25,5.25,5.25,0.00%,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0,1/28/1994,5.19,5.19,5.19,5.19,-1.14%,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2.0,1/31/1994,5.25,5.25,5.25,5.25,1.16%,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3.0,2/1/1994,5.218,5.218,5.218,5.218,-0.61%,,,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,4.0,2/2/1994,5.25,5.25,5.25,5.25,0.61%,,,,,,,,,,,,,,,,,,,,,
5,5.0,5.0,5.0,2/3/1994,5.18,5.18,5.18,5.18,-1.33%,,,,,,,,,,,,,,,,,,,,,
6,6.0,6.0,6.0,2/4/1994,5.312,5.312,5.312,5.312,2.55%,,,,,,,,,,,,,,,,,,,,,
7,7.0,7.0,7.0,2/7/1994,5.31,5.31,5.31,5.31,-0.04%,,,,,,,,,,,,,,,,,,,,,
8,8.0,8.0,8.0,2/8/1994,5.06,5.06,5.06,5.06,-4.71%,,,,,,,,,,,,,,,,,,,,,
9,9.0,9.0,9.0,2/9/1994,5.12,5.12,5.12,5.12,1.19%,,,,,,,,,,,,,,,,,,,,,
10,10.0,10.0,10.0,2/10/1994,5.09,5.09,5.09,5.09,-0.59%,,,,,,,,,,,,,,,,,,,,,
11,11.0,11.0,11.0,2/11/1994,5.12,5.12,5.12,5.12,0.59%,,,,,,,,,,,,,,,,,,,,,
12,12.0,12.0,12.0,2/14/1994,5.18,5.18,5.18,5.18,1.17%,,,,,,,,,,,,,,,,,,,,,
13,13.0,13.0,13.0,2/15/1994,5.12,5.12,5.12,5.12,-1.16%,,,,,,,,,,,,,,,,,,,,,
14,14.0,14.0,14.0,2/16/1994,5.0,5.0,5.0,5.0,-2.34%,,,,,,,,,,,,,,,,,,,,,
15,15.0,15.0,15.0,2/17/1994,5.0,5.0,5.0,5.0,0.00%,,,,,,,,,,,,,,,,,,,,,
16,16.0,16.0,16.0,2/18/1994,5.06,5.06,5.06,5.06,1.20%,,,,,,,,,,,,,,,,,,,,,
17,17.0,17.0,17.0,2/21/1994,5.0,5.0,5.0,5.0,-1.19%,,,,,,,,,,,,,,,,,,,,,
18,18.0,18.0,18.0,2/22/1994,5.06,5.06,5.06,5.06,1.20%,,,,,,,,,,,,,,,,,,,,,
19,19.0,19.0,19.0,2/23/1994,5.0,5.0,5.0,5.0,-1.19%,,,,,,,,,,,,,,,,,,,,,
20,20.0,20.0,20.0,2/24/1994,5.25,5.25,5.25,5.25,5.00%,,,,,,,,,,,,,,,,,,,,,
21,21.0,21.0,21.0,2/25/1994,5.1,5.1,5.1,5.1,-2.86%,,,,,,,,,,,,,,,,,,,,,
22,22.0,22.0,22.0,2/28/1994,5.06,5.06,5.06,5.06,-0.78%,,,,,,,,,,,,,,,,,,,,,
23,23.0,23.0,23.0,3/1/1994,5.06,5.06,5.06,5.06,0.00%,,,,,,,,,,,,,,,,,,,,,
24,24.0,24.0,24.0,3/2/1994,5.06,5.06,5.06,5.06,0.00%,,,,,,,,,,,,,,,,,,,,,
25,25.0,25.0,25.0,3/3/1994,5.0,5.0,5.0,5.0,-1.19%,,,,,,,,,,,,,,,,,,,,,
26,26.0,26.0,26.0,3/4/1994,5.06,5.06,5.06,5.06,1.20%,,,,,,,,,,,,,,,,,,,,,
27,27.0,27.0,27.0,3/7/1994,5.0,5.0,5.0,5.0,-1.19%,,,,,,,,,,,,,,,,,,,,,
28,28.0,28.0,28.0,3/8/1994,5.06,5.06,5.06,5.06,1.20%,,,,,,,,,,,,,,,,,,,,,
29,29.0,29.0,29.0,3/9/1994,5.06,5.06,5.06,5.06,0.00%,,,,,,,,,,,,,,,,,,,,,
30,30.0,30.0,30.0,3/10/1994,5.0,5.0,5.0,5.0,-1.19%,,,,,,,,,,,,,,,,,,,,,
31,31.0,31.0,31.0,3/11/1994,5.06,5.06,5.06,5.06,1.20%,,,,,,,,,,,,,,,,,,,,,
32,32.0,32.0,32.0,3/14/1994,5.06,5.06,5.06,5.06,0.00%,,,,,,,,,,,,,,,,,,,,,
33,33.0,33.0,33.0,3/15/1994,5.12,5.12,5.12,5.12,1.19%,,,,,,,,,,,,,,,,,,,,,
34,34.0,34.0,34.0,3/16/1994,5.06,5.06,5.06,5.06,-1.17%,,,,,,,,,,,,,,,,,,,,,
35,35.0,35.0,35.0,3/18/1994,5.06,5.06,5.06,5.06,0.00%,,,,,,,,,,,,,,,,,,,,,
36,36.0,36.0,36.0,3/21/1994,5.18,5.18,5.18,5.18,2.37%,,,,,,,,,,,,,,,,,,,,,
37,37.0,37.0,37.0,3/22/1994,5.15,5.15,5.15,5.15,-0.58%,,,,,,,,,,,,,,,,,,,,,
38,38.0,38.0,38.0,3/23/1994,5.06,5.06,5.06,5.06,-1.75%,,,,,,,,,,,,,,,,,,,,,
39,39.0,39.0,39.0,3/24/1994,5.18,5.18,5.18,5.18,2.37%,,,,,,,,,,,,,,,,,,,,,
40,40.0,40.0,40.0,3/25/1994,5.25,5.25,5.25,5.25,1.35%,,,,,,,,,,,,,,,,,,,,,
41,41.0,41.0,41.0,3/28/1994,5.25,5.25,5.25,5.25,0.00%,,,,,,,,,,,,,,,,,,,,,
42,42.0,42.0,42.0,3/29/1994,5.25,5.25,5.25,5.25,0.00%,,,,,,,,,,,,,,,,,,,,,
43,43.0,43.0,43.0,3/30/1994,5.37,5.37,5.37,5.37,2.29%,,,,,,,,,,,,,,,,,,,,,
44,44.0,44.0,44.0,3/31/1994,5.43,5.43,5.43,5.43,1.12%,,,,,,,,,,,,,,,,,,,,,
45,45.0,45.0,45.0,4/5/1994,5.44,5.44,5.44,5.44,0.18%,,,,,,,,,,,,,,,,,,,,,
46,46.0,46.0,46.0,4/6/1994,5.38,5.38,5.38,5.38,-1.10%,,,,,,,,,,,,,,,,,,,,,
47,47.0,47.0,47.0,4/7/1994,5.31,5.31,5.31,5.31,-1.30%,,,,,,,,,,,,,,,,,,,,,
48,48.0,48.0,48.0,4/8/1994,5.38,5.38,5.38,5.38,1.32%,,,,,,,,,,,,,,,,,,,,,
49,49.0,49.0,49.0,4/11/1994,5.31,5.31,5.31,5.31,-1.30%,,,,,,,,,,,,,,,,,,,,,
50,50.0,50.0,50.0,4/12/1994,5.31,5.31,5.31,5.31,0.00%,,,,,,,,,,,,,,,,,,,,,
51,51.0,51.0,51.0,4/13/1994,5.33,5.33,5.33,5.33,0.38%,,,,,,,,,,,,,,,,,,,,,
52,52.0,52.0,52.0,4/14/1994,5.19,5.19,5.19,5.19,-2.63%,,,,,,,,,,,,,,,,,,,,,
53,53.0,53.0,53.0,4/15/1994,5.19,5.19,5.19,5.19,0.00%,,,,,,,,,,,,,,,,,,,,,
54,54.0,54.0,54.0,4/18/1994,5.2,5.2,5.2,5.2,0.19%,,,,,,,,,,,,,,,,,,,,,
55,55.0,55.0,55.0,4/19/1994,5.25,5.25,5.25,5.25,0.96%,,,,,,,,,,,,,,,,,,,,,
56,56.0,56.0,56.0,4/20/1994,5.31,5.31,5.31,5.31,1.14%,,,,,,,,,,,,,,,,,,,,,
