,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,0.0,0.0,01/01/1990,7.724,7.724,7.724,7.724,0.00%
1,1.0,1.0,1.0,1.0,1.0,01/02/1990,7.965,7.965,7.965,7.965,3.12%
2,2.0,2.0,2.0,2.0,2.0,01/03/1990,7.965,7.965,7.965,7.965,0.00%
3,3.0,3.0,3.0,3.0,3.0,01/04/1990,7.982,7.982,7.982,7.982,0.21%
4,4.0,4.0,4.0,4.0,4.0,01/05/1990,7.933,7.933,7.933,7.933,-0.61%
5,5.0,5.0,5.0,5.0,5.0,01/08/1990,7.961,7.961,7.961,7.961,0.35%
6,6.0,6.0,6.0,6.0,6.0,01/09/1990,7.937,7.937,7.937,7.937,-0.30%
7,7.0,7.0,7.0,7.0,7.0,01/10/1990,7.896,7.896,7.896,7.896,-0.52%
8,8.0,8.0,8.0,8.0,8.0,01/11/1990,7.889,7.889,7.889,7.889,-0.09%
9,9.0,9.0,9.0,9.0,9.0,01/12/1990,7.924,7.924,7.924,7.924,0.44%
10,10.0,10.0,10.0,10.0,10.0,01/15/1990,7.935,7.935,7.935,7.935,0.14%
11,11.0,11.0,11.0,11.0,11.0,01/16/1990,7.999,7.999,7.999,7.999,0.81%
12,12.0,12.0,12.0,12.0,12.0,01/17/1990,7.991,7.991,7.991,7.991,-0.10%
13,13.0,13.0,13.0,13.0,13.0,01/18/1990,8.014,8.014,8.014,8.014,0.29%
14,14.0,14.0,14.0,14.0,14.0,01/19/1990,8.036,8.036,8.036,8.036,0.27%
15,15.0,15.0,15.0,15.0,15.0,01/22/1990,8.055,8.055,8.055,8.055,0.24%
16,16.0,16.0,16.0,16.0,16.0,01/23/1990,8.045,8.045,8.045,8.045,-0.12%
17,17.0,17.0,17.0,17.0,17.0,01/24/1990,8.103,8.103,8.103,8.103,0.72%
18,18.0,18.0,18.0,18.0,18.0,01/25/1990,8.104,8.104,8.104,8.104,0.01%
19,19.0,19.0,19.0,19.0,19.0,01/26/1990,8.121,8.121,8.121,8.121,0.21%
20,20.0,20.0,20.0,20.0,20.0,01/29/1990,8.121,8.121,8.121,8.121,0.00%
21,21.0,21.0,21.0,21.0,21.0,01/30/1990,8.111,8.111,8.111,8.111,-0.12%
22,22.0,22.0,22.0,22.0,22.0,01/31/1990,8.169,8.169,8.169,8.169,0.72%
23,23.0,23.0,23.0,23.0,23.0,02/01/1990,8.133,8.133,8.133,8.133,-0.44%
24,24.0,24.0,24.0,24.0,24.0,02/02/1990,8.132,8.132,8.132,8.132,-0.01%
25,25.0,25.0,25.0,25.0,25.0,02/05/1990,8.188,8.188,8.188,8.188,0.69%
26,26.0,26.0,26.0,26.0,26.0,02/06/1990,8.25,8.25,8.25,8.25,0.76%
27,27.0,27.0,27.0,27.0,27.0,02/07/1990,8.402,8.402,8.402,8.402,1.84%
28,28.0,28.0,28.0,28.0,28.0,02/08/1990,8.484,8.484,8.484,8.484,0.98%
29,29.0,29.0,29.0,29.0,29.0,02/09/1990,8.529,8.529,8.529,8.529,0.53%
30,30.0,30.0,30.0,30.0,30.0,02/12/1990,8.857,8.857,8.857,8.857,3.85%
31,31.0,31.0,31.0,31.0,31.0,02/13/1990,8.849,8.849,8.849,8.849,-0.09%
32,32.0,32.0,32.0,32.0,32.0,02/14/1990,8.838,8.838,8.838,8.838,-0.12%
33,33.0,33.0,33.0,33.0,33.0,02/15/1990,8.848,8.848,8.848,8.848,0.11%
34,34.0,34.0,34.0,34.0,34.0,02/16/1990,8.887,8.887,8.887,8.887,0.44%
35,35.0,35.0,35.0,35.0,35.0,02/19/1990,9.064,9.064,9.064,9.064,1.99%
36,36.0,36.0,36.0,36.0,36.0,02/20/1990,9.092,9.092,9.092,9.092,0.31%
37,37.0,37.0,37.0,37.0,37.0,02/21/1990,9.023,9.023,9.023,9.023,-0.76%
38,38.0,38.0,38.0,38.0,38.0,02/22/1990,9.01,9.01,9.01,9.01,-0.14%
39,39.0,39.0,39.0,39.0,39.0,02/23/1990,8.983,8.983,8.983,8.983,-0.30%
40,40.0,40.0,40.0,40.0,40.0,02/26/1990,9.017,9.017,9.017,9.017,0.38%
41,41.0,41.0,41.0,41.0,41.0,02/27/1990,8.972,8.972,8.972,8.972,-0.50%
42,42.0,42.0,42.0,42.0,42.0,02/28/1990,8.959,8.959,8.959,8.959,-0.14%
43,43.0,43.0,43.0,43.0,43.0,03/01/1990,8.995,8.995,8.995,8.995,0.40%
44,44.0,44.0,44.0,44.0,44.0,03/02/1990,9.009,9.009,9.009,9.009,0.16%
45,45.0,45.0,45.0,45.0,45.0,03/05/1990,9.001,9.001,9.001,9.001,-0.09%
46,46.0,46.0,46.0,46.0,46.0,03/06/1990,9.029,9.029,9.029,9.029,0.31%
47,47.0,47.0,47.0,47.0,47.0,03/07/1990,9.063,9.063,9.063,9.063,0.38%
48,48.0,48.0,48.0,48.0,48.0,03/08/1990,8.961,8.961,8.961,8.961,-1.13%
49,49.0,49.0,49.0,49.0,49.0,03/09/1990,8.948,8.948,8.948,8.948,-0.15%
50,50.0,50.0,50.0,50.0,50.0,03/12/1990,9.004,9.004,9.004,9.004,0.63%
51,51.0,51.0,51.0,51.0,51.0,03/13/1990,9.032,9.032,9.032,9.032,0.31%
52,52.0,52.0,52.0,52.0,52.0,03/14/1990,8.991,8.991,8.991,8.991,-0.45%
53,53.0,53.0,53.0,53.0,53.0,03/15/1990,8.95,8.95,8.95,8.95,-0.46%
54,54.0,54.0,54.0,54.0,54.0,03/16/1990,8.992,8.992,8.992,8.992,0.47%
55,55.0,55.0,55.0,55.0,55.0,03/19/1990,9.048,9.048,9.048,9.048,0.62%
56,56.0,56.0,56.0,56.0,56.0,03/20/1990,9.023,9.023,9.023,9.023,-0.28%
57,57.0,57.0,57.0,57.0,57.0,03/21/1990,8.996,8.996,8.996,8.996,-0.30%
58,58.0,58.0,58.0,58.0,58.0,03/22/1990,8.967,8.967,8.967,8.967,-0.32%
59,59.0,59.0,59.0,59.0,59.0,03/23/1990,8.834,8.834,8.834,8.834,-1.48%
60,60.0,60.0,60.0,60.0,60.0,03/26/1990,8.826,8.826,8.826,8.826,-0.09%
61,61.0,61.0,61.0,61.0,61.0,03/27/1990,8.885,8.885,8.885,8.885,0.67%
62,62.0,62.0,62.0,62.0,62.0,03/28/1990,8.94,8.94,8.94,8.94,0.62%
63,63.0,63.0,63.0,63.0,63.0,03/29/1990,8.892,8.892,8.892,8.892,-0.54%
64,64.0,64.0,64.0,64.0,64.0,03/30/1990,8.796,8.796,8.796,8.796,-1.08%
65,65.0,65.0,65.0,65.0,65.0,04/02/1990,8.716,8.716,8.716,8.716,-0.91%
66,66.0,66.0,66.0,66.0,66.0,04/03/1990,8.748,8.748,8.748,8.748,0.37%
67,67.0,67.0,67.0,67.0,67.0,04/04/1990,8.764,8.764,8.764,8.764,0.18%
68,68.0,68.0,68.0,68.0,68.0,04/05/1990,8.77,8.77,8.77,8.77,0.07%
69,69.0,69.0,69.0,69.0,69.0,04/06/1990,8.815,8.815,8.815,8.815,0.51%
70,70.0,70.0,70.0,70.0,70.0,04/09/1990,8.918,8.918,8.918,8.918,1.17%
71,71.0,71.0,71.0,71.0,71.0,04/10/1990,8.946,8.946,8.946,8.946,0.31%
72,72.0,72.0,72.0,72.0,72.0,04/11/1990,8.897,8.897,8.897,8.897,-0.55%
73,73.0,73.0,73.0,73.0,73.0,04/12/1990,8.884,8.884,8.884,8.884,-0.15%
74,74.0,74.0,74.0,74.0,74.0,04/13/1990,8.884,8.884,8.884,8.884,0.00%
75,75.0,75.0,75.0,75.0,75.0,04/16/1990,8.884,8.884,8.884,8.884,0.00%
76,76.0,76.0,76.0,76.0,76.0,04/17/1990,8.895,8.895,8.895,8.895,0.12%
77,77.0,77.0,77.0,77.0,77.0,04/18/1990,8.865,8.865,8.865,8.865,-0.34%
