,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,1/2/1990,404.5,404.5,404.5,404.5,,-0.76%
1,1.0,1.0,1.0,1.0,1/3/1990,398.7,402.5,402.5,397,0.02K,-1.43%
2,2.0,2.0,2.0,2.0,1/4/1990,403.2,403.2,403.2,403.2,0.00K,1.13%
3,3.0,3.0,3.0,3.0,1/5/1990,410.9,410.9,410.9,410.9,,1.91%
4,4.0,4.0,4.0,4.0,1/8/1990,407.2,407.2,407.2,407.2,0.02K,-0.90%
5,5.0,5.0,5.0,5.0,1/9/1990,408.4,408.4,408.4,408.4,0.00K,0.29%
6,6.0,6.0,6.0,6.0,1/10/1990,416.5,417.8,417.8,416.5,0.00K,1.98%
7,7.0,7.0,7.0,7.0,1/11/1990,418,418,418,418,0.01K,0.36%
8,8.0,8.0,8.0,8.0,1/12/1990,417.2,417.2,417.2,417.2,0.03K,-0.19%
9,9.0,9.0,9.0,9.0,1/15/1990,417.7,417.7,417.7,417.7,0.02K,0.12%
10,10.0,10.0,10.0,10.0,1/16/1990,414.7,414.7,414.7,414.7,0.08K,-0.72%
11,11.0,11.0,11.0,11.0,1/17/1990,416.2,416.2,416.2,416.2,0.00K,0.36%
12,12.0,12.0,12.0,12.0,1/18/1990,413.7,413.7,413.7,413.7,0.01K,-0.60%
13,13.0,13.0,13.0,13.0,1/19/1990,413.4,413,413.4,413,0.01K,-0.07%
14,14.0,14.0,14.0,14.0,1/22/1990,410.5,410.5,410.5,410.5,0.01K,-0.70%
15,15.0,15.0,15.0,15.0,1/23/1990,416.3,416.3,416.3,416.3,0.00K,1.41%
16,16.0,16.0,16.0,16.0,1/24/1990,420.4,420.4,420.4,420.4,0.13K,0.98%
17,17.0,17.0,17.0,17.0,1/25/1990,418.9,418.9,418.9,418.9,0.00K,-0.36%
18,18.0,18.0,18.0,18.0,1/26/1990,423,423,423,423,0.01K,0.98%
19,19.0,19.0,19.0,19.0,1/29/1990,422,422,422,422,0.02K,-0.24%
20,20.0,20.0,20.0,20.0,1/30/1990,423.9,424.3,427,422.7,44.34K,0.45%
21,21.0,21.0,21.0,21.0,1/31/1990,417.8,420.5,422,417,56.60K,-1.44%
22,22.0,22.0,22.0,22.0,2/1/1990,423.3,418.7,423.5,418.7,40.16K,1.32%
23,23.0,23.0,23.0,23.0,2/2/1990,423.4,423.3,424.3,421.3,30.78K,0.02%
24,24.0,24.0,24.0,24.0,2/5/1990,427.5,425,430.3,424.8,50.20K,0.97%
25,25.0,25.0,25.0,25.0,2/6/1990,426.4,426.6,427.4,425.4,29.32K,-0.26%
26,26.0,26.0,26.0,26.0,2/7/1990,423.1,425.5,429.7,422.2,60.69K,-0.77%
27,27.0,27.0,27.0,27.0,2/8/1990,423.5,422.7,424.7,421.2,36.38K,0.09%
28,28.0,28.0,28.0,28.0,2/9/1990,420.6,422.5,423.8,419.5,47.13K,-0.68%
29,29.0,29.0,29.0,29.0,2/12/1990,423.6,420,424.9,419.3,41.83K,0.71%
30,30.0,30.0,30.0,30.0,2/13/1990,422,424.3,425.8,421.2,40.14K,-0.38%
31,31.0,31.0,31.0,31.0,2/14/1990,420.7,419.5,421.3,417.5,47.66K,-0.31%
32,32.0,32.0,32.0,32.0,2/15/1990,416.2,421,422,415.5,48.72K,-1.07%
33,33.0,33.0,33.0,33.0,2/16/1990,420.8,418.2,421.5,416.3,57.12K,1.11%
34,34.0,34.0,34.0,34.0,2/20/1990,423.6,422.2,424.7,421.3,35.47K,0.67%
35,35.0,35.0,35.0,35.0,2/21/1990,421.6,424.7,426.4,421.2,45.87K,-0.47%
36,36.0,36.0,36.0,36.0,2/22/1990,419,421,422.4,418.1,37.96K,-0.62%
37,37.0,37.0,37.0,37.0,2/23/1990,418.2,417.5,421.1,417.5,36.12K,-0.19%
38,38.0,38.0,38.0,38.0,2/26/1990,411.8,415.5,416,409.6,55.11K,-1.53%
39,39.0,39.0,39.0,39.0,2/27/1990,416.6,417.5,418,415.3,3.22K,1.17%
40,40.0,40.0,40.0,40.0,2/28/1990,411.8,411.8,411.8,411.8,0.00K,-1.15%
41,41.0,41.0,41.0,41.0,3/1/1990,411.9,411.9,411.9,411.9,0.01K,0.02%
42,42.0,42.0,42.0,42.0,3/2/1990,408.4,408.4,408.4,408.4,0.00K,-0.85%
43,43.0,43.0,43.0,43.0,3/5/1990,409.4,409.4,409.4,409.4,0.01K,0.24%
44,44.0,44.0,44.0,44.0,3/6/1990,408.9,408.9,408.9,408.9,0.00K,-0.12%
45,45.0,45.0,45.0,45.0,3/7/1990,405.1,405.1,405.1,405.1,0.00K,-0.93%
46,46.0,46.0,46.0,46.0,3/8/1990,404.7,404.7,404.7,404.7,,-0.10%
47,47.0,47.0,47.0,47.0,3/9/1990,404.4,404.4,404.4,404.4,,-0.07%
48,48.0,48.0,48.0,48.0,3/12/1990,403.9,403.9,403.9,403.9,0.01K,-0.12%
49,49.0,49.0,49.0,49.0,3/13/1990,403.5,403.5,403.5,403.5,0.00K,-0.10%
50,50.0,50.0,50.0,50.0,3/14/1990,402.3,402.3,402.3,402.3,0.00K,-0.30%
51,51.0,51.0,51.0,51.0,3/15/1990,402.3,402.3,402.3,402.3,0.00K,0.00%
52,52.0,52.0,52.0,52.0,3/16/1990,403.7,403.7,403.7,403.7,0.01K,0.35%
53,53.0,53.0,53.0,53.0,3/19/1990,404.7,404.7,404.7,404.7,0.01K,0.25%
54,54.0,54.0,54.0,54.0,3/20/1990,396,396,396,396,0.00K,-2.15%
55,55.0,55.0,55.0,55.0,3/21/1990,395.2,395.2,395.2,395.2,0.05K,-0.20%
56,56.0,56.0,56.0,56.0,3/22/1990,397.4,397.4,397.4,397.4,0.00K,0.56%
57,57.0,57.0,57.0,57.0,3/23/1990,392.1,392.1,392.1,392.1,0.02K,-1.33%
58,58.0,58.0,58.0,58.0,3/26/1990,368.8,368.8,368.8,368.8,0.03K,-5.94%
59,59.0,59.0,59.0,59.0,3/27/1990,371.6,371.6,371.6,371.6,0.00K,0.76%
60,60.0,60.0,60.0,60.0,3/28/1990,371.6,375.1,375.1,371.6,0.03K,0.00%
61,61.0,61.0,61.0,61.0,3/29/1990,376,376.6,377.9,375.2,38.14K,1.18%
62,62.0,62.0,62.0,62.0,3/30/1990,375,376.3,376.5,371.8,39.55K,-0.27%
63,63.0,63.0,63.0,63.0,4/2/1990,374.5,372.3,374.6,371.8,14.74K,-0.13%
64,64.0,64.0,64.0,64.0,4/3/1990,380.1,381.7,382.4,378.5,28.85K,1.50%
65,65.0,65.0,65.0,65.0,4/4/1990,381.8,379.1,382.1,377.8,20.19K,0.45%
66,66.0,66.0,66.0,66.0,4/5/1990,379.3,382.3,383.3,378.2,27.53K,-0.65%
67,67.0,67.0,67.0,67.0,4/6/1990,385.2,383.1,385.4,381.1,27.04K,1.56%
68,68.0,68.0,68.0,68.0,4/9/1990,380.4,380.8,381.9,378.8,26.19K,-1.25%
69,69.0,69.0,69.0,69.0,4/10/1990,379.3,379.8,380.3,376.2,21.92K,-0.29%
70,70.0,70.0,70.0,70.0,4/11/1990,378.4,378,379.5,377.1,19.32K,-0.24%
71,71.0,71.0,71.0,71.0,4/12/1990,379.7,379.1,379.8,378.2,12.63K,0.34%
72,72.0,72.0,72.0,72.0,4/16/1990,378.9,378.9,379.2,375.9,13.38K,-0.21%
73,73.0,73.0,73.0,73.0,4/17/1990,378.8,377.7,379.5,376.9,18.70K,-0.03%
74,74.0,74.0,74.0,74.0,4/18/1990,379.7,378.4,380.8,377.7,19.42K,0.24%
75,75.0,75.0,75.0,75.0,4/19/1990,380.7,380.3,381.4,379,18.70K,0.26%
76,76.0,76.0,76.0,76.0,4/20/1990,379.9,380.1,380.7,377.5,21.23K,-0.21%
77,77.0,77.0,77.0,77.0,4/23/1990,382.1,378.9,383,378.3,25.28K,0.58%
78,78.0,78.0,78.0,78.0,4/24/1990,379,381.4,382.1,377.5,26.16K,-0.81%
79,79.0,79.0,79.0,79.0,4/25/1990,373.6,377.5,377.8,372,39.00K,-1.42%
80,80.0,80.0,80.0,80.0,4/26/1990,373.3,374.2,375.9,373.1,17.09K,-0.08%
81,81.0,81.0,81.0,81.0,4/27/1990,378.9,379.1,379.3,378,0.29K,1.50%
82,82.0,82.0,82.0,82.0,4/30/1990,373.8,373.8,373.8,373.8,0.01K,-1.35%
83,83.0,83.0,83.0,83.0,5/1/1990,375.1,374.4,374.4,374.4,0.02K,0.35%
84,84.0,84.0,84.0,84.0,5/2/1990,374.4,374.4,374.4,374.4,,-0.19%
85,85.0,85.0,85.0,85.0,5/3/1990,376.2,376.5,376.5,376.5,0.01K,0.48%
86,86.0,86.0,86.0,86.0,5/4/1990,375.5,375.5,375.5,375.5,0.01K,-0.19%
87,87.0,87.0,87.0,87.0,5/7/1990,376.4,376.4,376.4,376.4,,0.24%
88,88.0,88.0,88.0,88.0,5/8/1990,374.4,374.4,374.4,374.4,0.01K,-0.53%
89,89.0,89.0,89.0,89.0,5/9/1990,376.1,376.1,376.1,376.1,,0.45%
90,90.0,90.0,90.0,90.0,5/10/1990,374.3,374.3,374.3,374.3,0.00K,-0.48%
91,91.0,91.0,91.0,91.0,5/11/1990,372.9,372.9,372.9,372.9,0.00K,-0.37%
92,92.0,92.0,92.0,92.0,5/14/1990,372.3,372.3,372.3,372.3,,-0.16%
93,93.0,93.0,93.0,93.0,5/15/1990,374.7,370,370.4,370,0.02K,0.64%
94,94.0,94.0,94.0,94.0,5/16/1990,372.7,372.7,372.7,372.7,0.01K,-0.53%
95,95.0,95.0,95.0,95.0,5/17/1990,373,373,373,373,,0.08%
96,96.0,96.0,96.0,96.0,5/18/1990,378,378,378,378,0.14K,1.34%
97,97.0,97.0,97.0,97.0,5/21/1990,376.5,376.5,376.5,376.5,0.00K,-0.40%
98,98.0,98.0,98.0,98.0,5/22/1990,378.6,379.5,379.5,379.5,0.04K,0.56%
99,99.0,99.0,99.0,99.0,5/23/1990,366.7,366,366,365,0.06K,-3.14%
100,100.0,100.0,100.0,100.0,5/24/1990,368.9,369.5,369.5,369.5,0.01K,0.60%
101,101.0,101.0,101.0,101.0,5/25/1990,370.5,370.5,370.5,370.5,,0.43%
102,102.0,102.0,102.0,102.0,5/29/1990,369.5,369.5,369.5,369.5,0.00K,-0.27%
103,103.0,103.0,103.0,103.0,5/30/1990,368.9,370.8,371.8,368,26.09K,-0.16%
104,104.0,104.0,104.0,104.0,5/31/1990,368.6,368,369,367.2,20.80K,-0.08%
105,105.0,105.0,105.0,105.0,6/1/1990,363.5,367.7,368.9,362.2,35.49K,-1.38%
106,106.0,106.0,106.0,106.0,6/4/1990,362.4,360.7,362.5,359.6,27.00K,-0.30%
107,107.0,107.0,107.0,107.0,6/5/1990,363.6,362.6,364.5,361.6,22.99K,0.33%
108,108.0,108.0,108.0,108.0,6/6/1990,361,364.4,365.2,360,29.82K,-0.72%
109,109.0,109.0,109.0,109.0,6/7/1990,358.1,356.9,358.7,355.5,32.85K,-0.80%
110,110.0,110.0,110.0,110.0,6/8/1990,359.2,358.1,359.5,356.6,20.11K,0.31%
111,111.0,111.0,111.0,111.0,6/11/1990,359.7,359.4,361.8,358.4,20.09K,0.14%
112,112.0,112.0,112.0,112.0,6/12/1990,359.1,359.9,360.6,358.9,19.69K,-0.17%
113,113.0,113.0,113.0,113.0,6/13/1990,355.1,356.6,357.1,353.9,30.03K,-1.11%
