,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,1/2/1990,0.6576,0.6337,0.6576,0.63,8.99K,-12.61%
1,1.0,1.0,1.0,1.0,1.0,1/3/1990,0.6723,0.6652,0.675,0.6525,10.16K,2.24%
2,2.0,2.0,2.0,2.0,2.0,1/4/1990,0.6523,0.666,0.671,0.6523,7.83K,-2.97%
3,3.0,3.0,3.0,3.0,3.0,1/5/1990,0.6223,0.6352,0.6435,0.6223,13.13K,-4.60%
4,4.0,4.0,4.0,4.0,4.0,1/8/1990,0.594,0.5975,0.609,0.5823,14.68K,-4.55%
5,5.0,5.0,5.0,5.0,5.0,1/9/1990,0.5987,0.5955,0.61,0.592,12.25K,0.79%
6,6.0,6.0,6.0,6.0,6.0,1/10/1990,0.6187,0.6025,0.6187,0.5975,13.16K,3.34%
7,7.0,7.0,7.0,7.0,7.0,1/11/1990,0.6322,0.613,0.635,0.606,10.65K,2.18%
8,8.0,8.0,8.0,8.0,8.0,1/12/1990,0.6265,0.6382,0.64,0.621,8.72K,-0.90%
9,9.0,9.0,9.0,9.0,9.0,1/15/1990,0.6065,0.6105,0.612,0.6065,4.55K,-3.19%
10,10.0,10.0,10.0,10.0,10.0,1/16/1990,0.5946,0.586,0.6035,0.578,12.45K,-1.96%
11,11.0,11.0,11.0,11.0,11.0,1/17/1990,0.5782,0.5762,0.586,0.5746,15.64K,-2.76%
12,12.0,12.0,12.0,12.0,12.0,1/18/1990,0.5867,0.59,0.594,0.5785,13.37K,1.47%
13,13.0,13.0,13.0,13.0,13.0,1/19/1990,0.5968,0.5902,0.601,0.588,9.10K,1.72%
14,14.0,14.0,14.0,14.0,14.0,1/22/1990,0.58,0.5982,0.6,0.578,9.08K,-2.82%
15,15.0,15.0,15.0,15.0,15.0,1/23/1990,0.5707,0.57,0.577,0.567,14.65K,-1.60%
16,16.0,16.0,16.0,16.0,16.0,1/24/1990,0.5736,0.5595,0.576,0.558,15.42K,0.51%
17,17.0,17.0,17.0,17.0,17.0,1/25/1990,0.5769,0.5795,0.5825,0.5625,16.01K,0.58%
18,18.0,18.0,18.0,18.0,18.0,1/26/1990,0.5776,0.5742,0.5815,0.57,7.99K,0.12%
19,19.0,19.0,19.0,19.0,19.0,1/29/1990,0.5922,0.5765,0.5945,0.574,12.22K,2.53%
20,20.0,20.0,20.0,20.0,20.0,1/30/1990,0.5818,0.5905,0.597,0.581,11.80K,-1.76%
21,21.0,21.0,21.0,21.0,21.0,1/31/1990,0.5756,0.57,0.578,0.569,15.27K,-1.07%
22,22.0,22.0,22.0,22.0,22.0,2/1/1990,0.5575,0.5635,0.566,0.553,4.10K,-3.14%
23,23.0,23.0,23.0,23.0,23.0,2/2/1990,0.5681,0.5607,0.5695,0.5555,3.44K,1.90%
24,24.0,24.0,24.0,24.0,24.0,2/5/1990,0.5481,0.5655,0.568,0.5481,6.61K,-3.52%
25,25.0,25.0,25.0,25.0,25.0,2/6/1990,0.5477,0.5477,0.554,0.543,3.92K,-0.07%
26,26.0,26.0,26.0,26.0,26.0,2/7/1990,0.5494,0.5427,0.55,0.5415,5.70K,0.31%
27,27.0,27.0,27.0,27.0,27.0,2/8/1990,0.5441,0.5515,0.5565,0.543,5.26K,-0.96%
28,28.0,28.0,28.0,28.0,28.0,2/9/1990,0.5462,0.5427,0.55,0.5415,8.53K,0.39%
29,29.0,29.0,29.0,29.0,29.0,2/12/1990,0.5527,0.5495,0.554,0.5475,5.84K,1.19%
30,30.0,30.0,30.0,30.0,30.0,2/13/1990,0.5614,0.5557,0.568,0.5545,8.01K,1.57%
31,31.0,31.0,31.0,31.0,31.0,2/14/1990,0.5726,0.5615,0.574,0.559,8.16K,2.00%
32,32.0,32.0,32.0,32.0,32.0,2/15/1990,0.5796,0.5767,0.583,0.575,9.96K,1.22%
33,33.0,33.0,33.0,33.0,33.0,2/16/1990,0.5681,0.5745,0.579,0.562,7.00K,-1.98%
34,34.0,34.0,34.0,34.0,34.0,2/20/1990,0.567,0.564,0.5725,0.5615,5.63K,-0.19%
35,35.0,35.0,35.0,35.0,35.0,2/21/1990,0.5675,0.5655,0.569,0.563,5.38K,0.09%
36,36.0,36.0,36.0,36.0,36.0,2/22/1990,0.5698,0.5702,0.577,0.568,9.70K,0.41%
37,37.0,37.0,37.0,37.0,37.0,2/23/1990,0.5727,0.5667,0.574,0.5635,6.84K,0.51%
38,38.0,38.0,38.0,38.0,38.0,2/26/1990,0.58,0.5795,0.5835,0.574,7.40K,1.27%
39,39.0,39.0,39.0,39.0,39.0,2/27/1990,0.5726,0.581,0.5815,0.571,12.31K,-1.28%
40,40.0,40.0,40.0,40.0,40.0,2/28/1990,0.5656,0.5717,0.5725,0.564,14.28K,-1.22%
41,41.0,41.0,41.0,41.0,41.0,3/1/1990,0.5407,0.5592,0.5595,0.538,5.57K,-4.40%
42,42.0,42.0,42.0,42.0,42.0,3/2/1990,0.549,0.5425,0.55,0.5375,6.33K,1.54%
43,43.0,43.0,43.0,43.0,43.0,3/5/1990,0.5661,0.551,0.569,0.5455,7.64K,3.11%
44,44.0,44.0,44.0,44.0,44.0,3/6/1990,0.5563,0.5675,0.5685,0.5555,5.56K,-1.73%
45,45.0,45.0,45.0,45.0,45.0,3/7/1990,0.5496,0.5555,0.556,0.547,5.02K,-1.20%
46,46.0,46.0,46.0,46.0,46.0,3/8/1990,0.5451,0.5467,0.548,0.54,6.57K,-0.82%
47,47.0,47.0,47.0,47.0,47.0,3/9/1990,0.5281,0.547,0.549,0.527,8.06K,-3.12%
48,48.0,48.0,48.0,48.0,48.0,3/12/1990,0.5238,0.5217,0.526,0.512,13.20K,-0.81%
49,49.0,49.0,49.0,49.0,49.0,3/13/1990,0.5229,0.5282,0.53,0.522,6.09K,-0.17%
50,50.0,50.0,50.0,50.0,50.0,3/14/1990,0.5245,0.5222,0.5295,0.5215,6.96K,0.31%
51,51.0,51.0,51.0,51.0,51.0,3/15/1990,0.5343,0.527,0.5355,0.5245,5.76K,1.87%
52,52.0,52.0,52.0,52.0,52.0,3/16/1990,0.5289,0.5315,0.5345,0.5255,5.78K,-1.01%
53,53.0,53.0,53.0,53.0,53.0,3/19/1990,0.5308,0.5222,0.5325,0.518,10.65K,0.36%
54,54.0,54.0,54.0,54.0,54.0,3/20/1990,0.5277,0.534,0.536,0.5245,6.16K,-0.58%
55,55.0,55.0,55.0,55.0,55.0,3/21/1990,0.5351,0.5372,0.5385,0.532,5.73K,1.40%
56,56.0,56.0,56.0,56.0,56.0,3/22/1990,0.5297,0.536,0.5365,0.5275,7.08K,-1.01%
57,57.0,57.0,57.0,57.0,57.0,3/23/1990,0.5367,0.53,0.538,0.5295,5.25K,1.32%
58,58.0,58.0,58.0,58.0,58.0,3/26/1990,0.5306,0.5392,0.542,0.53,5.93K,-1.14%
59,59.0,59.0,59.0,59.0,59.0,3/27/1990,0.5371,0.5285,0.538,0.528,6.25K,1.23%
60,60.0,60.0,60.0,60.0,60.0,3/28/1990,0.535,0.539,0.54,0.531,8.83K,-0.39%
