,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,06/26/2023,0.351,0.366,0.368,0.351,-3.44%
1,1.0,1.0,1.0,06/25/2023,0.363,0.361,0.363,0.361,-0.95%
2,2.0,2.0,2.0,06/23/2023,0.367,0.385,0.388,0.366,-1.08%
3,3.0,3.0,3.0,06/22/2023,0.371,0.371,0.376,0.366,-1.07%
4,4.0,4.0,4.0,06/21/2023,0.375,0.382,0.382,0.374,-3.10%
5,5.0,5.0,5.0,06/20/2023,0.387,0.398,0.398,0.378,-2.27%
6,6.0,6.0,6.0,06/19/2023,0.396,0.403,0.405,0.392,1.67%
7,7.0,7.0,7.0,06/18/2023,0.389,0.4,0.4,0.389,-4.06%
8,8.0,8.0,8.0,06/16/2023,0.406,0.437,0.437,0.401,-4.69%
9,9.0,9.0,9.0,06/15/2023,0.426,0.424,0.43,0.416,-1.16%
10,10.0,10.0,10.0,06/14/2023,0.431,0.431,0.44,0.43,2.38%
11,11.0,11.0,11.0,06/13/2023,0.421,0.423,0.426,0.416,-1.17%
12,12.0,12.0,12.0,06/12/2023,0.426,0.427,0.431,0.416,2.53%
13,13.0,13.0,13.0,06/11/2023,0.415,0.426,0.426,0.415,-3.82%
14,14.0,14.0,14.0,06/09/2023,0.432,0.433,0.439,0.426,-1.14%
15,15.0,15.0,15.0,06/08/2023,0.437,0.435,0.438,0.426,5.30%
16,16.0,16.0,16.0,06/07/2023,0.415,0.419,0.421,0.41,-2.35%
17,17.0,17.0,17.0,06/06/2023,0.425,0.434,0.434,0.421,-2.52%
18,18.0,18.0,18.0,06/05/2023,0.436,0.423,0.44,0.423,2.59%
19,19.0,19.0,19.0,06/04/2023,0.425,0.419,0.425,0.419,2.16%
20,20.0,20.0,20.0,06/02/2023,0.416,0.409,0.416,0.401,-1.19%
21,21.0,21.0,21.0,06/01/2023,0.421,0.433,0.445,0.416,-2.32%
22,22.0,22.0,22.0,05/31/2023,0.431,0.424,0.436,0.415,-1.15%
23,23.0,23.0,23.0,05/30/2023,0.436,0.424,0.441,0.424,0.23%
24,24.0,24.0,24.0,05/29/2023,0.435,0.425,0.436,0.425,3.33%
25,25.0,25.0,25.0,05/26/2023,0.421,0.459,0.46,0.418,-1.41%
26,26.0,26.0,26.0,05/25/2023,0.427,0.415,0.431,0.412,5.17%
27,27.0,27.0,27.0,05/24/2023,0.406,0.399,0.411,0.399,2.01%
28,28.0,28.0,28.0,05/23/2023,0.398,0.392,0.399,0.384,2.84%
