,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,0.0,06/26/2023,0.24,0.258,0.259,0.24,-6.25%
1,1.0,1.0,1.0,1.0,06/25/2023,0.256,0.257,0.257,0.256,-4.12%
2,2.0,2.0,2.0,2.0,06/23/2023,0.267,0.287,0.29,0.265,-1.48%
3,3.0,3.0,3.0,3.0,06/22/2023,0.271,0.277,0.286,0.267,-3.90%
4,4.0,4.0,4.0,4.0,06/21/2023,0.282,0.284,0.287,0.279,-4.08%
5,5.0,5.0,5.0,5.0,06/20/2023,0.294,0.305,0.306,0.285,2.80%
6,6.0,6.0,6.0,6.0,06/19/2023,0.286,0.29,0.294,0.283,3.06%
7,7.0,7.0,7.0,7.0,06/18/2023,0.278,0.288,0.288,0.278,-4.97%
8,8.0,8.0,8.0,8.0,06/16/2023,0.292,0.318,0.326,0.287,-6.11%
9,9.0,9.0,9.0,9.0,06/15/2023,0.311,0.31,0.317,0.301,-0.32%
10,10.0,10.0,10.0,10.0,06/14/2023,0.312,0.312,0.321,0.31,5.05%
11,11.0,11.0,11.0,11.0,06/13/2023,0.297,0.304,0.307,0.291,-4.50%
12,12.0,12.0,12.0,12.0,06/12/2023,0.311,0.312,0.312,0.298,5.25%
13,13.0,13.0,13.0,13.0,06/11/2023,0.296,0.306,0.306,0.296,-7.94%
14,14.0,14.0,14.0,14.0,06/09/2023,0.321,0.313,0.324,0.312,-1.23%
15,15.0,15.0,15.0,15.0,06/08/2023,0.325,0.321,0.326,0.315,7.62%
16,16.0,16.0,16.0,16.0,06/07/2023,0.302,0.307,0.311,0.297,-4.13%
17,17.0,17.0,17.0,17.0,06/06/2023,0.315,0.323,0.326,0.311,-4.55%
18,18.0,18.0,18.0,18.0,06/05/2023,0.33,0.312,0.332,0.312,5.94%
19,19.0,19.0,19.0,19.0,06/04/2023,0.312,0.303,0.312,0.303,2.81%
20,20.0,20.0,20.0,20.0,06/02/2023,0.303,0.297,0.306,0.292,-2.26%
21,21.0,21.0,21.0,21.0,06/01/2023,0.31,0.316,0.33,0.306,-3.43%
22,22.0,22.0,22.0,22.0,05/31/2023,0.321,0.317,0.323,0.306,-2.43%
23,23.0,23.0,23.0,23.0,05/30/2023,0.329,0.319,0.333,0.315,-0.60%
24,24.0,24.0,24.0,24.0,05/29/2023,0.331,0.321,0.332,0.32,2.80%
25,25.0,25.0,25.0,25.0,05/26/2023,0.322,0.357,0.361,0.319,-2.13%
26,26.0,26.0,26.0,26.0,05/25/2023,0.329,0.313,0.331,0.312,6.47%
27,27.0,27.0,27.0,27.0,05/24/2023,0.309,0.305,0.311,0.301,1.64%
28,28.0,28.0,28.0,28.0,05/23/2023,0.304,0.295,0.306,0.287,5.92%
29,29.0,29.0,29.0,29.0,05/22/2023,0.287,0.296,0.297,0.28,0.70%
30,30.0,30.0,30.0,30.0,05/21/2023,0.285,0.292,0.292,0.285,-6.25%
31,31.0,31.0,31.0,31.0,05/19/2023,0.304,0.311,0.311,0.301,8.19%
32,32.0,32.0,32.0,32.0,05/18/2023,0.281,0.266,0.281,0.263,9.34%
33,33.0,33.0,33.0,33.0,05/17/2023,0.257,0.293,0.296,0.253,-10.14%
34,34.0,34.0,34.0,34.0,05/16/2023,0.286,0.305,0.306,0.286,-4.03%
35,35.0,35.0,35.0,35.0,05/15/2023,0.298,0.281,0.299,0.28,7.58%
36,36.0,36.0,36.0,36.0,05/14/2023,0.277,0.274,0.277,0.274,1.09%
37,37.0,37.0,37.0,37.0,05/12/2023,0.274,0.271,0.277,0.247,-2.14%
38,38.0,38.0,38.0,38.0,05/11/2023,0.28,0.294,0.301,0.277,-7.89%
39,39.0,39.0,39.0,39.0,05/10/2023,0.304,0.313,0.314,0.302,-2.56%
40,40.0,40.0,40.0,40.0,05/09/2023,0.312,0.311,0.322,0.31,5.41%
41,41.0,41.0,41.0,41.0,05/08/2023,0.296,0.305,0.312,0.296,-0.34%
42,42.0,42.0,42.0,42.0,05/07/2023,0.297,0.297,0.297,0.297,-6.31%
43,43.0,43.0,43.0,43.0,05/02/2023,0.317,0.314,0.324,0.309,6.73%
44,44.0,44.0,44.0,44.0,05/01/2023,0.297,0.28,0.302,0.278,5.88%
45,45.0,45.0,45.0,45.0,04/30/2023,0.28,0.275,0.28,0.275,-8.03%
46,46.0,46.0,46.0,46.0,04/28/2023,0.305,0.375,0.401,0.298,-14.80%
47,47.0,47.0,47.0,47.0,04/27/2023,0.358,0.365,0.366,0.347,0.00%
48,48.0,48.0,48.0,48.0,04/26/2023,0.358,0.366,0.374,0.356,-8.44%
49,49.0,49.0,49.0,49.0,04/25/2023,0.391,0.388,0.401,0.388,0.26%
50,50.0,50.0,50.0,50.0,04/24/2023,0.39,0.4,0.402,0.385,0.00%
51,51.0,51.0,51.0,51.0,04/23/2023,0.39,0.383,0.39,0.383,1.30%
52,52.0,52.0,52.0,52.0,04/21/2023,0.385,0.397,0.397,0.379,-4.23%
53,53.0,53.0,53.0,53.0,04/20/2023,0.402,0.398,0.406,0.395,-0.50%
54,54.0,54.0,54.0,54.0,04/19/2023,0.404,0.401,0.41,0.394,0.50%
55,55.0,55.0,55.0,55.0,04/18/2023,0.402,0.417,0.417,0.399,-2.19%
56,56.0,56.0,56.0,56.0,04/17/2023,0.411,0.395,0.412,0.394,5.52%
57,57.0,57.0,57.0,57.0,04/16/2023,0.389,0.376,0.389,0.376,3.32%
58,58.0,58.0,58.0,58.0,04/14/2023,0.377,0.368,0.382,0.367,1.34%
59,59.0,59.0,59.0,59.0,04/13/2023,0.372,0.36,0.378,0.355,0.27%
60,60.0,60.0,60.0,60.0,04/12/2023,0.371,0.381,0.387,0.371,1.92%
61,61.0,61.0,61.0,61.0,04/11/2023,0.364,0.376,0.377,0.353,-4.71%
62,62.0,62.0,62.0,62.0,04/10/2023,0.382,0.388,0.392,0.38,0.92%
63,63.0,63.0,63.0,63.0,04/09/2023,0.379,0.379,0.379,0.379,0.93%
64,64.0,64.0,64.0,64.0,04/07/2023,0.375,0.376,0.392,0.372,-2.09%
65,65.0,65.0,65.0,65.0,04/06/2023,0.383,0.388,0.39,0.373,-2.54%
66,66.0,66.0,66.0,66.0,04/05/2023,0.393,0.384,0.396,0.373,-0.76%
67,67.0,67.0,67.0,67.0,04/04/2023,0.396,0.351,0.402,0.351,7.90%
68,68.0,68.0,68.0,68.0,04/03/2023,0.367,0.368,0.38,0.358,3.23%
69,69.0,69.0,69.0,69.0,04/02/2023,0.356,0.34,0.356,0.34,9.38%
70,70.0,70.0,70.0,70.0,03/31/2023,0.325,0.317,0.344,0.316,8.33%
71,71.0,71.0,71.0,71.0,03/30/2023,0.3,0.29,0.309,0.29,11.94%
72,72.0,72.0,72.0,72.0,03/29/2023,0.268,0.277,0.279,0.25,-5.63%
73,73.0,73.0,73.0,73.0,03/28/2023,0.284,0.309,0.318,0.281,5.97%
74,74.0,74.0,74.0,74.0,03/27/2023,0.268,0.252,0.271,0.244,7.63%
75,75.0,75.0,75.0,75.0,03/26/2023,0.249,0.256,0.256,0.249,-4.60%
76,76.0,76.0,76.0,76.0,03/24/2023,0.261,0.273,0.273,0.251,-3.69%
77,77.0,77.0,77.0,77.0,03/23/2023,0.271,0.263,0.281,0.257,-7.51%
78,78.0,78.0,78.0,78.0,03/22/2023,0.293,0.234,0.298,0.234,5.21%
79,79.0,79.0,79.0,79.0,03/21/2023,0.278,0.228,0.278,0.228,17.51%
80,80.0,80.0,80.0,80.0,03/20/2023,0.237,0.278,0.278,0.227,-3.46%
81,81.0,81.0,81.0,81.0,03/19/2023,0.245,0.269,0.269,0.245,-9.41%
82,82.0,82.0,82.0,82.0,03/17/2023,0.271,0.316,0.318,0.265,-1.81%
83,83.0,83.0,83.0,83.0,03/16/2023,0.276,0.24,0.294,0.236,-18.58%
84,84.0,84.0,84.0,84.0,03/15/2023,0.339,0.338,0.357,0.304,14.14%
85,85.0,85.0,85.0,85.0,03/14/2023,0.297,0.266,0.311,0.234,-29.95%
86,86.0,86.0,86.0,86.0,03/13/2023,0.424,0.441,0.456,0.42,-3.20%
87,87.0,87.0,87.0,87.0,03/12/2023,0.438,0.447,0.447,0.438,-8.56%
88,88.0,88.0,88.0,88.0,03/10/2023,0.479,0.572,0.573,0.465,-16.98%
89,89.0,89.0,89.0,89.0,03/09/2023,0.577,0.541,0.583,0.535,5.68%
90,90.0,90.0,90.0,90.0,03/08/2023,0.546,0.552,0.561,0.541,0.74%
91,91.0,91.0,91.0,91.0,03/07/2023,0.542,0.568,0.574,0.541,-2.52%
92,92.0,92.0,92.0,92.0,03/06/2023,0.556,0.536,0.558,0.535,5.80%
93,93.0,93.0,93.0,93.0,03/05/2023,0.525,0.524,0.525,0.524,-2.50%
94,94.0,94.0,94.0,94.0,03/03/2023,0.539,0.549,0.549,0.529,-2.36%
95,95.0,95.0,95.0,95.0,03/02/2023,0.552,0.543,0.556,0.537,3.56%
96,96.0,96.0,96.0,96.0,03/01/2023,0.533,0.523,0.539,0.499,-2.02%
97,97.0,97.0,97.0,97.0,02/28/2023,0.544,0.546,0.547,0.533,-2.16%
98,98.0,98.0,98.0,98.0,02/27/2023,0.556,0.546,0.56,0.545,4.51%
99,99.0,99.0,99.0,99.0,02/26/2023,0.532,0.531,0.532,0.531,-1.85%
100,100.0,100.0,100.0,100.0,02/24/2023,0.542,0.563,0.564,0.538,-1.09%
101,101.0,101.0,101.0,101.0,02/23/2023,0.548,0.555,0.555,0.548,-4.20%
102,102.0,102.0,102.0,102.0,02/22/2023,0.572,0.583,0.593,0.572,0.70%
