,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,1/2/1990,188.8,189.9,189.9,188.5,0.19K,-0.58%
1,1.0,1.0,1.0,1.0,1/3/1990,188.6,188.2,188.8,187.5,0.37K,-0.11%
2,2.0,2.0,2.0,2.0,1/4/1990,191.5,188.4,193.1,188.2,0.59K,1.54%
3,3.0,3.0,3.0,3.0,1/5/1990,193.9,192.1,194.3,192,0.42K,1.25%
4,4.0,4.0,4.0,4.0,1/8/1990,194.1,194,195.2,193.2,0.49K,0.10%
5,5.0,5.0,5.0,5.0,1/9/1990,194,193.5,194.1,192.6,0.16K,-0.05%
6,6.0,6.0,6.0,6.0,1/10/1990,195.5,193.7,195.7,193.5,0.22K,0.77%
7,7.0,7.0,7.0,7.0,1/11/1990,200.4,196,200.5,196,0.36K,2.51%
8,8.0,8.0,8.0,8.0,1/12/1990,202.9,199.7,203,197.3,0.27K,1.25%
9,9.0,9.0,9.0,9.0,1/15/1990,205.7,202.9,208.9,202.9,,1.38%
10,10.0,10.0,10.0,10.0,1/16/1990,197.3,195.4,197.5,195.3,0.76K,-4.08%
11,11.0,11.0,11.0,11.0,1/17/1990,202.3,198.1,202.3,198,1.18K,2.53%
12,12.0,12.0,12.0,12.0,1/18/1990,204.7,201.6,204.9,201.3,0.88K,1.19%
13,13.0,13.0,13.0,13.0,1/19/1990,203.5,204.7,205.2,202.3,0.72K,-0.59%
14,14.0,14.0,14.0,14.0,1/22/1990,202.5,202.6,203.7,202.2,0.37K,-0.49%
15,15.0,15.0,15.0,15.0,1/23/1990,201.8,201.9,202.7,200.3,0.76K,-0.35%
16,16.0,16.0,16.0,16.0,1/24/1990,202.2,200.4,202.3,197.8,1.39K,0.20%
17,17.0,17.0,17.0,17.0,1/25/1990,200.8,202.5,203.2,200.3,0.58K,-0.69%
18,18.0,18.0,18.0,18.0,1/26/1990,200.2,200,201.5,199.5,0.50K,-0.30%
19,19.0,19.0,19.0,19.0,1/29/1990,200.7,200.2,201.5,200.1,0.21K,0.25%
20,20.0,20.0,20.0,20.0,1/30/1990,200.4,200.3,201,200,0.25K,-0.15%
21,21.0,21.0,21.0,21.0,1/31/1990,202.3,200.4,203.5,199.3,0.85K,0.95%
22,22.0,22.0,22.0,22.0,2/1/1990,203,203,203.4,201.5,0.39K,0.35%
23,23.0,23.0,23.0,23.0,2/2/1990,201.8,202.4,203,201.6,0.30K,-0.59%
24,24.0,24.0,24.0,24.0,2/5/1990,202.4,201.3,202.8,201.1,0.18K,0.30%
25,25.0,25.0,25.0,25.0,2/6/1990,201.8,202.1,202.8,201.4,0.19K,-0.30%
26,26.0,26.0,26.0,26.0,2/7/1990,201.9,201.6,202.1,200.6,0.43K,0.05%
27,27.0,27.0,27.0,27.0,2/8/1990,204.3,202.4,205,202.3,0.77K,1.19%
28,28.0,28.0,28.0,28.0,2/9/1990,204.6,204.7,205.2,204,0.47K,0.15%
29,29.0,29.0,29.0,29.0,2/12/1990,205.5,204.7,205.5,203.9,0.37K,0.44%
30,30.0,30.0,30.0,30.0,2/13/1990,207.3,205.6,207.4,205.4,0.83K,0.88%
31,31.0,31.0,31.0,31.0,2/14/1990,207.3,207.4,208,206.5,0.64K,0.00%
32,32.0,32.0,32.0,32.0,2/15/1990,209.4,208.3,209.5,207.5,0.89K,1.01%
33,33.0,33.0,33.0,33.0,2/16/1990,205.7,210.1,210.7,205.5,0.90K,-1.77%
34,34.0,34.0,34.0,34.0,2/20/1990,203.5,205.2,206.2,202.2,0.92K,-1.07%
35,35.0,35.0,35.0,35.0,2/21/1990,204.8,203.2,204.9,202.2,0.55K,0.64%
36,36.0,36.0,36.0,36.0,2/22/1990,205,205.1,205.3,204.2,0.28K,0.10%
37,37.0,37.0,37.0,37.0,2/23/1990,200,204.9,205,200,0.78K,-2.44%
38,38.0,38.0,38.0,38.0,2/26/1990,198.3,199.5,199.5,195.2,0.90K,-0.85%
39,39.0,39.0,39.0,39.0,2/27/1990,198.6,198.8,199,197.9,0.48K,0.15%
40,40.0,40.0,40.0,40.0,2/28/1990,198.4,198.3,199.3,197.8,0.30K,-0.10%
41,41.0,41.0,41.0,41.0,3/1/1990,194.5,198,198.5,192.5,0.48K,-1.97%
42,42.0,42.0,42.0,42.0,3/2/1990,192.9,193,195.5,191.9,0.29K,-0.82%
43,43.0,43.0,43.0,43.0,3/5/1990,194.3,193.8,195.3,192.2,0.14K,0.73%
44,44.0,44.0,44.0,44.0,3/6/1990,196.7,194.9,196.7,194.3,0.15K,1.24%
45,45.0,45.0,45.0,45.0,3/7/1990,195.1,197,197,194.7,0.08K,-0.81%
46,46.0,46.0,46.0,46.0,3/8/1990,193.4,195.4,195.9,192.5,0.19K,-0.87%
47,47.0,47.0,47.0,47.0,3/9/1990,192.7,193,195.8,192.1,0.12K,-0.36%
48,48.0,48.0,48.0,48.0,3/12/1990,192.1,193.7,193.7,189.5,0.14K,-0.31%
49,49.0,49.0,49.0,49.0,3/13/1990,192.3,192.1,192.5,189.3,0.13K,0.10%
50,50.0,50.0,50.0,50.0,3/14/1990,189.5,191.1,191.9,189.2,0.10K,-1.46%
51,51.0,51.0,51.0,51.0,3/15/1990,190.1,189.1,191.7,188,,0.32%
52,52.0,52.0,52.0,52.0,3/16/1990,195.7,194.4,196.2,193.5,0.42K,2.95%
53,53.0,53.0,53.0,53.0,3/19/1990,196.2,195.4,196.3,195.1,0.31K,0.26%
54,54.0,54.0,54.0,54.0,3/20/1990,197.1,196.2,197.3,195.4,0.64K,0.46%
55,55.0,55.0,55.0,55.0,3/21/1990,195.7,197,197.1,194.7,0.83K,-0.71%
56,56.0,56.0,56.0,56.0,3/22/1990,193.3,195.4,195.5,192.8,0.59K,-1.23%
57,57.0,57.0,57.0,57.0,3/23/1990,196,192.8,196.1,192.3,0.61K,1.40%
58,58.0,58.0,58.0,58.0,3/26/1990,196.4,196.7,196.8,194.8,0.22K,0.20%
59,59.0,59.0,59.0,59.0,3/27/1990,194.7,195.8,196,194.6,0.27K,-0.87%
60,60.0,60.0,60.0,60.0,3/28/1990,195.6,194,195.8,193.6,0.23K,0.46%
61,61.0,61.0,61.0,61.0,3/29/1990,196,195.2,196.3,194.5,0.19K,0.20%
62,62.0,62.0,62.0,62.0,3/30/1990,198.2,196.7,198.2,195.7,0.77K,1.12%
63,63.0,63.0,63.0,63.0,4/2/1990,196.6,197.5,198.3,196.1,0.59K,-0.81%
64,64.0,64.0,64.0,64.0,4/3/1990,195.1,196,196.4,194.8,0.49K,-0.76%
65,65.0,65.0,65.0,65.0,4/4/1990,197.2,195.4,197.8,195.3,0.44K,1.08%
66,66.0,66.0,66.0,66.0,4/5/1990,198.2,197.6,199.6,197.6,0.60K,0.51%
67,67.0,67.0,67.0,67.0,4/6/1990,197.9,198.8,199.6,197.2,0.31K,-0.15%
68,68.0,68.0,68.0,68.0,4/9/1990,199.5,198.5,199.6,197.4,0.49K,0.81%
69,69.0,69.0,69.0,69.0,4/10/1990,195.4,199.6,199.9,194.5,0.53K,-2.06%
70,70.0,70.0,70.0,70.0,4/11/1990,195.3,195.7,196.5,194.3,0.50K,-0.05%
71,71.0,71.0,71.0,71.0,4/12/1990,193.1,194.8,195.8,191.8,0.57K,-1.13%
72,72.0,72.0,72.0,72.0,4/16/1990,193.1,192,194,191.8,0.45K,0.00%
73,73.0,73.0,73.0,73.0,4/17/1990,194,192.3,195.4,191.7,0.44K,0.47%
74,74.0,74.0,74.0,74.0,4/18/1990,194.2,192.6,194.6,192,0.48K,0.10%
75,75.0,75.0,75.0,75.0,4/19/1990,194.3,193.8,195.3,193.6,0.22K,0.05%
76,76.0,76.0,76.0,76.0,4/20/1990,193.9,193.9,194.2,192.6,0.20K,-0.21%
77,77.0,77.0,77.0,77.0,4/23/1990,192.6,193.8,193.8,191.2,0.22K,-0.67%
78,78.0,78.0,78.0,78.0,4/24/1990,192.7,192.5,193.1,191.9,0.21K,0.05%
79,79.0,79.0,79.0,79.0,4/25/1990,192.4,192.5,193,191.5,0.60K,-0.16%
80,80.0,80.0,80.0,80.0,4/26/1990,193.5,193.2,194.6,193,0.60K,0.57%
81,81.0,81.0,81.0,81.0,4/27/1990,193.1,193.8,193.9,192.5,0.47K,-0.21%
82,82.0,82.0,82.0,82.0,4/30/1990,193.7,193.7,194.2,193.1,0.23K,0.31%
83,83.0,83.0,83.0,83.0,5/1/1990,194.6,194.5,195,194.1,0.29K,0.46%
84,84.0,84.0,84.0,84.0,5/2/1990,195.4,194.7,195.4,193.7,0.19K,0.41%
85,85.0,85.0,85.0,85.0,5/3/1990,195.4,195.3,195.7,195,0.12K,0.00%
86,86.0,86.0,86.0,86.0,5/4/1990,197.6,195.5,197.6,195.5,0.22K,1.13%
87,87.0,87.0,87.0,87.0,5/7/1990,199.7,197.7,199.8,197.7,0.15K,1.06%
88,88.0,88.0,88.0,88.0,5/8/1990,200.6,199.8,200.6,198.7,0.17K,0.45%
89,89.0,89.0,89.0,89.0,5/9/1990,200.3,200.2,200.9,199.6,0.26K,-0.15%
90,90.0,90.0,90.0,90.0,5/10/1990,200.3,200.9,200.9,199.7,0.17K,0.00%
91,91.0,91.0,91.0,91.0,5/11/1990,201.5,200.3,201.5,200.3,0.16K,0.60%
92,92.0,92.0,92.0,92.0,5/14/1990,203.9,201.5,203.9,201.1,0.17K,1.19%
93,93.0,93.0,93.0,93.0,5/15/1990,203.7,203.7,203.9,203.5,,-0.10%
94,94.0,94.0,94.0,94.0,5/16/1990,201.7,202.5,203.7,201.4,0.59K,-0.98%
95,95.0,95.0,95.0,95.0,5/17/1990,202.3,201.8,202.8,201.5,0.34K,0.30%
96,96.0,96.0,96.0,96.0,5/18/1990,202.5,202.2,202.8,201.4,0.26K,0.10%
97,97.0,97.0,97.0,97.0,5/21/1990,202.8,202.4,203.5,202.1,0.21K,0.15%
98,98.0,98.0,98.0,98.0,5/22/1990,200.8,203.1,203.5,200.4,0.76K,-0.99%
99,99.0,99.0,99.0,99.0,5/23/1990,200.5,200.3,201.5,200,0.38K,-0.15%
100,100.0,100.0,100.0,100.0,5/24/1990,204.4,200.7,204.5,200.6,0.83K,1.95%
101,101.0,101.0,101.0,101.0,5/25/1990,203.5,204.1,204.3,203.1,0.25K,-0.44%
102,102.0,102.0,102.0,102.0,5/29/1990,202.6,203.7,204.3,202.5,0.22K,-0.44%
103,103.0,103.0,103.0,103.0,5/30/1990,203.6,202.9,203.9,202.4,0.31K,0.49%
104,104.0,104.0,104.0,104.0,5/31/1990,203.2,203.1,203.8,202.3,0.32K,-0.20%
105,105.0,105.0,105.0,105.0,6/1/1990,205.1,203.5,205.3,203.3,0.54K,0.94%
106,106.0,106.0,106.0,106.0,6/4/1990,205.1,204.9,205.5,203.8,0.63K,0.00%
107,107.0,107.0,107.0,107.0,6/5/1990,204.4,205.1,206.4,204.2,0.55K,-0.34%
108,108.0,108.0,108.0,108.0,6/6/1990,204,204.3,204.8,203.4,0.27K,-0.20%
109,109.0,109.0,109.0,109.0,6/7/1990,202.9,203.4,203.5,202,0.54K,-0.54%
110,110.0,110.0,110.0,110.0,6/8/1990,203.4,202.7,203.7,202.3,0.24K,0.25%
111,111.0,111.0,111.0,111.0,6/11/1990,204.9,203.3,205.2,203,0.42K,0.74%
112,112.0,112.0,112.0,112.0,6/12/1990,204.9,204.7,205.3,204,0.29K,0.00%
113,113.0,113.0,113.0,113.0,6/13/1990,206.6,205.3,206.6,205.2,0.60K,0.83%
114,114.0,114.0,114.0,114.0,6/14/1990,205.9,206.7,206.9,205.6,0.33K,-0.34%
115,115.0,115.0,115.0,115.0,6/15/1990,205.4,205.9,207.7,205.1,0.45K,-0.24%
116,116.0,116.0,116.0,116.0,6/18/1990,204.2,205.2,205.3,204.1,0.24K,-0.58%
117,117.0,117.0,117.0,117.0,6/19/1990,202.5,203.8,203.9,201.6,0.75K,-0.83%
118,118.0,118.0,118.0,118.0,6/20/1990,206.1,203.2,207.2,203,0.58K,1.78%
119,119.0,119.0,119.0,119.0,6/21/1990,206.6,205.9,206.8,203.5,0.30K,0.24%
120,120.0,120.0,120.0,120.0,6/22/1990,205.8,206.6,206.7,205.2,0.24K,-0.39%
121,121.0,121.0,121.0,121.0,6/25/1990,205.4,205.4,206.2,204,0.15K,-0.19%
122,122.0,122.0,122.0,122.0,6/26/1990,204.4,205.5,205.7,203.5,0.32K,-0.49%
123,123.0,123.0,123.0,123.0,6/27/1990,203.5,203.5,203.7,202.3,0.29K,-0.44%
124,124.0,124.0,124.0,124.0,6/28/1990,205.4,203.6,205.5,203.5,0.19K,0.93%
125,125.0,125.0,125.0,125.0,6/29/1990,205.6,205.1,206,204.7,0.25K,0.10%
126,126.0,126.0,126.0,126.0,7/2/1990,204,204.7,204.7,202.2,0.24K,-0.78%
127,127.0,127.0,127.0,127.0,7/3/1990,201.7,202.4,203.1,200.1,0.39K,-1.13%
128,128.0,128.0,128.0,128.0,7/5/1990,200.8,201.3,201.4,199,0.27K,-0.45%
129,129.0,129.0,129.0,129.0,7/6/1990,202.7,200.3,202.8,200.3,0.08K,0.95%
130,130.0,130.0,130.0,130.0,7/9/1990,200.8,202.5,202.5,200.6,0.08K,-0.94%
131,131.0,131.0,131.0,131.0,7/10/1990,198.6,200.6,200.6,198.2,0.17K,-1.10%
132,132.0,132.0,132.0,132.0,7/11/1990,198.5,198.5,199.3,197.4,0.21K,-0.05%
133,133.0,133.0,133.0,133.0,7/12/1990,197.6,198,199,196.1,0.22K,-0.45%
134,134.0,134.0,134.0,134.0,7/13/1990,187.8,197.6,197.6,186.5,,-4.96%
