,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,6/30/2023,"13,787.92","13,719.98","13,816.67","13,716.16",1.07B,1.45%
1,1.0,1.0,1.0,1.0,1.0,6/29/2023,"13,591.33","13,592.36","13,618.53","13,540.26",871.64M,0.00%
2,2.0,2.0,2.0,2.0,2.0,6/28/2023,"13,591.75","13,506.02","13,654.14","13,495.73",890.52M,0.27%
3,3.0,3.0,3.0,3.0,3.0,6/27/2023,"13,555.67","13,389.25","13,578.80","13,366.97",966.18M,1.65%
4,4.0,4.0,4.0,4.0,4.0,6/26/2023,"13,335.78","13,468.75","13,573.57","13,334.42",936.28M,-1.16%
5,5.0,5.0,5.0,5.0,5.0,6/23/2023,"13,492.52","13,484.10","13,572.18","13,442.65",3.36B,-1.01%
6,6.0,6.0,6.0,6.0,6.0,6/22/2023,"13,630.61","13,443.41","13,631.85","13,441.56",898.27M,0.95%
7,7.0,7.0,7.0,7.0,7.0,6/21/2023,"13,502.20","13,620.87","13,638.57","13,460.94",1.06B,-1.21%
8,8.0,8.0,8.0,8.0,8.0,6/20/2023,"13,667.29","13,642.29","13,711.18","13,561.84",1.13B,-0.16%
9,9.0,9.0,9.0,9.0,9.0,6/16/2023,"13,689.57","13,859.07","13,864.06","13,680.96",2.92B,-0.68%
10,10.0,10.0,10.0,10.0,10.0,6/15/2023,"13,782.82","13,572.88","13,828.17","13,561.37",1.13B,1.15%
11,11.0,11.0,11.0,11.0,11.0,6/14/2023,"13,626.48","13,570.56","13,661.74","13,455.99",1.16B,0.39%
12,12.0,12.0,12.0,12.0,12.0,6/13/2023,"13,573.32","13,566.53","13,594.40","13,473.19",1.04B,0.83%
13,13.0,13.0,13.0,13.0,13.0,6/12/2023,"13,461.92","13,326.37","13,465.91","13,302.58",974.53M,1.53%
14,14.0,14.0,14.0,14.0,14.0,6/9/2023,"13,259.14","13,312.39","13,385.95","13,229.33",899.24M,0.16%
15,15.0,15.0,15.0,15.0,15.0,6/8/2023,"13,238.52","13,113.27","13,248.60","13,101.18",873.24M,1.02%
16,16.0,16.0,16.0,16.0,16.0,6/7/2023,"13,104.89","13,295.26","13,361.90","13,089.48",1.11B,-1.29%
17,17.0,17.0,17.0,17.0,17.0,6/6/2023,"13,276.42","13,199.59","13,306.21","13,165.65",978.70M,0.36%
18,18.0,18.0,18.0,18.0,18.0,6/5/2023,"13,229.43","13,238.48","13,330.65","13,194.95",887.68M,-0.09%
19,19.0,19.0,19.0,19.0,19.0,6/2/2023,"13,240.77","13,190.48","13,256.21","13,125.86",941.89M,1.07%
20,20.0,20.0,20.0,20.0,20.0,6/1/2023,"13,100.98","12,944.46","13,141.83","12,903.63",957.13M,1.28%
21,21.0,21.0,21.0,21.0,21.0,5/31/2023,"12,935.29","12,968.38","13,029.08","12,889.37",1.94B,-0.63%
22,22.0,22.0,22.0,22.0,22.0,5/30/2023,"13,017.43","13,109.10","13,154.29","12,968.12",969.21M,0.32%
23,23.0,23.0,23.0,23.0,23.0,5/26/2023,"12,975.69","12,736.42","13,001.91","12,729.74",914.77M,2.19%
24,24.0,24.0,24.0,24.0,24.0,5/25/2023,"12,698.09","12,706.44","12,736.92","12,604.89",970.49M,1.71%
25,25.0,25.0,25.0,25.0,25.0,5/24/2023,"12,484.16","12,481.89","12,529.63","12,415.85",842.72M,-0.61%
26,26.0,26.0,26.0,26.0,26.0,5/23/2023,"12,560.25","12,652.88","12,709.74","12,554.43",899.73M,-1.26%
27,27.0,27.0,27.0,27.0,27.0,5/22/2023,"12,720.78","12,664.44","12,756.22","12,655.26",886.96M,0.50%
28,28.0,28.0,28.0,28.0,28.0,5/19/2023,"12,657.90","12,709.46","12,731.73","12,624.06",899.33M,-0.24%
29,29.0,29.0,29.0,29.0,29.0,5/18/2023,"12,688.84","12,513.87","12,698.50","12,512.26",932.19M,1.51%
30,30.0,30.0,30.0,30.0,30.0,5/17/2023,"12,500.57","12,388.58","12,514.07","12,335.02",936.59M,1.28%
31,31.0,31.0,31.0,31.0,31.0,5/16/2023,"12,343.05","12,327.05","12,403.81","12,324.52",857.54M,-0.18%
