,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,1/2/1990,0.5946,0.5941,0.5957,0.592,,0.10%
1,1.0,1.0,1.0,1.0,1/3/1990,0.5945,0.594,0.5957,0.593,,-0.02%
2,2.0,2.0,2.0,2.0,1/4/1990,0.5985,0.598,0.5998,0.5934,,0.67%
3,3.0,3.0,3.0,3.0,1/5/1990,0.598,0.5975,0.5994,0.5969,,-0.08%
4,4.0,4.0,4.0,4.0,1/8/1990,0.6005,0.6,0.6017,0.5967,,0.42%
5,5.0,5.0,5.0,5.0,1/9/1990,0.6042,0.6037,0.6052,0.5995,,0.62%
6,6.0,6.0,6.0,6.0,1/10/1990,0.6088,0.6083,0.6095,0.6022,,0.76%
7,7.0,7.0,7.0,7.0,1/11/1990,0.6078,0.6073,0.6102,0.607,,-0.16%
8,8.0,8.0,8.0,8.0,1/12/1990,0.612,0.6115,0.6125,0.607,,0.69%
9,9.0,9.0,9.0,9.0,1/15/1990,0.6089,0.6084,0.611,0.607,,-0.51%
10,10.0,10.0,10.0,10.0,1/16/1990,0.6095,0.609,0.6108,0.608,,0.10%
11,11.0,11.0,11.0,11.0,1/17/1990,0.6125,0.612,0.6138,0.6057,,0.49%
12,12.0,12.0,12.0,12.0,1/18/1990,0.6152,0.6147,0.6168,0.6123,,0.44%
13,13.0,13.0,13.0,13.0,1/19/1990,0.612,0.6115,0.617,0.61,,-0.52%
14,14.0,14.0,14.0,14.0,1/22/1990,0.6115,0.611,0.6142,0.61,,-0.08%
15,15.0,15.0,15.0,15.0,1/23/1990,0.606,0.6055,0.6115,0.6044,,-0.90%
16,16.0,16.0,16.0,16.0,1/24/1990,0.595,0.5945,0.6055,0.5895,,-1.82%
17,17.0,17.0,17.0,17.0,1/25/1990,0.5967,0.5962,0.6,0.593,,0.29%
18,18.0,18.0,18.0,18.0,1/26/1990,0.5935,0.593,0.5975,0.59,,-0.54%
