,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Change %
0,0.0,0.0,0.0,7/15/1994,6.75,6.75,6.75,6.75,-0.88%
1,1.0,1.0,1.0,7/18/1994,6.75,6.75,6.75,6.75,0.00%
2,2.0,2.0,2.0,7/19/1994,6.62,6.62,6.62,6.62,-1.93%
3,3.0,3.0,3.0,7/20/1994,6.56,6.56,6.56,6.56,-0.91%
4,4.0,4.0,4.0,7/21/1994,6.62,6.62,6.62,6.62,0.91%
5,5.0,5.0,5.0,7/22/1994,6.56,6.56,6.56,6.56,-0.91%
6,6.0,6.0,6.0,7/25/1994,6.68,6.68,6.68,6.68,1.83%
7,7.0,7.0,7.0,7/26/1994,6.56,6.56,6.56,6.56,-1.80%
8,8.0,8.0,8.0,7/27/1994,6.62,6.62,6.62,6.62,0.91%
9,9.0,9.0,9.0,7/28/1994,6.75,6.75,6.75,6.75,1.96%
10,10.0,10.0,10.0,7/29/1994,6.76,6.76,6.76,6.76,0.15%
11,11.0,11.0,11.0,8/1/1994,6.5,6.5,6.5,6.5,-3.85%
12,12.0,12.0,12.0,8/2/1994,6.5,6.5,6.5,6.5,0.00%
13,13.0,13.0,13.0,8/3/1994,6.44,6.44,6.44,6.44,-0.92%
14,14.0,14.0,14.0,8/4/1994,6.87,6.87,6.87,6.87,6.68%
15,15.0,15.0,15.0,8/5/1994,6.38,6.38,6.38,6.38,-7.13%
16,16.0,16.0,16.0,8/8/1994,6.75,6.75,6.75,6.75,5.80%
17,17.0,17.0,17.0,8/9/1994,6.81,6.81,6.81,6.81,0.89%
18,18.0,18.0,18.0,8/10/1994,6.87,6.87,6.87,6.87,0.88%
19,19.0,19.0,19.0,8/11/1994,6.75,6.75,6.75,6.75,-1.75%
20,20.0,20.0,20.0,8/12/1994,6.81,6.81,6.81,6.81,0.89%
21,21.0,21.0,21.0,8/15/1994,6.62,6.62,6.62,6.62,-2.79%
22,22.0,22.0,22.0,8/16/1994,6.75,6.75,6.75,6.75,1.96%
23,23.0,23.0,23.0,8/17/1994,6.68,6.68,6.68,6.68,-1.04%
24,24.0,24.0,24.0,8/18/1994,6.87,6.87,6.87,6.87,2.84%
25,25.0,25.0,25.0,8/19/1994,6.81,6.81,6.81,6.81,-0.87%
26,26.0,26.0,26.0,8/22/1994,6.87,6.87,6.87,6.87,0.88%
27,27.0,27.0,27.0,8/23/1994,6.81,6.81,6.81,6.81,-0.87%
28,28.0,28.0,28.0,8/24/1994,6.75,6.75,6.75,6.75,-0.88%
29,29.0,29.0,29.0,8/25/1994,6.62,6.62,6.62,6.62,-1.93%
30,30.0,30.0,30.0,8/26/1994,6.75,6.75,6.75,6.75,1.96%
31,31.0,31.0,31.0,8/29/1994,6.67,6.67,6.67,6.67,-1.19%
32,32.0,32.0,32.0,8/30/1994,6.75,6.75,6.75,6.75,1.20%
33,33.0,33.0,33.0,8/31/1994,6.74,6.74,6.74,6.74,-0.15%
34,34.0,34.0,34.0,9/1/1994,6.68,6.68,6.68,6.68,-0.89%
35,35.0,35.0,35.0,9/2/1994,6.81,6.81,6.81,6.81,1.95%
36,36.0,36.0,36.0,9/5/1994,7.0,7.0,7.0,7.0,2.79%
37,37.0,37.0,37.0,9/6/1994,6.75,6.75,6.75,6.75,-3.57%
38,38.0,38.0,38.0,9/7/1994,6.81,6.81,6.81,6.81,0.89%
39,39.0,39.0,39.0,9/8/1994,6.88,6.88,6.88,6.88,1.03%
40,40.0,40.0,40.0,9/9/1994,6.93,6.93,6.93,6.93,0.73%
41,41.0,41.0,41.0,9/12/1994,7.06,7.06,7.06,7.06,1.88%
42,42.0,42.0,42.0,9/13/1994,7.12,7.12,7.12,7.12,0.85%
43,43.0,43.0,43.0,9/14/1994,7.25,7.25,7.25,7.25,1.83%
44,44.0,44.0,44.0,9/15/1994,7.19,7.19,7.19,7.19,-0.83%
45,45.0,45.0,45.0,9/16/1994,7.06,7.06,7.06,7.06,-1.81%
46,46.0,46.0,46.0,9/19/1994,7.31,7.31,7.31,7.31,3.54%
47,47.0,47.0,47.0,9/20/1994,7.06,7.06,7.06,7.06,-3.42%
48,48.0,48.0,48.0,9/21/1994,7.38,7.38,7.38,7.38,4.53%
49,49.0,49.0,49.0,9/22/1994,7.5,7.5,7.5,7.5,1.63%
50,50.0,50.0,50.0,9/23/1994,7.43,7.43,7.43,7.43,-0.93%
51,51.0,51.0,51.0,9/26/1994,7.31,7.31,7.31,7.31,-1.62%
52,52.0,52.0,52.0,9/27/1994,7.5,7.5,7.5,7.5,2.60%
53,53.0,53.0,53.0,9/28/1994,7.25,7.25,7.25,7.25,-3.33%
54,54.0,54.0,54.0,9/29/1994,7.5,7.5,7.5,7.5,3.45%
55,55.0,55.0,55.0,9/30/1994,7.44,7.44,7.44,7.44,-0.80%
56,56.0,56.0,56.0,10/3/1994,7.38,7.38,7.38,7.38,-0.81%
57,57.0,57.0,57.0,10/4/1994,7.5,7.5,7.5,7.5,1.63%
58,58.0,58.0,58.0,10/5/1994,7.56,7.56,7.56,7.56,0.80%
59,59.0,59.0,59.0,10/6/1994,7.63,7.63,7.63,7.63,0.93%
60,60.0,60.0,60.0,10/7/1994,7.93,7.93,7.93,7.93,3.93%
61,61.0,61.0,61.0,10/10/1994,7.62,7.62,7.62,7.62,-3.91%
62,62.0,62.0,62.0,10/11/1994,7.5,7.5,7.5,7.5,-1.57%
63,63.0,63.0,63.0,10/12/1994,7.63,7.63,7.63,7.63,1.73%
64,64.0,64.0,64.0,10/13/1994,7.75,7.75,7.75,7.75,1.57%
65,65.0,65.0,65.0,10/14/1994,7.75,7.75,7.75,7.75,0.00%
66,66.0,66.0,66.0,10/17/1994,7.63,7.63,7.63,7.63,-1.55%
67,67.0,67.0,67.0,10/18/1994,7.63,7.63,7.63,7.63,0.00%
68,68.0,68.0,68.0,10/19/1994,7.93,7.93,7.93,7.93,3.93%
69,69.0,69.0,69.0,10/21/1994,7.87,7.87,7.87,7.87,-0.76%
70,70.0,70.0,70.0,10/25/1994,8.06,8.06,8.06,8.06,2.41%
71,71.0,71.0,71.0,10/26/1994,8.0,8.0,8.0,8.0,-0.74%
72,72.0,72.0,72.0,10/27/1994,8.06,8.06,8.06,8.06,0.75%
73,73.0,73.0,73.0,10/28/1994,8.18,8.18,8.18,8.18,1.49%
74,74.0,74.0,74.0,10/31/1994,8.0,8.0,8.0,8.0,-2.20%
75,75.0,75.0,75.0,11/1/1994,8.0,8.0,8.0,8.0,0.00%
76,76.0,76.0,76.0,11/2/1994,8.06,8.06,8.06,8.06,0.75%
77,77.0,77.0,77.0,11/3/1994,8.06,8.06,8.06,8.06,0.00%
78,78.0,78.0,78.0,11/4/1994,8.18,8.18,8.18,8.18,1.49%
79,79.0,79.0,79.0,11/7/1994,8.0,8.0,8.0,8.0,-2.20%
80,80.0,80.0,80.0,11/8/1994,8.18,8.18,8.18,8.18,2.25%
81,81.0,81.0,81.0,11/9/1994,8.06,8.06,8.06,8.06,-1.47%
82,82.0,82.0,82.0,11/10/1994,8.06,8.06,8.06,8.06,0.00%
83,83.0,83.0,83.0,11/11/1994,8.12,8.12,8.12,8.12,0.74%
84,84.0,84.0,84.0,11/15/1994,8.06,8.06,8.06,8.06,-0.74%
85,85.0,85.0,85.0,11/16/1994,8.12,8.12,8.12,8.12,0.74%
86,86.0,86.0,86.0,11/17/1994,8.31,8.31,8.31,8.31,2.34%
87,87.0,87.0,87.0,11/18/1994,8.38,8.38,8.38,8.38,0.84%
88,88.0,88.0,88.0,11/21/1994,8.31,8.31,8.31,8.31,-0.84%
89,89.0,89.0,89.0,11/22/1994,8.61,8.61,8.61,8.61,3.61%
90,90.0,90.0,90.0,11/23/1994,8.52,8.52,8.52,8.52,-1.05%
91,91.0,91.0,91.0,11/24/1994,8.6,8.6,8.6,8.6,0.94%
92,92.0,92.0,92.0,11/25/1994,8.73,8.73,8.73,8.73,1.51%
93,93.0,93.0,93.0,11/28/1994,8.7,8.7,8.7,8.7,-0.34%
94,94.0,94.0,94.0,11/29/1994,8.74,8.74,8.74,8.74,0.46%
95,95.0,95.0,95.0,11/30/1994,9.32,9.32,9.32,9.32,6.64%
96,96.0,96.0,96.0,12/1/1994,9.55,9.55,9.55,9.55,2.47%
97,97.0,97.0,97.0,12/2/1994,9.55,9.55,9.55,9.55,0.00%
98,98.0,98.0,98.0,12/5/1994,9.69,9.69,9.69,9.69,1.47%
99,99.0,99.0,99.0,12/6/1994,9.78,9.78,9.78,9.78,0.93%
100,100.0,100.0,100.0,12/7/1994,9.57,9.57,9.57,9.57,-2.15%
101,101.0,101.0,101.0,12/8/1994,9.46,9.46,9.46,9.46,-1.15%
102,102.0,102.0,102.0,12/9/1994,9.51,9.51,9.51,9.51,0.53%
103,103.0,103.0,103.0,12/12/1994,9.55,9.55,9.55,9.55,0.42%
104,104.0,104.0,104.0,12/13/1994,9.61,9.61,9.61,9.61,0.63%
105,105.0,105.0,105.0,12/14/1994,9.61,9.61,9.61,9.61,0.00%
106,106.0,106.0,106.0,12/15/1994,9.34,9.34,9.34,9.34,-2.81%
107,107.0,107.0,107.0,12/16/1994,9.38,9.38,9.38,9.38,0.43%
108,108.0,108.0,108.0,12/19/1994,9.53,9.53,9.53,9.53,1.60%
109,109.0,109.0,109.0,12/20/1994,9.61,9.61,9.61,9.61,0.84%
110,110.0,110.0,110.0,12/21/1994,9.58,9.58,9.58,9.58,-0.31%
111,111.0,111.0,111.0,12/22/1994,9.34,9.34,9.34,9.34,-2.51%
