,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,4/4/1990,1.62,1.6,1.65,1.599,0.08K,-0.92%
1,1.0,1.0,1.0,1.0,4/5/1990,1.615,1.615,1.635,1.61,0.06K,-0.31%
2,2.0,2.0,2.0,2.0,4/6/1990,1.625,1.615,1.635,1.61,0.06K,0.62%
3,3.0,3.0,3.0,3.0,4/9/1990,1.637,1.612,1.64,1.612,0.04K,0.74%
4,4.0,4.0,4.0,4.0,4/10/1990,1.62,1.627,1.63,1.613,0.03K,-1.04%
5,5.0,5.0,5.0,5.0,4/11/1990,1.605,1.61,1.61,1.595,0.03K,-0.93%
6,6.0,6.0,6.0,6.0,4/12/1990,1.598,1.595,1.6,1.59,0.04K,-0.44%
7,7.0,7.0,7.0,7.0,4/16/1990,1.598,1.597,1.6,1.592,0.02K,0.00%
8,8.0,8.0,8.0,8.0,4/17/1990,1.585,1.594,1.6,1.585,0.03K,-0.81%
9,9.0,9.0,9.0,9.0,4/18/1990,1.583,1.583,1.587,1.583,0.01K,-0.13%
10,10.0,10.0,10.0,10.0,4/19/1990,1.57,1.581,1.581,1.55,0.06K,-0.82%
11,11.0,11.0,11.0,11.0,4/20/1990,1.543,1.56,1.56,1.54,0.12K,-1.72%
12,12.0,12.0,12.0,12.0,4/23/1990,1.555,1.525,1.56,1.525,0.03K,0.78%
13,13.0,13.0,13.0,13.0,4/24/1990,1.555,1.54,1.556,1.54,0.05K,0.00%
14,14.0,14.0,14.0,14.0,4/25/1990,1.552,1.56,1.57,1.552,0.02K,-0.19%
15,15.0,15.0,15.0,15.0,4/26/1990,1.558,1.555,1.564,1.555,0.03K,0.39%
16,16.0,16.0,16.0,16.0,4/27/1990,1.555,1.56,1.56,1.55,0.02K,-0.19%
17,17.0,17.0,17.0,17.0,4/30/1990,1.565,1.565,1.57,1.565,0.01K,0.64%
18,18.0,18.0,18.0,18.0,5/1/1990,1.565,1.575,1.575,1.565,0.02K,0.00%
19,19.0,19.0,19.0,19.0,5/2/1990,1.575,1.575,1.58,1.575,0.02K,0.64%
20,20.0,20.0,20.0,20.0,5/3/1990,1.575,1.575,1.575,1.575,0.02K,0.00%
21,21.0,21.0,21.0,21.0,5/4/1990,1.575,1.57,1.575,1.57,0.01K,0.00%
22,22.0,22.0,22.0,22.0,5/7/1990,1.58,1.58,1.585,1.575,0.03K,0.32%
23,23.0,23.0,23.0,23.0,5/8/1990,1.583,1.585,1.589,1.582,0.05K,0.19%
24,24.0,24.0,24.0,24.0,5/9/1990,1.576,1.587,1.587,1.576,0.03K,-0.44%
25,25.0,25.0,25.0,25.0,5/10/1990,1.574,1.58,1.58,1.574,0.02K,-0.13%
26,26.0,26.0,26.0,26.0,5/11/1990,1.565,1.571,1.575,1.565,0.05K,-0.57%
27,27.0,27.0,27.0,27.0,5/14/1990,1.556,1.559,1.559,1.555,0.01K,-0.58%
28,28.0,28.0,28.0,28.0,5/15/1990,1.552,1.555,1.555,1.552,0.01K,-0.26%
29,29.0,29.0,29.0,29.0,5/16/1990,1.57,1.559,1.575,1.559,0.05K,1.16%
30,30.0,30.0,30.0,30.0,5/17/1990,1.57,1.57,1.575,1.57,0.05K,0.00%
31,31.0,31.0,31.0,31.0,5/18/1990,1.554,1.565,1.565,1.54,0.05K,-1.02%
32,32.0,32.0,32.0,32.0,5/21/1990,1.557,1.548,1.56,1.545,0.09K,0.19%
33,33.0,33.0,33.0,33.0,5/22/1990,1.613,1.61,1.62,1.605,0.09K,3.60%
34,34.0,34.0,34.0,34.0,5/23/1990,1.602,1.603,1.606,1.597,0.14K,-0.68%
35,35.0,35.0,35.0,35.0,5/24/1990,1.6,1.602,1.602,1.595,0.04K,-0.12%
36,36.0,36.0,36.0,36.0,5/25/1990,1.592,1.595,1.6,1.59,0.06K,-0.50%
37,37.0,37.0,37.0,37.0,5/29/1990,1.585,1.585,1.588,1.585,0.07K,-0.44%
38,38.0,38.0,38.0,38.0,5/30/1990,1.585,1.585,1.595,1.585,0.09K,0.00%
39,39.0,39.0,39.0,39.0,5/31/1990,1.59,1.586,1.604,1.585,0.11K,0.32%
40,40.0,40.0,40.0,40.0,6/1/1990,1.585,1.587,1.59,1.585,0.05K,-0.31%
41,41.0,41.0,41.0,41.0,6/4/1990,1.582,1.585,1.585,1.57,0.30K,-0.19%
42,42.0,42.0,42.0,42.0,6/5/1990,1.567,1.57,1.575,1.567,0.13K,-0.95%
43,43.0,43.0,43.0,43.0,6/6/1990,1.56,1.562,1.564,1.556,0.11K,-0.45%
44,44.0,44.0,44.0,44.0,6/7/1990,1.573,1.565,1.585,1.565,0.15K,0.83%
45,45.0,45.0,45.0,45.0,6/8/1990,1.575,1.565,1.58,1.564,0.10K,0.13%
46,46.0,46.0,46.0,46.0,6/11/1990,1.572,1.573,1.575,1.565,0.11K,-0.19%
47,47.0,47.0,47.0,47.0,6/12/1990,1.558,1.57,1.574,1.553,0.25K,-0.89%
48,48.0,48.0,48.0,48.0,6/13/1990,1.545,1.55,1.55,1.543,0.21K,-0.83%
49,49.0,49.0,49.0,49.0,6/14/1990,1.547,1.54,1.55,1.54,0.13K,0.13%
50,50.0,50.0,50.0,50.0,6/15/1990,1.547,1.54,1.55,1.54,0.05K,0.00%
51,51.0,51.0,51.0,51.0,6/18/1990,1.54,1.535,1.544,1.535,0.03K,-0.45%
52,52.0,52.0,52.0,52.0,6/19/1990,1.536,1.53,1.538,1.53,0.10K,-0.26%
53,53.0,53.0,53.0,53.0,6/20/1990,1.51,1.527,1.533,1.505,0.23K,-1.69%
54,54.0,54.0,54.0,54.0,6/21/1990,1.528,1.558,1.56,1.528,,1.19%
55,55.0,55.0,55.0,55.0,6/22/1990,1.522,1.515,1.524,1.512,0.16K,-0.39%
56,56.0,56.0,56.0,56.0,6/25/1990,1.516,1.51,1.52,1.506,0.04K,-0.39%
57,57.0,57.0,57.0,57.0,6/26/1990,1.507,1.51,1.515,1.505,0.15K,-0.59%
58,58.0,58.0,58.0,58.0,6/27/1990,1.5,1.505,1.505,1.495,0.11K,-0.46%
59,59.0,59.0,59.0,59.0,6/28/1990,1.515,1.496,1.52,1.496,0.14K,1.00%
60,60.0,60.0,60.0,60.0,6/29/1990,1.519,1.51,1.519,1.51,0.08K,0.26%
61,61.0,61.0,61.0,61.0,7/2/1990,1.519,1.525,1.525,1.516,0.06K,0.00%
62,62.0,62.0,62.0,62.0,7/3/1990,1.525,1.517,1.525,1.517,0.09K,0.39%
63,63.0,63.0,63.0,63.0,7/5/1990,1.514,1.518,1.518,1.511,0.08K,-0.72%
64,64.0,64.0,64.0,64.0,7/6/1990,1.498,1.511,1.511,1.495,0.11K,-1.06%
