,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,1/2/1990,5.253,5.225,5.35,5.225,15.75K,-0.38%
1,1.0,1.0,1.0,1.0,1.0,1/3/1990,5.22,5.225,5.26,5.176,14.00K,-0.63%
2,2.0,2.0,2.0,2.0,2.0,1/4/1990,5.335,5.265,5.35,5.265,18.40K,2.20%
3,3.0,3.0,3.0,3.0,3.0,1/5/1990,5.385,5.33,5.4,5.275,19.34K,0.94%
4,4.0,4.0,4.0,4.0,4.0,1/8/1990,5.31,5.33,5.377,5.306,9.37K,-1.39%
5,5.0,5.0,5.0,5.0,5.0,1/9/1990,5.298,5.31,5.325,5.265,9.37K,-0.23%
6,6.0,6.0,6.0,6.0,6.0,1/10/1990,5.368,5.32,5.395,5.32,15.22K,1.32%
7,7.0,7.0,7.0,7.0,7.0,1/11/1990,5.365,5.36,5.41,5.345,10.34K,-0.06%
8,8.0,8.0,8.0,8.0,8.0,1/12/1990,5.388,5.386,5.445,5.385,19.53K,0.43%
9,9.0,9.0,9.0,9.0,9.0,1/15/1990,5.298,5.39,5.395,5.28,14.61K,-1.67%
10,10.0,10.0,10.0,10.0,10.0,1/16/1990,5.285,5.275,5.34,5.255,15.01K,-0.25%
11,11.0,11.0,11.0,11.0,11.0,1/17/1990,5.308,5.27,5.31,5.255,8.20K,0.44%
12,12.0,12.0,12.0,12.0,12.0,1/18/1990,5.24,5.315,5.334,5.235,14.84K,-1.28%
13,13.0,13.0,13.0,13.0,13.0,1/19/1990,5.25,5.22,5.275,5.22,7.77K,0.19%
14,14.0,14.0,14.0,14.0,14.0,1/22/1990,5.315,5.225,5.325,5.2,12.91K,1.24%
15,15.0,15.0,15.0,15.0,15.0,1/23/1990,5.34,5.3,5.36,5.295,14.89K,0.47%
16,16.0,16.0,16.0,16.0,16.0,1/24/1990,5.258,5.39,5.41,5.245,23.58K,-1.54%
17,17.0,17.0,17.0,17.0,17.0,1/25/1990,5.253,5.25,5.29,5.245,11.82K,-0.10%
18,18.0,18.0,18.0,18.0,18.0,1/26/1990,5.26,5.29,5.34,5.23,15.14K,0.13%
19,19.0,19.0,19.0,19.0,19.0,1/29/1990,5.253,5.265,5.275,5.22,11.27K,-0.13%
20,20.0,20.0,20.0,20.0,20.0,1/30/1990,5.328,5.325,5.365,5.315,,1.43%
