,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,"2,810.2","2,753.4","2,810.2","2,740.4",20.68M,2.07%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,"2,809.7","2,808.2","2,822.9","2,799.1",23.62M,-0.02%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,"2,796.1","2,809.7","2,815.5","2,772.6",24.37M,-0.48%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,"2,773.2","2,796.1","2,802.1","2,769.6",20.29M,-0.82%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,"2,794.4","2,773.2","2,798.4","2,762.2",16.61M,0.76%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,"2,766.0","2,794.6","2,802.9","2,766.0",15.80M,-1.02%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,"2,750.6","2,766.2","2,768.1","2,729.3",19.95M,-0.56%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,"2,760.7","2,750.6","2,774.7","2,750.6",15.79M,0.37%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,"2,689.2","2,760.9","2,760.9","2,682.8",24.18M,-2.59%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,"2,669.4","2,689.2","2,691.6","2,666.6",18.63M,-0.74%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,"2,692.6","2,669.4","2,692.6","2,641.2",25.00M,0.87%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,"2,659.1","2,692.6","2,704.3","2,648.7",21.31M,-1.24%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,"2,666.4","2,659.1","2,670.2","2,633.8",22.75M,0.27%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,"2,677.9","2,665.3","2,686.0","2,665.3",23.36M,0.43%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,"2,600.4","2,678.8","2,681.1","2,600.2",20.06M,-2.89%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,"2,615.3","2,600.4","2,625.7","2,588.5",22.52M,0.57%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,"2,604.5","2,615.3","2,615.5","2,553.4",28.07M,-0.41%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,"2,561.0","2,604.5","2,616.4","2,550.7",22.16M,-1.67%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,"2,559.2","2,561.0","2,583.6","2,522.5",25.73M,-0.07%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,"2,553.4","2,558.8","2,572.1","2,529.1",16.54M,-0.23%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,"2,543.2","2,553.4","2,562.6","2,519.1",24.91M,-0.40%
