,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,1/1/1990,93.21,93.19,93.31,93.08,,0.00%
1,1.0,1.0,1.0,1.0,1/2/1990,94.29,93.13,94.31,93.08,,1.16%
2,2.0,2.0,2.0,2.0,1/3/1990,94.42,94.15,94.52,94.08,,0.14%
3,3.0,3.0,3.0,3.0,1/4/1990,92.52,93.72,93.88,92.39,,-2.01%
4,4.0,4.0,4.0,4.0,1/5/1990,92.85,93.34,93.42,92.55,,0.36%
5,5.0,5.0,5.0,5.0,1/8/1990,92.05,92.52,92.54,91.94,,-0.86%
6,6.0,6.0,6.0,6.0,1/9/1990,92.35,92.53,92.79,92.31,,0.33%
7,7.0,7.0,7.0,7.0,1/10/1990,92.39,92.2,92.59,91.93,,0.04%
8,8.0,8.0,8.0,8.0,1/11/1990,92.4,92.64,92.73,92.32,,0.01%
9,9.0,9.0,9.0,9.0,1/12/1990,92.43,92.36,92.46,91.94,,0.03%
10,10.0,10.0,10.0,10.0,1/15/1990,92.84,92.37,92.9,92.35,,0.44%
11,11.0,11.0,11.0,11.0,1/16/1990,92.94,93.41,93.52,92.75,,0.11%
12,12.0,12.0,12.0,12.0,1/17/1990,92.72,92.95,92.98,92.43,,-0.24%
13,13.0,13.0,13.0,13.0,1/18/1990,93.74,93.35,93.84,93.1,,1.10%
14,14.0,14.0,14.0,14.0,1/19/1990,93.69,93.83,93.96,93.45,,-0.05%
15,15.0,15.0,15.0,15.0,1/22/1990,94.32,94.0,94.54,93.97,,0.67%
16,16.0,16.0,16.0,16.0,1/23/1990,93.19,93.63,93.67,93.04,,-1.20%
17,17.0,17.0,17.0,17.0,1/24/1990,93.03,92.56,93.08,92.36,,-0.17%
18,18.0,18.0,18.0,18.0,1/25/1990,92.65,92.76,92.94,92.53,,-0.41%
19,19.0,19.0,19.0,19.0,1/26/1990,92.52,92.65,92.99,92.47,,-0.14%
20,20.0,20.0,20.0,20.0,1/29/1990,92.1,92.0,92.28,91.89,,-0.45%
21,21.0,21.0,21.0,21.0,1/30/1990,92.91,92.19,93.31,91.98,,0.88%
22,22.0,22.0,22.0,22.0,1/31/1990,92.41,92.38,92.6,92.25,,-0.54%
23,23.0,23.0,23.0,23.0,2/1/1990,92.16,92.32,92.49,92.13,,-0.27%
24,24.0,24.0,24.0,24.0,2/2/1990,92.44,92.45,92.75,92.31,,0.30%
25,25.0,25.0,25.0,25.0,2/5/1990,91.54,92.09,92.09,91.45,,-0.97%
26,26.0,26.0,26.0,26.0,2/6/1990,91.55,91.27,91.64,91.26,,0.01%
27,27.0,27.0,27.0,27.0,2/7/1990,91.75,91.3,91.83,91.28,,0.22%
28,28.0,28.0,28.0,28.0,2/8/1990,91.98,91.92,92.22,91.89,,0.25%
29,29.0,29.0,29.0,29.0,2/9/1990,91.98,92.06,92.31,91.96,,0.00%
30,30.0,30.0,30.0,30.0,2/12/1990,92.11,92.11,92.24,91.88,,0.14%
31,31.0,31.0,31.0,31.0,2/13/1990,92.3,92.58,92.7,92.17,,0.21%
32,32.0,32.0,32.0,32.0,2/14/1990,92.13,92.09,92.21,91.95,,-0.18%
33,33.0,33.0,33.0,33.0,2/15/1990,92.79,92.24,92.86,92.23,,0.72%
34,34.0,34.0,34.0,34.0,2/16/1990,92.18,92.81,93.11,92.05,,-0.66%
35,35.0,35.0,35.0,35.0,2/19/1990,92.18,92.81,93.11,92.05,,0.00%
36,36.0,36.0,36.0,36.0,2/20/1990,91.82,92.01,92.24,91.8,,-0.39%
37,37.0,37.0,37.0,37.0,2/21/1990,91.8,91.72,91.92,91.56,,-0.02%
38,38.0,38.0,38.0,38.0,2/22/1990,91.98,91.87,92.02,91.62,,0.20%
39,39.0,39.0,39.0,39.0,2/23/1990,92.16,92.17,92.25,91.98,,0.20%
40,40.0,40.0,40.0,40.0,2/26/1990,92.97,92.65,92.97,92.58,,0.88%
41,41.0,41.0,41.0,41.0,2/27/1990,92.71,92.86,92.86,92.58,,-0.28%
42,42.0,42.0,42.0,42.0,2/28/1990,93.29,92.84,93.45,92.79,,0.63%
43,43.0,43.0,43.0,43.0,3/1/1990,94.0,93.67,94.12,93.54,,0.76%
44,44.0,44.0,44.0,44.0,3/2/1990,94.01,93.86,94.33,93.64,,0.01%
45,45.0,45.0,45.0,45.0,3/5/1990,93.27,93.37,93.79,93.23,,-0.79%
46,46.0,46.0,46.0,46.0,3/6/1990,93.56,93.28,93.66,93.26,,0.31%
47,47.0,47.0,47.0,47.0,3/7/1990,93.64,93.76,93.96,93.58,,0.09%
48,48.0,48.0,48.0,48.0,3/8/1990,93.53,93.58,93.66,93.43,,-0.12%
49,49.0,49.0,49.0,49.0,3/9/1990,93.87,93.77,93.96,93.66,,0.36%
50,50.0,50.0,50.0,50.0,3/12/1990,94.39,94.17,94.49,94.02,,0.55%
51,51.0,51.0,51.0,51.0,3/13/1990,94.3,94.59,94.72,94.16,,-0.10%
52,52.0,52.0,52.0,52.0,3/14/1990,94.25,94.35,94.47,94.14,,-0.05%
53,53.0,53.0,53.0,53.0,3/15/1990,93.78,94.37,94.41,93.71,,-0.50%
54,54.0,54.0,54.0,54.0,3/16/1990,93.8,93.83,93.83,93.48,,0.02%
55,55.0,55.0,55.0,55.0,3/19/1990,93.49,93.45,93.59,93.28,,-0.33%
56,56.0,56.0,56.0,56.0,3/20/1990,94.29,93.48,94.38,93.43,,0.86%
57,57.0,57.0,57.0,57.0,3/21/1990,94.41,94.35,94.57,94.25,,0.13%
58,58.0,58.0,58.0,58.0,3/22/1990,94.17,94.63,94.65,94.07,,-0.25%
59,59.0,59.0,59.0,59.0,3/23/1990,94.37,94.27,94.44,93.97,,0.21%
60,60.0,60.0,60.0,60.0,3/26/1990,94.28,94.47,94.62,94.13,,-0.10%
61,61.0,61.0,61.0,61.0,3/27/1990,94.41,94.52,94.64,94.33,,0.14%
62,62.0,62.0,62.0,62.0,3/28/1990,94.47,94.56,94.6,94.31,,0.06%
63,63.0,63.0,63.0,63.0,3/29/1990,93.73,94.0,94.04,93.57,,-0.78%
64,64.0,64.0,64.0,64.0,3/30/1990,93.69,93.86,93.95,93.39,,-0.04%
65,65.0,65.0,65.0,65.0,4/2/1990,94.06,94.28,94.32,94.01,,0.39%
66,66.0,66.0,66.0,66.0,4/3/1990,94.01,94.09,94.12,93.93,,-0.05%
67,67.0,67.0,67.0,67.0,4/4/1990,93.98,93.9,94.01,93.8,,-0.03%
68,68.0,68.0,68.0,68.0,4/5/1990,93.86,93.88,93.93,93.82,,-0.13%
69,69.0,69.0,69.0,69.0,4/6/1990,93.72,93.72,93.83,93.59,,-0.15%
70,70.0,70.0,70.0,70.0,4/9/1990,93.68,93.49,93.73,93.35,,-0.04%
71,71.0,71.0,71.0,71.0,4/10/1990,93.0,93.65,93.7,93.0,,-0.73%
72,72.0,72.0,72.0,72.0,4/11/1990,92.93,93.06,93.1,92.83,,-0.08%
73,73.0,73.0,73.0,73.0,4/12/1990,92.87,93.08,93.09,92.87,,-0.06%
74,74.0,74.0,74.0,74.0,4/13/1990,92.87,93.08,93.09,92.87,,0.00%
75,75.0,75.0,75.0,75.0,4/16/1990,93.34,93.17,93.49,93.17,,0.51%
76,76.0,76.0,76.0,76.0,4/17/1990,93.28,93.53,93.59,93.28,,-0.06%
77,77.0,77.0,77.0,77.0,4/18/1990,92.86,93.39,93.41,92.86,,-0.45%
78,78.0,78.0,78.0,78.0,4/19/1990,92.99,92.79,93.17,92.71,,0.14%
79,79.0,79.0,79.0,79.0,4/20/1990,93.29,93.17,93.56,93.06,,0.32%
80,80.0,80.0,80.0,80.0,4/23/1990,93.77,93.7,93.83,93.64,,0.51%
81,81.0,81.0,81.0,81.0,4/24/1990,93.78,93.8,93.87,93.61,,0.01%
82,82.0,82.0,82.0,82.0,4/25/1990,93.09,93.74,93.74,92.99,,-0.74%
83,83.0,83.0,83.0,83.0,4/26/1990,93.2,92.98,93.25,92.95,,0.12%
84,84.0,84.0,84.0,84.0,4/27/1990,93.02,93.21,93.44,92.92,,-0.19%
85,85.0,85.0,85.0,85.0,4/30/1990,93.07,93.21,93.31,93.02,,0.05%
86,86.0,86.0,86.0,86.0,5/1/1990,93.09,93.23,93.3,93.03,,0.02%
87,87.0,87.0,87.0,87.0,5/2/1990,93.24,93.27,93.28,93.09,,0.16%
88,88.0,88.0,88.0,88.0,5/3/1990,93.13,93.11,93.2,93.02,,-0.12%
89,89.0,89.0,89.0,89.0,5/4/1990,92.37,93.06,93.12,92.35,,-0.82%
90,90.0,90.0,90.0,90.0,5/7/1990,92.01,92.18,92.21,91.89,,-0.39%
91,91.0,91.0,91.0,91.0,5/8/1990,91.99,91.99,92.18,91.93,,-0.02%
92,92.0,92.0,92.0,92.0,5/9/1990,91.15,91.41,91.52,91.04,,-0.91%
93,93.0,93.0,93.0,93.0,5/10/1990,91.21,91.38,91.53,91.02,,0.07%
94,94.0,94.0,94.0,94.0,5/11/1990,91.12,91.08,91.2,90.66,,-0.10%
95,95.0,95.0,95.0,95.0,5/14/1990,91.1,91.17,91.29,91.07,,-0.02%
96,96.0,96.0,96.0,96.0,5/15/1990,91.09,91.06,91.35,90.95,,-0.01%
97,97.0,97.0,97.0,97.0,5/16/1990,91.16,91.24,91.3,91.0,,0.08%
