,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %,0,1,2,3,4,5,6,0.1,1.1,2.1,3.1,4.1,5.1,6.1
0,0.0,0.0,0.0,1/2/1990,408.75,408.25,410.75,407.25,,-0.12%,,,,,,,,,,,,,,
1,1.0,1.0,1.0,1/3/1990,410,407.75,410.25,407,,0.31%,,,,,,,,,,,,,,
2,2.0,2.0,2.0,1/4/1990,409.25,410,411,408.5,,-0.18%,,,,,,,,,,,,,,
3,3.0,3.0,3.0,1/5/1990,409.75,408.25,410.5,407.5,,0.12%,,,,,,,,,,,,,,
4,4.0,4.0,4.0,1/8/1990,410,411.25,412,409.5,,0.06%,,,,,,,,,,,,,,
5,5.0,5.0,5.0,1/9/1990,406.75,408.5,409,406.25,,-0.79%,,,,,,,,,,,,,,
6,6.0,6.0,6.0,1/10/1990,405.5,405.75,406.25,403.25,,-0.31%,,,,,,,,,,,,,,
7,7.0,7.0,7.0,1/11/1990,404.75,406.5,407.25,403,,-0.18%,,,,,,,,,,,,,,
8,8.0,8.0,8.0,1/12/1990,401.5,407,407.5,400.5,,-0.80%,,,,,,,,,,,,,,
9,9.0,9.0,9.0,1/15/1990,399.5,401.25,401.5,397.5,,-0.50%,,,,,,,,,,,,,,
10,10.0,10.0,10.0,1/16/1990,398.25,399.25,401,397.75,,-0.31%,,,,,,,,,,,,,,
11,11.0,11.0,11.0,1/17/1990,401,397.75,401.5,397.25,,0.69%,,,,,,,,,,,,,,
12,12.0,12.0,12.0,1/18/1990,397.75,401.75,402,396,,-0.81%,,,,,,,,,,,,,,
13,13.0,13.0,13.0,1/19/1990,392,396.75,397,391.75,,-1.45%,,,,,,,,,,,,,,
14,14.0,14.0,14.0,1/22/1990,392.5,391.5,394.25,391.25,,0.13%,,,,,,,,,,,,,,
15,15.0,15.0,15.0,1/23/1990,392.75,393.25,393.75,391.5,,0.06%,,,,,,,,,,,,,,
16,16.0,16.0,16.0,1/24/1990,391.5,391.88,393.5,391.25,,-0.32%,,,,,,,,,,,,,,
17,17.0,17.0,17.0,1/25/1990,385.5,389.25,390,384.25,,-1.53%,,,,,,,,,,,,,,
18,18.0,18.0,18.0,1/26/1990,381.25,385.25,386.5,381,,-1.10%,,,,,,,,,,,,,,
19,19.0,19.0,19.0,1/29/1990,378.75,380.88,382.5,371.5,,-0.66%,,,,,,,,,,,,,,
20,20.0,20.0,20.0,1/30/1990,376,380.38,380.5,375.25,,-0.73%,,,,,,,,,,,,,,
21,21.0,21.0,21.0,1/31/1990,375.75,377.25,379.5,375,,-0.07%,,,,,,,,,,,,,,
22,22.0,22.0,22.0,2/1/1990,375.25,375.63,377.5,373.25,,-0.13%,,,,,,,,,,,,,,
23,23.0,23.0,23.0,2/2/1990,379,374,379.5,373.75,,1.00%,,,,,,,,,,,,,,
24,24.0,24.0,24.0,2/5/1990,383.5,381,384,380,,1.19%,,,,,,,,,,,,,,
25,25.0,25.0,25.0,2/6/1990,382.75,382.25,384.5,381.25,,-0.20%,,,,,,,,,,,,,,
26,26.0,26.0,26.0,2/7/1990,383,384.25,385,382.75,,0.07%,,,,,,,,,,,,,,
27,27.0,27.0,27.0,2/8/1990,382.5,382.88,383,380.25,,-0.13%,,,,,,,,,,,,,,
28,28.0,28.0,28.0,2/9/1990,386.75,383.88,388,383.5,,1.11%,,,,,,,,,,,,,,
29,29.0,29.0,29.0,2/12/1990,390,387.75,390.25,387.5,,0.84%,,,,,,,,,,,,,,
30,30.0,30.0,30.0,2/13/1990,385.5,389,389.5,385.25,,-1.15%,,,,,,,,,,,,,,
31,31.0,31.0,31.0,2/14/1990,387.25,385.25,387.75,383,,0.45%,,,,,,,,,,,,,,
32,32.0,32.0,32.0,2/15/1990,386.25,388.38,389,384.25,,-0.26%,,,,,,,,,,,,,,
33,33.0,33.0,33.0,2/16/1990,384,386.63,387.75,383.5,,-0.58%,,,,,,,,,,,,,,
34,34.0,34.0,34.0,2/19/1990,384,384,384,384,,0.00%,,,,,,,,,,,,,,
35,35.0,35.0,35.0,2/20/1990,382.25,382.13,383.5,381,,-0.46%,,,,,,,,,,,,,,
36,36.0,36.0,36.0,2/21/1990,384.5,381,385,380.25,,0.59%,,,,,,,,,,,,,,
37,37.0,37.0,37.0,2/22/1990,389.5,385.38,390,384.5,,1.30%,,,,,,,,,,,,,,
38,38.0,38.0,38.0,2/23/1990,394,389.25,394,388.5,,1.16%,,,,,,,,,,,,,,
39,39.0,39.0,39.0,2/26/1990,396.25,394.25,396.75,393.5,,0.57%,,,,,,,,,,,,,,
40,40.0,40.0,40.0,2/27/1990,394.25,396.63,398.25,391.5,,-0.50%,,,,,,,,,,,,,,
41,41.0,41.0,41.0,2/28/1990,393.25,394,396,391.25,,-0.25%,,,,,,,,,,,,,,
42,42.0,42.0,42.0,3/1/1990,389.25,391.5,393,389,,-1.02%,,,,,,,,,,,,,,
43,43.0,43.0,43.0,3/2/1990,388.75,389.75,392.25,387.5,,-0.13%,,,,,,,,,,,,,,
44,44.0,44.0,44.0,3/5/1990,385,388.38,388.5,381.25,,-0.96%,,,,,,,,,,,,,,
45,45.0,45.0,45.0,3/6/1990,381.25,384.25,386,380,,-0.97%,,,,,,,,,,,,,,
46,46.0,46.0,46.0,3/7/1990,381,380.25,383,380,,-0.07%,,,,,,,,,,,,,,
47,47.0,47.0,47.0,3/8/1990,383.5,380,384.5,380,,0.66%,,,,,,,,,,,,,,
48,48.0,48.0,48.0,3/9/1990,383.5,384,384,382,,0.00%,,,,,,,,,,,,,,
49,49.0,49.0,49.0,3/12/1990,383.5,383,384,381.5,,0.00%,,,,,,,,,,,,,,
50,50.0,50.0,50.0,3/13/1990,381,382.5,384.5,380,,-0.65%,,,,,,,,,,,,,,
51,51.0,51.0,51.0,3/14/1990,381,378.75,381.5,378,,0.00%,,,,,,,,,,,,,,
52,52.0,52.0,52.0,3/15/1990,384.5,380,384.5,379,,0.92%,,,,,,,,,,,,,,
53,53.0,53.0,53.0,3/16/1990,389.5,387,390,385,,1.30%,,,,,,,,,,,,,,
54,54.0,54.0,54.0,3/19/1990,398.5,391.25,398.75,390.5,,2.31%,,,,,,,,,,,,,,
55,55.0,55.0,55.0,3/20/1990,402.25,400,402.25,398.5,,0.94%,,,,,,,,,,,,,,
56,56.0,56.0,56.0,3/21/1990,404.5,403.25,408,400.5,,0.56%,,,,,,,,,,,,,,
57,57.0,57.0,57.0,3/22/1990,358.75,359.63,359.75,357,,-11.31%,,,,,,,,,,,,,,
58,58.0,58.0,58.0,3/23/1990,356.75,358.5,358.5,355.75,,-0.56%,,,,,,,,,,,,,,
59,59.0,59.0,59.0,3/26/1990,359,356.38,359.75,355.5,,0.63%,,,,,,,,,,,,,,
60,60.0,60.0,60.0,3/27/1990,355,358.5,359,355,,-1.11%,,,,,,,,,,,,,,
61,61.0,61.0,61.0,3/28/1990,350,354.5,355,349.25,,-1.41%,,,,,,,,,,,,,,
62,62.0,62.0,62.0,3/29/1990,353,347,353,347,,0.86%,,,,,,,,,,,,,,
63,63.0,63.0,63.0,3/30/1990,351.75,352.75,353.5,349.5,,-0.35%,,,,,,,,,,,,,,
64,64.0,64.0,64.0,4/1/1990,374.25,353.75,374.75,353.25,54.81K,6.40%,,,,,,,,,,,,,,
65,65.0,65.0,65.0,4/2/1990,355.75,353.75,356.5,353.25,,-4.94%,,,,,,,,,,,,,,
66,66.0,66.0,66.0,4/3/1990,361.5,356,361.75,355.5,,1.62%,,,,,,,,,,,,,,
67,67.0,67.0,67.0,4/4/1990,369.75,363.75,374.75,363.5,,2.28%,,,,,,,,,,,,,,
68,68.0,68.0,68.0,4/5/1990,370,369.75,372.5,367,,0.07%,,,,,,,,,,,,,,
69,69.0,69.0,69.0,4/6/1990,365.25,369.75,371.5,365,,-1.28%,,,,,,,,,,,,,,
70,70.0,70.0,70.0,4/9/1990,360.75,365.38,370.5,360.5,,-1.23%,,,,,,,,,,,,,,
71,71.0,71.0,71.0,4/10/1990,362,361.25,364,357.5,,0.35%,,,,,,,,,,,,,,
72,72.0,72.0,72.0,4/11/1990,364.75,363.75,367,361,,0.76%,,,,,,,,,,,,,,
73,73.0,73.0,73.0,4/12/1990,367,363.5,367.5,362,,0.62%,,,,,,,,,,,,,,
74,74.0,74.0,74.0,4/13/1990,367,367,367,367,,0.00%,,,,,,,,,,,,,,
75,75.0,75.0,75.0,4/16/1990,370.5,364.75,370.75,364.5,,0.95%,,,,,,,,,,,,,,
76,76.0,76.0,76.0,4/17/1990,364.75,370.88,371.5,364.5,,-1.55%,,,,,,,,,,,,,,
77,77.0,77.0,77.0,4/18/1990,365.25,364.63,367,364.5,,0.14%,,,,,,,,,,,,,,
78,78.0,78.0,78.0,4/19/1990,369,364.75,370.5,363.5,,1.03%,,,,,,,,,,,,,,
79,79.0,79.0,79.0,4/20/1990,370.75,370,374,368.75,,0.47%,,,,,,,,,,,,,,
80,80.0,80.0,80.0,4/23/1990,370.25,370,371.75,369.25,,-0.13%,,,,,,,,,,,,,,
81,81.0,81.0,81.0,4/24/1990,367.75,369.5,370,366.5,,-0.68%,,,,,,,,,,,,,,
82,82.0,82.0,82.0,4/25/1990,371,367,371,366.75,,0.88%,,,,,,,,,,,,,,
83,83.0,83.0,83.0,4/26/1990,370.5,369,371,366,,-0.13%,,,,,,,,,,,,,,
84,84.0,84.0,84.0,4/27/1990,370.5,369.25,374,365.5,,0.00%,,,,,,,,,,,,,,
85,85.0,85.0,85.0,4/30/1990,374.25,370.75,374.5,368,,1.01%,,,,,,,,,,,,,,
86,86.0,86.0,86.0,5/1/1990,367.5,374.75,376,367.5,,-1.80%,,,,,,,,,,,,,,
87,87.0,87.0,87.0,5/2/1990,373.5,368.5,373.75,368.5,,1.63%,,,,,,,,,,,,,,
88,88.0,88.0,88.0,5/3/1990,372.5,373.5,377,372,,-0.27%,,,,,,,,,,,,,,
89,89.0,89.0,89.0,5/4/1990,377.25,374,378.5,372.5,,1.28%,,,,,,,,,,,,,,
90,90.0,90.0,90.0,5/7/1990,383,378,383.25,378,,1.52%,,,,,,,,,,,,,,
91,91.0,91.0,91.0,5/8/1990,378,383.25,384.5,377.25,,-1.31%,,,,,,,,,,,,,,
92,92.0,92.0,92.0,5/9/1990,379.5,377,383,377,,0.40%,,,,,,,,,,,,,,
93,93.0,93.0,93.0,5/10/1990,382,382,383.75,380.5,,0.66%,,,,,,,,,,,,,,
94,94.0,94.0,94.0,5/11/1990,381.5,381.5,382,377.5,,-0.13%,,,,,,,,,,,,,,
95,95.0,95.0,95.0,5/14/1990,384.25,381,384.5,381,,0.72%,,,,,,,,,,,,,,
96,96.0,96.0,96.0,5/15/1990,383,384.5,385.5,381.5,,-0.33%,,,,,,,,,,,,,,
97,97.0,97.0,97.0,5/16/1990,389,384,390,384,,1.57%,,,,,,,,,,,,,,
98,98.0,98.0,98.0,5/17/1990,389.5,389.5,390,387.75,,0.13%,,,,,,,,,,,,,,
99,99.0,99.0,99.0,5/18/1990,385.75,389,389,385,,-0.96%,,,,,,,,,,,,,,
100,100.0,100.0,100.0,5/21/1990,383.5,382,387,369,,-0.58%,,,,,,,,,,,,,,
101,101.0,101.0,101.0,5/22/1990,334.75,336.5,339.5,334.25,,-12.71%,,,,,,,,,,,,,,
102,102.0,102.0,102.0,5/23/1990,333.75,334.75,336.5,332.25,,-0.30%,,,,,,,,,,,,,,
103,103.0,103.0,103.0,5/24/1990,330.5,334.63,335.5,330,,-0.97%,,,,,,,,,,,,,,
104,104.0,104.0,104.0,5/25/1990,330,331,332.5,328.5,,-0.15%,,,,,,,,,,,,,,
105,105.0,105.0,105.0,5/28/1990,330,330,330,330,,0.00%,,,,,,,,,,,,,,
106,106.0,106.0,106.0,5/29/1990,335,331,335.5,330.25,,1.52%,,,,,,,,,,,,,,
107,107.0,107.0,107.0,5/30/1990,332.25,334.5,335,330.5,,-0.82%,,,,,,,,,,,,,,
