,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,01/02/1990,1.5813,1.5808,1.5845,1.533,,2.65%
1,1.0,1.0,1.0,1.0,1.0,01/03/1990,1.5794,1.579,1.5894,1.5685,,-0.12%
2,2.0,2.0,2.0,2.0,2.0,01/04/1990,1.5373,1.5368,1.5847,1.5315,,-2.67%
3,3.0,3.0,3.0,3.0,3.0,01/05/1990,1.545,1.5445,1.5565,1.532,,0.50%
4,4.0,4.0,4.0,4.0,4.0,01/08/1990,1.5245,1.524,1.549,1.5185,,-1.33%
5,5.0,5.0,5.0,5.0,5.0,01/09/1990,1.5173,1.517,1.5319,1.514,,-0.47%
6,6.0,6.0,6.0,6.0,6.0,01/10/1990,1.516,1.5155,1.522,1.502,,-0.09%
7,7.0,7.0,7.0,7.0,7.0,01/11/1990,1.506,1.5055,1.525,1.5,,-0.66%
8,8.0,8.0,8.0,8.0,8.0,01/12/1990,1.4985,1.498,1.5095,1.486,,-0.50%
9,9.0,9.0,9.0,9.0,9.0,01/15/1990,1.5158,1.5153,1.5165,1.4915,,1.15%
10,10.0,10.0,10.0,10.0,10.0,01/16/1990,1.5093,1.509,1.5309,1.506,,-0.43%
11,11.0,11.0,11.0,11.0,11.0,01/17/1990,1.507,1.5065,1.514,1.495,,-0.15%
12,12.0,12.0,12.0,12.0,12.0,01/18/1990,1.524,1.5235,1.5265,1.5065,,1.13%
13,13.0,13.0,13.0,13.0,13.0,01/19/1990,1.5225,1.522,1.528,1.513,,-0.10%
14,14.0,14.0,14.0,14.0,14.0,01/22/1990,1.5355,1.535,1.5397,1.5225,,0.85%
15,15.0,15.0,15.0,15.0,15.0,01/23/1990,1.507,1.5065,1.535,1.5025,,-1.86%
16,16.0,16.0,16.0,16.0,16.0,01/24/1990,1.4952,1.4947,1.508,1.485,,-0.78%
17,17.0,17.0,17.0,17.0,17.0,01/25/1990,1.485,1.4845,1.497,1.4825,,-0.68%
18,18.0,18.0,18.0,18.0,18.0,01/26/1990,1.491,1.4905,1.4985,1.4825,,0.40%
19,19.0,19.0,19.0,19.0,19.0,01/29/1990,1.482,1.4815,1.492,1.477,,-0.60%
20,20.0,20.0,20.0,20.0,20.0,01/30/1990,1.499,1.498,1.513,1.4763,,1.15%
21,21.0,21.0,21.0,21.0,21.0,01/31/1990,1.5032,1.5027,1.506,1.485,,0.28%
22,22.0,22.0,22.0,22.0,22.0,02/01/1990,1.4935,1.493,1.5055,1.4905,,-0.65%
23,23.0,23.0,23.0,23.0,23.0,02/02/1990,1.4915,1.491,1.5015,1.4867,,-0.13%
24,24.0,24.0,24.0,24.0,24.0,02/05/1990,1.473,1.4725,1.4918,1.471,,-1.24%
25,25.0,25.0,25.0,25.0,25.0,02/06/1990,1.4755,1.475,1.4805,1.4695,,0.17%
26,26.0,26.0,26.0,26.0,26.0,02/07/1990,1.4885,1.488,1.494,1.4737,,0.88%
27,27.0,27.0,27.0,27.0,27.0,02/08/1990,1.489,1.4885,1.496,1.484,,0.03%
28,28.0,28.0,28.0,28.0,28.0,02/09/1990,1.4915,1.491,1.5005,1.486,,0.17%
29,29.0,29.0,29.0,29.0,29.0,02/12/1990,1.4998,1.4993,1.5015,1.4895,,0.56%
