,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,01/02/1990,146.6,146.55,146.78,143.4,,1.88%
1,1.0,1.0,1.0,1.0,01/03/1990,145.37,145.32,146.9,145.05,,-0.84%
2,2.0,2.0,2.0,2.0,01/04/1990,143.37,143.33,145.94,142.8,,-1.38%
3,3.0,3.0,3.0,3.0,01/05/1990,144.55,144.5,144.65,143.0,,0.82%
4,4.0,4.0,4.0,4.0,01/08/1990,144.15,144.1,144.8,143.85,,-0.28%
5,5.0,5.0,5.0,5.0,01/09/1990,145.17,145.12,145.5,144.05,,0.71%
6,6.0,6.0,6.0,6.0,01/10/1990,145.7,145.65,145.95,144.45,,0.37%
7,7.0,7.0,7.0,7.0,01/11/1990,145.47,145.45,145.58,144.95,,-0.16%
8,8.0,8.0,8.0,8.0,01/12/1990,145.8,145.75,146.0,144.75,,0.23%
9,9.0,9.0,9.0,9.0,01/15/1990,145.78,145.73,145.91,145.05,,-0.01%
10,10.0,10.0,10.0,10.0,01/16/1990,145.39,145.37,146.07,145.1,,-0.27%
11,11.0,11.0,11.0,11.0,01/17/1990,145.41,145.38,145.69,145.15,,0.01%
12,12.0,12.0,12.0,12.0,01/18/1990,146.32,146.3,146.43,145.3,,0.63%
13,13.0,13.0,13.0,13.0,01/19/1990,145.99,145.95,146.72,145.03,,-0.23%
14,14.0,14.0,14.0,14.0,01/22/1990,146.56,146.53,146.63,146.0,,0.39%
15,15.0,15.0,15.0,15.0,01/23/1990,145.88,145.85,146.72,145.76,,-0.46%
16,16.0,16.0,16.0,16.0,01/24/1990,145.68,145.65,146.22,144.65,,-0.14%
17,17.0,17.0,17.0,17.0,01/25/1990,143.88,143.85,145.59,143.75,,-1.24%
18,18.0,18.0,18.0,18.0,01/26/1990,142.84,142.82,144.22,142.75,,-0.72%
19,19.0,19.0,19.0,19.0,01/29/1990,142.94,142.92,143.47,142.5,,0.07%
20,20.0,20.0,20.0,20.0,01/30/1990,144.85,144.8,145.95,142.7,,1.34%
21,21.0,21.0,21.0,21.0,01/31/1990,144.45,144.43,145.38,143.85,,-0.28%
22,22.0,22.0,22.0,22.0,02/01/1990,144.94,144.92,145.16,144.2,,0.34%
23,23.0,23.0,23.0,23.0,02/02/1990,145.6,145.55,145.65,144.7,,0.46%
24,24.0,24.0,24.0,24.0,02/05/1990,144.8,144.75,145.73,144.55,,-0.55%
25,25.0,25.0,25.0,25.0,02/06/1990,145.25,145.22,145.53,144.3,,0.31%
26,26.0,26.0,26.0,26.0,02/07/1990,145.57,145.55,145.75,144.85,,0.22%
27,27.0,27.0,27.0,27.0,02/08/1990,145.3,145.25,145.67,144.8,,-0.19%
28,28.0,28.0,28.0,28.0,02/09/1990,144.75,144.7,145.43,144.4,,-0.38%
29,29.0,29.0,29.0,29.0,02/12/1990,144.31,144.28,144.88,144.0,,-0.30%
30,30.0,30.0,30.0,30.0,02/13/1990,144.3,144.25,144.73,144.15,,-0.01%
31,31.0,31.0,31.0,31.0,02/14/1990,144.53,144.5,144.62,144.05,,0.16%
32,32.0,32.0,32.0,32.0,02/15/1990,144.87,144.83,144.94,144.25,,0.24%
33,33.0,33.0,33.0,33.0,02/16/1990,144.0,143.95,145.15,143.8,,-0.60%
34,34.0,34.0,34.0,34.0,02/19/1990,144.62,144.6,144.77,143.8,,0.43%
35,35.0,35.0,35.0,35.0,02/20/1990,145.18,145.15,145.57,144.35,,0.39%
36,36.0,36.0,36.0,36.0,02/21/1990,145.56,145.53,145.71,144.55,,0.26%
37,37.0,37.0,37.0,37.0,02/22/1990,146.36,146.33,146.7,145.07,,0.55%
38,38.0,38.0,38.0,38.0,02/23/1990,147.1,147.05,147.45,145.78,,0.51%
39,39.0,39.0,39.0,39.0,02/26/1990,148.6,148.55,149.1,147.05,,1.02%
40,40.0,40.0,40.0,40.0,02/27/1990,148.72,148.69,149.62,148.05,,0.08%
41,41.0,41.0,41.0,41.0,02/28/1990,149.07,149.05,149.22,148.15,,0.24%
42,42.0,42.0,42.0,42.0,03/01/1990,149.88,149.85,149.97,148.9,,0.54%
43,43.0,43.0,43.0,43.0,03/02/1990,150.35,150.3,150.55,149.35,,0.31%
44,44.0,44.0,44.0,44.0,03/05/1990,149.05,149.0,150.55,148.48,,-0.86%
45,45.0,45.0,45.0,45.0,03/06/1990,150.05,150.0,150.07,148.4,,0.67%
46,46.0,46.0,46.0,46.0,03/07/1990,150.31,150.28,151.44,149.72,,0.17%
47,47.0,47.0,47.0,47.0,03/08/1990,151.12,151.1,151.38,149.75,,0.54%
48,48.0,48.0,48.0,48.0,03/09/1990,151.28,151.25,151.47,150.88,,0.11%
49,49.0,49.0,49.0,49.0,03/12/1990,152.8,152.77,152.81,151.2,,1.00%
50,50.0,50.0,50.0,50.0,03/13/1990,152.09,152.05,153.09,151.85,,-0.46%
51,51.0,51.0,51.0,51.0,03/14/1990,152.12,152.1,152.68,151.55,,0.02%
52,52.0,52.0,52.0,52.0,03/15/1990,152.03,152.0,153.33,151.98,,-0.06%
53,53.0,53.0,53.0,53.0,03/16/1990,152.62,152.57,152.85,151.75,,0.39%
54,54.0,54.0,54.0,54.0,03/19/1990,153.0,152.97,153.81,152.25,,0.25%
55,55.0,55.0,55.0,55.0,03/20/1990,154.32,154.27,154.54,152.1,,0.86%
56,56.0,56.0,56.0,56.0,03/21/1990,154.62,154.6,154.68,153.55,,0.19%
57,57.0,57.0,57.0,57.0,03/22/1990,154.97,154.95,155.47,154.15,,0.23%
58,58.0,58.0,58.0,58.0,03/23/1990,154.3,154.25,155.3,152.7,,-0.43%
59,59.0,59.0,59.0,59.0,03/26/1990,156.72,156.7,156.8,154.7,,1.57%
60,60.0,60.0,60.0,60.0,03/27/1990,157.82,157.8,157.93,156.31,,0.70%
61,61.0,61.0,61.0,61.0,03/28/1990,158.62,158.6,159.33,157.1,,0.51%
62,62.0,62.0,62.0,62.0,03/29/1990,156.34,156.31,158.89,156.1,,-1.44%
63,63.0,63.0,63.0,63.0,03/30/1990,158.53,158.5,158.62,155.7,,1.40%
64,64.0,64.0,64.0,64.0,04/02/1990,159.19,159.16,160.38,158.25,,0.42%
65,65.0,65.0,65.0,65.0,04/03/1990,159.87,159.83,159.88,158.24,,0.43%
66,66.0,66.0,66.0,66.0,04/04/1990,159.03,159.0,159.93,157.78,,-0.53%
67,67.0,67.0,67.0,67.0,04/05/1990,157.38,157.35,159.21,157.13,,-1.04%
68,68.0,68.0,68.0,68.0,04/06/1990,157.67,157.62,157.85,156.5,,0.18%
69,69.0,69.0,69.0,69.0,04/09/1990,158.22,158.17,159.65,155.45,,0.35%
70,70.0,70.0,70.0,70.0,04/10/1990,157.75,157.7,158.8,157.38,,-0.30%
71,71.0,71.0,71.0,71.0,04/11/1990,158.05,158.0,158.66,157.37,,0.19%
72,72.0,72.0,72.0,72.0,04/12/1990,158.15,158.05,158.65,157.85,,0.06%
73,73.0,73.0,73.0,73.0,04/13/1990,158.69,158.67,158.72,158.0,,0.34%
74,74.0,74.0,74.0,74.0,04/16/1990,159.37,159.32,159.7,158.8,,0.43%
75,75.0,75.0,75.0,75.0,04/17/1990,159.88,159.83,160.21,159.13,,0.32%
76,76.0,76.0,76.0,76.0,04/18/1990,158.15,158.1,160.25,157.98,,-1.08%
77,77.0,77.0,77.0,77.0,04/19/1990,156.89,156.87,158.65,156.1,,-0.80%
78,78.0,78.0,78.0,78.0,04/20/1990,157.5,157.45,158.3,156.35,,0.39%
79,79.0,79.0,79.0,79.0,04/23/1990,157.98,157.93,157.98,156.85,,0.30%
80,80.0,80.0,80.0,80.0,04/24/1990,158.97,158.95,159.0,157.51,,0.63%
81,81.0,81.0,81.0,81.0,04/25/1990,158.88,158.83,159.33,158.45,,-0.06%
82,82.0,82.0,82.0,82.0,04/26/1990,159.25,159.2,159.38,158.15,,0.23%
83,83.0,83.0,83.0,83.0,04/27/1990,159.25,159.2,159.53,158.5,,0.00%
84,84.0,84.0,84.0,84.0,04/30/1990,158.9,158.85,159.53,158.7,,-0.22%
85,85.0,85.0,85.0,85.0,05/01/1990,158.78,158.75,159.18,158.25,,-0.08%
86,86.0,86.0,86.0,86.0,05/02/1990,158.13,158.08,158.9,157.74,,-0.41%
87,87.0,87.0,87.0,87.0,05/03/1990,158.19,158.15,158.25,157.4,,0.04%
88,88.0,88.0,88.0,88.0,05/04/1990,158.2,158.15,159.0,157.98,,0.01%
89,89.0,89.0,89.0,89.0,05/07/1990,158.18,158.15,158.43,157.45,,-0.01%
90,90.0,90.0,90.0,90.0,05/08/1990,157.63,157.58,158.33,157.28,,-0.35%
