,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0.0,0.0,0.0,0.0,0.0,7/3/2023,13.83,13.85,13.85,13.83,,1.77%
1,1.0,1.0,1.0,1.0,1.0,6/30/2023,13.59,13.51,13.59,12.96,,0.37%
2,2.0,2.0,2.0,2.0,2.0,6/29/2023,13.54,13.64,13.85,13.41,,0.82%
3,3.0,3.0,3.0,3.0,3.0,6/28/2023,13.43,13.9,13.96,13.36,,-2.26%
4,4.0,4.0,4.0,4.0,4.0,6/27/2023,13.74,14.11,14.34,13.59,,-3.58%
5,5.0,5.0,5.0,5.0,5.0,6/26/2023,14.25,14.43,14.71,13.78,,6.03%
6,6.0,6.0,6.0,6.0,6.0,6/23/2023,13.44,13.24,13.8,12.88,,4.11%
7,7.0,7.0,7.0,7.0,7.0,6/22/2023,12.91,13.88,13.98,12.73,,-2.20%
8,8.0,8.0,8.0,8.0,8.0,6/21/2023,13.2,13.88,13.89,13.1,,-4.90%
9,9.0,9.0,9.0,9.0,9.0,6/20/2023,13.88,14.36,14.67,13.86,,-2.18%
10,10.0,10.0,10.0,10.0,10.0,6/19/2023,14.19,14.09,14.19,14.01,,4.80%
11,11.0,11.0,11.0,11.0,11.0,6/16/2023,13.54,14.49,14.54,13.48,,-6.62%
12,12.0,12.0,12.0,12.0,12.0,6/15/2023,14.5,14.09,14.52,13.79,,4.47%
13,13.0,13.0,13.0,13.0,13.0,6/14/2023,13.88,14.48,14.73,13.83,,-5.00%
14,14.0,14.0,14.0,14.0,14.0,6/13/2023,14.61,14.99,15.06,14.47,,-2.66%
15,15.0,15.0,15.0,15.0,15.0,6/12/2023,15.01,14.44,15.02,14.32,,8.53%
16,16.0,16.0,16.0,16.0,16.0,6/9/2023,13.83,13.78,14.14,13.5,,1.32%
17,17.0,17.0,17.0,17.0,17.0,6/8/2023,13.65,14.14,14.21,13.53,,-2.08%
18,18.0,18.0,18.0,18.0,18.0,6/7/2023,13.94,14.14,14.29,13.77,,-0.14%
19,19.0,19.0,19.0,19.0,19.0,6/6/2023,13.96,14.91,14.97,13.95,,-5.23%
20,20.0,20.0,20.0,20.0,20.0,6/5/2023,14.73,15.28,15.29,14.66,,0.89%
21,21.0,21.0,21.0,21.0,21.0,6/2/2023,14.6,15.65,15.65,14.42,,-6.71%
22,22.0,22.0,22.0,22.0,22.0,6/1/2023,15.65,17.24,17.59,15.58,,-12.76%
23,23.0,23.0,23.0,23.0,23.0,5/31/2023,17.94,18.04,18.4,17.12,,2.75%
24,24.0,24.0,24.0,24.0,24.0,5/30/2023,17.46,17.56,18.34,16.98,,0.00%
25,25.0,25.0,25.0,25.0,25.0,5/29/2023,17.46,17.53,17.6,17.34,,-2.73%
26,26.0,26.0,26.0,26.0,26.0,5/26/2023,17.95,19.07,19.56,17.27,,-6.22%
27,27.0,27.0,27.0,27.0,27.0,5/25/2023,19.14,19.54,19.95,18.7,,-4.44%
28,28.0,28.0,28.0,28.0,28.0,5/24/2023,20.03,18.8,20.81,18.8,,8.09%
29,29.0,29.0,29.0,29.0,29.0,5/23/2023,18.53,17.35,19.31,17.3,,7.67%
30,30.0,30.0,30.0,30.0,30.0,5/22/2023,17.21,17.45,18.13,16.82,,2.38%
31,31.0,31.0,31.0,31.0,31.0,5/19/2023,16.81,16.13,17.36,15.85,,4.74%
32,32.0,32.0,32.0,32.0,32.0,5/18/2023,16.05,16.92,17.15,16.05,,-4.86%
33,33.0,33.0,33.0,33.0,33.0,5/17/2023,16.87,17.96,18.26,16.68,,-6.23%
34,34.0,34.0,34.0,34.0,34.0,5/16/2023,17.99,17.54,18.3,17.26,,5.08%
35,35.0,35.0,35.0,35.0,35.0,5/15/2023,17.12,17.44,18.16,17.08,,0.53%
36,36.0,36.0,36.0,36.0,36.0,5/12/2023,17.03,16.83,17.92,16.38,,0.59%
37,37.0,37.0,37.0,37.0,37.0,5/11/2023,16.93,16.8,18.19,16.63,,-0.06%
38,38.0,38.0,38.0,38.0,38.0,5/10/2023,16.94,17.58,18.31,16.36,,-4.35%
39,39.0,39.0,39.0,39.0,39.0,5/9/2023,17.71,17.29,17.86,17.22,,4.30%
40,40.0,40.0,40.0,40.0,40.0,5/8/2023,16.98,17.73,17.88,16.83,,-1.22%
41,41.0,41.0,41.0,41.0,41.0,5/5/2023,17.19,19.5,19.63,16.69,,-14.44%
42,42.0,42.0,42.0,42.0,42.0,5/4/2023,20.09,19.17,21.33,18.67,,9.54%
43,43.0,43.0,43.0,43.0,43.0,5/3/2023,18.34,17.82,18.83,17.19,,3.15%
44,44.0,44.0,44.0,44.0,44.0,5/2/2023,17.78,16.27,19.81,16.26,,10.57%
45,45.0,45.0,45.0,45.0,45.0,5/1/2023,16.08,16.41,16.62,15.53,,1.90%
46,46.0,46.0,46.0,46.0,46.0,4/28/2023,15.78,17.21,17.65,15.72,,-7.34%
47,47.0,47.0,47.0,47.0,47.0,4/27/2023,17.03,18.43,18.43,16.72,,-9.61%
48,48.0,48.0,48.0,48.0,48.0,4/26/2023,18.84,18.66,19.61,17.87,,0.43%
49,49.0,49.0,49.0,49.0,49.0,4/25/2023,18.76,17.62,19.86,17.33,,11.07%
50,50.0,50.0,50.0,50.0,50.0,4/24/2023,16.89,18.22,18.24,16.74,,0.72%
51,51.0,51.0,51.0,51.0,51.0,4/21/2023,16.77,17.51,17.71,16.58,,-2.33%
52,52.0,52.0,52.0,52.0,52.0,4/20/2023,17.17,16.85,17.69,16.33,,4.31%
53,53.0,53.0,53.0,53.0,53.0,4/19/2023,16.46,17.3,17.72,16.17,,-2.20%
54,54.0,54.0,54.0,54.0,54.0,4/18/2023,16.83,16.94,17.34,16.58,,-0.71%
55,55.0,55.0,55.0,55.0,55.0,4/17/2023,16.95,17.58,17.79,16.9,,-0.70%
56,56.0,56.0,56.0,56.0,56.0,4/14/2023,17.07,17.94,18.12,17.07,,-4.10%
57,57.0,57.0,57.0,57.0,57.0,4/13/2023,17.8,18.83,19.06,17.77,,-6.76%
58,58.0,58.0,58.0,58.0,58.0,4/12/2023,19.09,19.38,19.98,18.25,,-0.05%
59,59.0,59.0,59.0,59.0,59.0,4/11/2023,19.1,19.08,19.28,18.56,,0.69%
60,60.0,60.0,60.0,60.0,60.0,4/10/2023,18.97,19.39,20.05,18.93,,3.10%
61,61.0,61.0,61.0,61.0,61.0,4/7/2023,18.4,18.4,18.4,18.4,,0.00%
62,62.0,62.0,62.0,62.0,62.0,4/6/2023,18.4,19.3,19.88,18.35,,-3.56%
63,63.0,63.0,63.0,63.0,63.0,4/5/2023,19.08,19.42,20.08,19.0,,0.42%
64,64.0,64.0,64.0,64.0,64.0,4/4/2023,19.0,18.79,20.03,18.58,,2.43%
65,65.0,65.0,65.0,65.0,65.0,4/3/2023,18.55,19.79,19.83,18.54,,-0.80%
66,66.0,66.0,66.0,66.0,66.0,3/31/2023,18.7,19.21,19.43,18.52,,-1.68%
67,67.0,67.0,67.0,67.0,67.0,3/30/2023,19.02,19.12,20.08,18.85,,-0.52%
68,68.0,68.0,68.0,68.0,68.0,3/29/2023,19.12,19.39,19.45,19.09,,-4.26%
69,69.0,69.0,69.0,69.0,69.0,3/28/2023,19.97,20.53,21.4,19.91,,-3.06%
70,70.0,70.0,70.0,70.0,70.0,3/27/2023,20.6,22.05,22.93,20.57,,-5.24%
71,71.0,71.0,71.0,71.0,71.0,3/24/2023,21.74,22.11,25.21,21.6,,-3.85%
72,72.0,72.0,72.0,72.0,72.0,3/23/2023,22.61,21.54,24.91,20.16,,1.57%
73,73.0,73.0,73.0,73.0,73.0,3/22/2023,22.26,21.8,22.38,19.94,,4.12%
74,74.0,74.0,74.0,74.0,74.0,3/21/2023,21.38,24.16,24.16,21.29,,-11.47%
75,75.0,75.0,75.0,75.0,75.0,3/20/2023,24.15,27.77,28.91,24.0,,-5.33%
76,76.0,76.0,76.0,76.0,76.0,3/17/2023,25.51,22.92,26.14,22.58,,10.96%
